Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,454.70,463.10,449.00,460.60,243300,452.268
2014-12-30,448.10,460.80,448.10,456.00,758200,447.751
2014-12-29,449.30,457.90,449.30,452.50,524200,444.314
2014-12-26,452.00,452.00,452.00,452.00,000,443.823
2014-12-25,452.00,452.00,452.00,452.00,000,443.823
2014-12-24,442.90,455.23,442.90,452.00,155900,443.823
2014-12-23,453.30,457.40,450.62,454.80,895600,446.572
2014-12-22,443.20,454.70,436.80,453.40,1127300,445.198
2014-12-19,450.00,453.40,435.50,441.00,2194700,433.022
2014-12-18,462.00,471.50,433.10,446.30,2673100,438.226
2014-12-17,454.00,466.10,453.371,462.40,1655200,454.035
2014-12-16,470.10,471.90,440.50,461.40,2849700,453.053
2014-12-15,501.50,508.31,470.40,470.40,1696400,461.89
2014-12-12,544.00,544.00,488.70,508.50,2907300,499.301
2014-12-11,564.00,567.50,559.071,564.50,801000,554.288
2014-12-10,566.00,571.00,562.50,566.00,507000,555.761
2014-12-09,570.50,573.33,561.50,562.00,546600,551.833
2014-12-08,580.50,584.02,575.50,575.50,492300,565.089
2014-12-05,581.00,588.00,581.00,583.50,765100,572.944
2014-12-04,588.50,591.436,575.50,579.50,1405500,569.017
2014-12-03,606.50,607.00,585.50,585.50,660400,574.908
2014-12-02,607.50,607.50,599.50,602.50,414600,591.601
2014-12-01,604.50,613.50,599.00,601.50,456600,590.619
2014-11-28,608.50,612.00,603.50,609.50,558600,598.474
2014-11-27,606.00,609.00,601.50,606.50,516500,595.528
2014-11-26,594.50,611.00,594.50,608.00,471000,597.001
2014-11-25,594.00,597.00,590.00,597.00,367400,586.20
2014-11-24,593.50,594.88,587.00,589.50,475600,578.836
2014-11-21,596.00,601.50,592.00,596.50,698100,585.709
2014-11-20,600.00,600.00,592.50,595.00,910600,584.236
2014-11-19,600.00,603.00,591.00,594.50,790500,583.745
2014-11-18,584.50,606.00,580.814,600.00,1100100,589.146
2014-11-17,579.50,583.00,575.00,580.00,380800,569.508
2014-11-14,583.00,585.00,576.00,583.50,714900,572.944
2014-11-13,590.00,592.00,582.176,585.00,669900,574.417
2014-11-12,588.50,589.00,582.36,586.50,540100,575.89
2014-11-11,586.50,592.00,585.00,589.00,479900,578.345
2014-11-10,577.00,585.50,571.00,585.50,900300,574.908
2014-11-07,588.50,588.50,572.50,573.00,635800,562.634
2014-11-06,578.50,590.00,578.021,587.00,599400,576.381
2014-11-05,590.50,591.50,578.00,580.50,450300,569.999
2014-11-04,585.50,592.00,583.869,585.00,564300,574.417
2014-11-03,594.50,595.108,582.00,584.00,635400,573.435
2014-10-31,583.50,594.50,577.50,594.50,1191200,583.745
2014-10-30,589.50,589.50,576.50,577.00,1139700,566.562
2014-10-29,595.00,598.50,588.50,589.50,731800,578.836
2014-10-28,584.00,598.50,583.50,598.50,796100,587.673
2014-10-27,591.50,595.247,578.50,580.50,648400,569.999
2014-10-24,597.50,598.26,584.00,589.50,619000,578.836
2014-10-23,597.00,597.50,589.50,595.00,699800,584.236
2014-10-22,599.00,600.74,593.50,595.00,687600,584.236
2014-10-21,586.50,601.00,583.50,599.50,1093800,588.655
2014-10-20,588.00,590.45,583.50,588.00,605400,577.363
2014-10-17,587.00,595.50,584.50,587.00,871600,576.381
2014-10-16,591.50,592.50,568.00,587.50,1545900,576.872
2014-10-15,607.00,607.00,586.50,589.00,833200,578.345
2014-10-14,603.00,608.50,601.00,603.50,423200,592.582
2014-10-13,607.50,610.50,603.00,606.50,468000,595.528
2014-10-10,607.00,612.00,603.50,611.00,585200,599.947
2014-10-09,623.00,623.50,608.00,609.50,466600,598.474
2014-10-08,618.00,621.00,612.50,619.00,707400,607.802
2014-10-07,629.00,630.26,617.50,620.00,418300,608.784
2014-10-06,620.00,632.00,620.00,630.00,896900,618.603
2014-10-03,624.00,624.00,615.00,618.50,993100,607.311
2014-10-02,629.50,631.00,618.00,618.00,1122100,606.82
2014-10-01,645.00,647.50,628.00,630.50,957800,619.094
2014-09-30,648.50,649.50,639.00,646.50,675400,634.805
2014-09-29,638.00,646.50,637.50,645.00,616300,633.332
2014-09-26,635.00,643.50,635.00,639.50,746100,627.931
2014-09-25,646.00,648.50,636.50,640.50,619300,628.913
2014-09-24,635.50,646.50,633.00,644.50,819200,632.841
2014-09-23,641.00,642.00,634.50,636.50,667500,620.37
2014-09-22,639.00,643.00,637.36,640.00,851900,623.782
2014-09-19,639.00,648.50,636.50,644.00,1580500,627.68
2014-09-18,643.00,644.00,633.00,635.00,939200,618.909
2014-09-17,650.00,651.50,641.50,643.50,496000,627.193
2014-09-16,647.50,649.50,640.841,648.00,629500,631.579
2014-09-15,652.50,653.975,643.50,648.00,370500,631.579
2014-09-12,658.00,664.00,650.00,654.50,1073500,637.914
2014-09-11,642.00,656.50,639.50,656.50,1173100,639.864
2014-09-10,641.00,648.00,640.00,641.00,998400,624.756
2014-09-09,641.00,647.00,641.00,642.00,952400,625.731
2014-09-08,641.50,644.18,641.00,642.50,630900,626.218
2014-09-05,640.50,646.50,640.50,643.50,786000,627.193
2014-09-04,646.50,647.00,635.00,640.50,775100,624.269
2014-09-03,629.50,646.00,628.50,637.00,613900,620.858
2014-09-02,629.50,631.50,625.50,629.00,411200,613.061
2014-09-01,626.00,635.00,626.00,629.50,336300,613.548
2014-08-29,630.00,636.50,626.00,627.50,575900,611.599
2014-08-28,636.00,638.00,621.50,628.50,749700,612.573
2014-08-27,633.00,643.00,629.50,638.00,669300,621.832
2014-08-26,640.00,640.00,629.00,632.00,578100,615.984
2014-08-25,636.00,636.00,636.00,636.00,000,619.883
2014-08-22,634.50,638.50,634.00,636.00,309400,619.883
2014-08-21,641.00,643.00,628.00,636.00,882300,619.883
2014-08-20,638.50,647.00,638.00,641.00,833000,624.756
2014-08-19,641.50,641.50,630.00,637.50,622300,621.345
2014-08-18,642.50,646.56,630.00,638.00,503100,621.832
2014-08-15,638.00,648.00,637.50,639.00,966500,622.807
2014-08-14,630.50,640.50,629.985,640.00,1291300,623.782
2014-08-13,648.50,652.00,640.50,645.00,1238100,628.655
2014-08-12,635.00,645.50,634.10,644.50,1187900,628.168
2014-08-11,649.50,650.557,631.50,639.50,1256000,623.294
2014-08-08,642.50,656.00,639.50,651.00,1929000,634.503
2014-08-07,708.00,741.00,627.50,651.50,5848800,634.99
2014-08-06,688.00,717.00,683.00,710.00,1861000,692.008
2014-08-05,689.50,694.00,683.50,689.00,592300,671.54
2014-08-04,688.50,695.50,685.00,689.00,539600,671.54
2014-08-01,694.00,694.00,683.50,688.50,937600,671.053
2014-07-31,704.00,709.00,698.50,699.50,1190900,681.774
2014-07-30,701.00,713.50,699.889,706.50,1109900,688.597
2014-07-29,686.50,701.50,679.00,699.50,1360000,681.774
2014-07-28,669.00,687.00,664.00,686.50,1074500,669.103
2014-07-25,680.50,687.50,668.00,668.50,1166700,651.56
2014-07-24,700.50,703.50,672.00,680.50,1829500,663.255
2014-07-23,702.50,723.00,694.00,710.00,1769300,692.008
2014-07-22,704.50,704.50,697.50,703.00,416600,685.185
2014-07-21,700.50,702.24,691.00,700.00,649900,682.261
2014-07-18,694.00,700.50,690.00,700.00,665100,682.261
2014-07-17,699.00,699.50,691.50,698.50,913500,680.799
2014-07-16,702.00,706.00,698.50,703.00,982800,685.185
2014-07-15,709.50,711.19,695.50,700.00,1214000,682.261
2014-07-14,683.00,732.50,680.50,710.00,2790900,692.008
2014-07-11,680.00,682.50,678.00,680.00,1148400,662.768
2014-07-10,682.50,683.50,676.50,680.50,1459500,663.255
2014-07-09,681.00,687.50,680.50,684.50,1655100,667.154
2014-07-08,683.50,685.50,676.00,680.00,1197600,662.768
2014-07-07,687.00,688.50,675.00,681.50,1209900,664.23
2014-07-04,692.50,692.50,683.00,690.50,2215400,673.002
2014-07-03,674.50,694.00,665.50,688.00,1559000,670.565
2014-07-02,659.50,661.50,649.50,660.00,1159100,643.275
2014-07-01,646.00,664.00,645.00,655.50,1125600,638.889
2014-06-30,638.00,644.00,636.00,640.50,672700,624.269
2014-06-27,643.50,645.50,639.00,639.50,658900,623.294
2014-06-26,638.00,644.00,636.00,644.00,777400,627.68
2014-06-25,636.00,636.00,629.00,635.50,903200,619.396
2014-06-24,635.00,642.00,633.50,640.00,578900,623.782
2014-06-23,643.50,645.50,634.00,637.50,682700,621.345
2014-06-20,634.00,646.00,632.00,645.00,1227300,628.655
2014-06-19,625.00,635.50,621.00,635.50,731200,619.396
2014-06-18,624.50,624.50,618.50,621.50,680400,605.751
2014-06-17,639.50,639.50,620.00,625.00,991200,609.162
2014-06-16,626.00,640.50,626.00,636.00,919200,619.883
2014-06-13,628.50,632.50,624.50,629.00,798100,613.061
2014-06-12,633.00,642.50,626.50,630.00,530900,614.035
2014-06-11,644.50,644.50,632.50,634.50,379700,618.421
2014-06-10,632.00,642.00,627.50,641.50,985100,625.244
2014-06-09,636.00,638.50,629.00,632.50,482200,616.472
2014-06-06,639.00,643.50,634.50,636.50,861700,620.37
2014-06-05,635.00,639.50,628.00,638.50,693100,622.32
2014-06-04,629.50,637.00,629.00,635.00,1035900,618.909
2014-06-03,638.50,639.50,627.50,630.00,969700,614.035
2014-06-02,629.00,636.00,626.50,636.00,782300,619.883
2014-05-30,635.00,636.50,624.71,629.00,1209200,613.061
2014-05-29,629.50,640.50,628.00,636.50,1211700,620.37
2014-05-28,614.50,633.00,610.19,627.00,1201000,611.111
2014-05-27,611.50,618.25,611.00,613.50,1417600,597.953
2014-05-26,607.00,607.00,607.00,607.00,000,591.618
2014-05-23,606.50,610.50,600.643,607.00,2101800,591.618
2014-05-22,601.00,608.50,595.86,603.50,1879400,588.207
2014-05-21,595.00,600.00,583.50,599.00,1871700,583.821
2014-05-20,602.50,607.50,593.50,595.00,1496200,579.922
2014-05-19,611.00,614.50,600.50,601.00,2659000,585.77
2014-05-16,625.00,625.00,603.00,608.50,1797900,593.08
2014-05-15,637.00,640.00,608.00,622.50,2095500,606.725
2014-05-14,633.00,642.50,632.50,638.50,1399500,622.32
2014-05-13,653.50,656.50,628.50,637.50,2523500,621.345
2014-05-12,663.00,664.00,648.50,653.50,1982700,636.94
2014-05-09,647.00,665.00,641.00,660.00,2974400,643.275
2014-05-08,687.50,688.50,676.00,677.00,797300,659.844
2014-05-07,682.50,688.50,680.269,684.50,618700,667.154
2014-05-06,682.50,691.00,680.50,683.50,1285100,666.179
2014-05-05,684.00,684.00,684.00,684.00,000,666.667
2014-05-02,663.00,685.50,663.00,684.00,1808700,666.667
2014-05-01,669.00,670.00,659.00,668.50,528800,651.56
2014-04-30,666.00,667.50,659.00,662.00,814000,645.224
2014-04-29,674.00,678.00,656.50,664.50,2144600,647.661
2014-04-28,675.50,680.50,658.89,670.00,1841900,653.022
2014-04-25,660.50,667.50,658.00,660.50,1311000,643.762
2014-04-24,660.00,661.50,654.00,661.50,2162500,644.737
2014-04-23,690.00,704.00,650.50,657.50,5148900,640.838
2014-04-22,753.00,760.00,749.00,756.50,912500,728.655
2014-04-21,753.00,753.00,753.00,753.00,000,725.284
2014-04-18,753.00,753.00,753.00,753.00,000,725.284
2014-04-17,741.00,759.50,738.00,753.00,819600,725.284
2014-04-16,739.00,742.50,731.50,740.50,752700,713.244
2014-04-15,737.00,737.00,725.50,730.50,720100,703.612
2014-04-14,735.00,741.00,731.00,737.50,1310800,710.354
2014-04-11,733.00,745.50,733.00,740.00,1567000,712.762
2014-04-10,735.50,739.50,730.50,735.50,1090600,708.428
2014-04-09,733.50,743.50,726.50,733.50,1101500,706.502
2014-04-08,748.00,751.50,729.00,731.50,985000,704.575
2014-04-07,736.00,756.50,736.00,750.50,742300,722.876
2014-04-04,746.00,753.50,738.50,742.50,999000,715.17
2014-04-03,760.00,766.00,742.50,744.50,2115300,717.097
2014-04-02,774.00,780.00,754.50,760.00,1238800,732.026
2014-04-01,764.50,777.50,764.50,775.50,1195100,746.956
2014-03-31,766.00,769.50,760.50,766.00,813800,737.805
2014-03-28,754.50,765.50,750.50,765.00,866400,736.842
2014-03-27,759.00,759.00,746.00,751.50,516400,723.839
2014-03-26,754.50,757.00,746.00,757.00,977700,729.137
2014-03-25,758.00,760.50,749.00,752.00,960200,724.321
2014-03-24,771.00,771.50,752.00,755.00,895100,727.21
2014-03-21,779.50,779.50,768.50,770.50,1251900,742.14
2014-03-20,792.00,798.00,777.50,780.00,1004200,751.29
2014-03-19,790.00,798.50,784.00,795.50,1313500,766.22
2014-03-18,778.00,789.00,772.00,788.00,1077000,758.996
2014-03-17,770.00,779.00,765.00,777.50,1206500,748.882
2014-03-14,760.00,772.00,754.50,771.00,884700,742.621
2014-03-13,779.50,781.00,762.50,764.00,1123500,735.879
2014-03-12,770.50,778.50,767.50,778.50,1249000,749.845
2014-03-11,796.50,797.00,765.50,771.00,1953800,742.621
2014-03-10,811.00,813.50,788.50,793.50,1065000,764.293
2014-03-07,809.50,822.50,804.50,812.00,1368800,782.112
2014-03-06,825.50,828.50,817.50,822.00,432400,791.744
2014-03-05,818.00,826.50,817.294,822.50,641700,792.226
2014-03-04,813.00,823.00,810.00,820.00,824400,789.818
2014-03-03,802.50,813.50,795.40,807.50,1804000,777.778
2014-02-28,802.00,809.00,799.50,806.00,920900,776.333
2014-02-27,800.50,805.00,795.00,798.50,517600,769.109
2014-02-26,816.00,816.00,798.50,798.50,624000,769.109
2014-02-25,810.00,813.50,800.927,810.00,1886000,780.186
2014-02-24,806.50,813.50,802.50,812.50,474200,782.594
2014-02-21,813.50,821.00,810.00,811.00,686600,781.149
2014-02-20,809.00,816.50,803.50,810.00,817600,780.186
2014-02-19,811.50,816.00,800.50,809.50,955500,779.704
2014-02-18,817.00,821.00,782.00,803.50,1287600,773.925
2014-02-17,795.00,806.00,788.00,806.00,646500,776.333
2014-02-14,799.50,799.75,791.50,795.00,518600,765.738
2014-02-13,782.00,787.00,751.00,785.50,1584600,756.588
