Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,22.83,22.83,22.83,22.83,000,22.83
2014-12-31,22.75,22.95,22.62,22.83,346500,22.83
2014-12-30,23.28,23.35,22.69,22.76,1114100,22.76
2014-12-29,23.29,23.42,22.93,23.38,936400,23.38
2014-12-26,23.24,23.24,23.24,23.24,000,23.24
2014-12-25,23.24,23.24,23.24,23.24,000,23.24
2014-12-24,23.14,23.32,23.14,23.24,114600,23.24
2014-12-23,22.98,23.24,22.91,23.24,1423600,23.24
2014-12-22,22.71,23.16,22.71,22.97,777100,22.97
2014-12-19,22.99,23.26,22.61,22.70,2600000,22.70
2014-12-18,22.53,22.92,22.30,22.90,2402500,22.90
2014-12-17,22.11,22.36,22.01,22.18,1473400,22.18
2014-12-16,21.78,22.20,21.25,22.19,2637400,22.19
2014-12-15,22.41,22.41,21.67,21.74,1918100,21.74
2014-12-12,23.45,23.49,22.88,22.98,1727700,22.40
2014-12-11,23.69,23.86,23.41,23.58,1714200,23.00
2014-12-10,23.71,24.09,23.71,23.78,1339900,23.19
2014-12-09,24.17,24.25,23.68,23.71,1722600,23.12
2014-12-08,24.47,24.53,24.01,24.31,1302900,23.70
2014-12-05,24.44,24.65,24.38,24.63,1188500,24.02
2014-12-04,24.64,24.72,23.99,24.23,2048000,23.63
2014-12-03,24.47,24.77,24.30,24.66,1366300,24.04
2014-12-02,24.38,24.54,24.21,24.40,1481300,23.79
2014-12-01,23.93,24.42,23.85,24.30,1541100,23.70
2014-11-28,23.88,24.10,23.78,24.08,1241300,23.48
2014-11-27,23.71,23.95,23.56,23.90,827000,23.31
2014-11-26,23.59,23.90,23.52,23.73,1291400,23.14
2014-11-25,23.21,23.59,23.18,23.48,1430600,22.89
2014-11-24,23.08,23.37,23.00,23.30,1327500,22.72
2014-11-21,22.92,23.17,22.84,22.98,1548200,22.41
2014-11-20,22.98,22.98,22.70,22.80,1049200,22.23
2014-11-19,22.90,22.97,22.67,22.92,1127000,22.36
2014-11-18,22.85,23.07,22.76,22.97,1263900,22.40
2014-11-17,22.59,22.89,22.43,22.81,1167100,22.24
2014-11-14,22.99,23.00,22.53,22.82,1075100,22.25
2014-11-13,23.02,23.10,22.64,22.93,1350100,22.36
2014-11-12,23.50,23.50,22.85,22.98,1486800,22.41
2014-11-11,23.23,23.56,23.19,23.51,1242100,22.93
2014-11-10,22.93,23.20,22.87,23.16,931100,22.59
2014-11-07,23.08,23.18,22.78,22.98,1502100,22.41
2014-11-06,22.80,23.20,22.62,22.93,1391200,22.37
2014-11-05,22.49,22.85,22.42,22.80,1310600,22.23
2014-11-04,22.89,23.17,22.28,22.36,2380700,21.81
2014-11-03,23.47,23.48,22.81,22.88,1800300,22.31
2014-10-31,23.17,23.59,23.17,23.55,1720300,22.97
2014-10-30,23.06,23.10,22.53,22.94,1511900,22.38
2014-10-29,22.83,23.08,22.66,23.00,1386000,22.43
2014-10-28,22.24,22.84,22.24,22.79,1683500,22.22
2014-10-27,22.47,22.52,22.00,22.12,1655200,21.58
2014-10-24,22.45,22.74,22.27,22.36,2051000,21.81
2014-10-23,22.00,22.41,21.83,22.37,2109800,21.82
2014-10-22,21.94,22.09,21.73,22.03,1976600,21.49
2014-10-21,21.76,21.95,21.61,21.93,2078800,21.39
2014-10-20,22.09,22.09,21.64,21.88,1867400,21.34
2014-10-17,21.50,22.14,21.35,22.13,2907200,21.58
2014-10-16,22.94,22.99,21.21,21.56,6078800,21.02
2014-10-15,23.64,23.64,22.91,22.92,2104300,22.36
2014-10-14,24.02,24.18,23.55,23.67,1982700,23.09
2014-10-13,23.88,24.19,23.77,24.14,919100,23.54
2014-10-10,24.30,24.39,23.94,23.99,1503700,23.39
2014-10-09,24.56,24.61,24.30,24.39,1584100,23.78
2014-10-08,24.28,24.56,24.12,24.42,1468400,23.81
2014-10-07,24.79,24.79,24.28,24.33,2199500,23.72
2014-10-06,25.09,25.22,24.82,24.86,2087300,24.25
2014-10-03,25.32,25.39,24.90,25.09,1456800,24.47
2014-10-02,25.92,25.98,25.25,25.25,1722800,24.63
2014-10-01,25.88,26.05,25.77,25.98,1246600,25.34
2014-09-30,25.75,26.12,25.75,25.97,1667600,25.33
2014-09-29,25.70,25.76,25.54,25.72,1052100,25.08
2014-09-26,25.31,25.83,25.16,25.72,1157500,25.08
2014-09-25,25.46,25.82,25.36,25.41,1049700,24.78
2014-09-24,25.33,25.53,25.17,25.50,1113100,24.86
2014-09-23,25.65,25.78,25.18,25.36,1012900,24.74
2014-09-22,25.45,25.78,25.43,25.62,1196800,24.98
2014-09-19,25.57,25.78,25.45,25.45,1501700,24.82
2014-09-18,25.47,25.61,25.40,25.50,745900,24.87
2014-09-17,25.39,25.48,25.23,25.41,790000,24.78
2014-09-16,25.29,25.40,25.15,25.33,926500,24.70
2014-09-15,25.20,25.43,25.19,25.32,680400,24.69
2014-09-12,25.77,25.84,24.75,25.27,2320800,24.64
2014-09-11,25.80,25.90,25.62,25.83,1039500,25.18
2014-09-10,25.80,25.95,25.67,25.85,1686000,25.21
2014-09-09,25.40,25.55,25.32,25.52,1177600,24.89
2014-09-08,25.38,25.65,25.31,25.45,1041700,24.82
2014-09-05,25.08,25.45,25.03,25.40,1017000,24.77
2014-09-04,24.90,25.27,24.85,25.16,1275700,24.54
2014-09-03,24.92,25.10,24.88,25.01,1225500,24.39
2014-09-02,24.85,25.02,24.81,24.93,1127400,24.32
2014-09-01,24.80,24.99,24.70,24.88,691000,24.26
2014-08-29,24.84,24.88,24.52,24.75,805600,24.13
2014-08-28,24.71,24.89,24.58,24.75,1023800,24.14
2014-08-27,24.58,24.79,24.58,24.69,821200,24.08
2014-08-26,24.67,24.74,24.38,24.63,979200,24.02
2014-08-25,24.59,24.80,24.53,24.69,748700,24.08
2014-08-22,24.49,24.57,24.17,24.42,1165400,23.82
2014-08-21,24.78,24.93,24.35,24.52,1398400,23.92
2014-08-20,24.66,24.78,24.54,24.73,830900,24.12
2014-08-19,24.95,24.96,24.41,24.66,1009000,24.05
2014-08-18,24.80,25.03,24.78,24.86,1647400,24.24
2014-08-15,24.14,24.99,24.14,24.60,2025200,23.99
2014-08-14,23.47,24.42,23.44,24.05,2290500,23.45
2014-08-13,23.69,23.89,23.44,23.48,1389200,22.89
2014-08-12,23.68,23.97,23.45,23.59,1135500,23.00
2014-08-11,23.97,24.00,23.54,23.77,1037800,23.19
2014-08-08,23.64,23.92,23.53,23.81,1991100,23.21
2014-08-07,24.22,24.26,23.72,23.74,1336900,23.15
2014-08-06,24.21,24.41,23.92,24.20,1651200,23.60
2014-08-05,24.39,24.69,24.17,24.25,1334600,23.65
2014-08-04,24.19,24.67,24.12,24.37,1683200,23.77
2014-08-01,24.08,24.22,23.64,24.17,2550500,23.57
2014-07-31,24.00,24.58,23.81,24.14,3767800,23.54
2014-07-30,23.89,23.94,23.42,23.49,1349200,22.90
2014-07-29,23.50,23.93,23.35,23.84,1201100,23.25
2014-07-28,23.39,23.61,23.36,23.47,1254600,22.89
2014-07-25,23.29,23.77,23.29,23.35,1838700,22.77
2014-07-24,23.04,23.38,22.98,23.34,1036000,22.76
2014-07-23,23.07,23.22,22.94,23.01,786500,22.44
2014-07-22,22.94,23.12,22.67,23.07,1202500,22.50
2014-07-21,22.65,22.85,22.50,22.72,1025900,22.15
2014-07-18,22.40,22.65,22.37,22.65,1018900,22.09
2014-07-17,22.83,22.89,22.51,22.51,1269300,21.96
2014-07-16,22.79,23.00,22.74,22.88,913700,22.31
2014-07-15,22.49,22.99,22.42,22.75,1441600,22.19
2014-07-14,22.56,22.57,22.34,22.44,936800,21.88
2014-07-11,22.58,22.64,22.33,22.46,1171100,21.90
2014-07-10,22.61,22.74,22.45,22.58,1504400,22.02
2014-07-09,22.90,23.05,22.62,22.66,1330400,22.09
2014-07-08,23.25,23.34,22.67,22.86,2133800,22.30
2014-07-07,23.50,23.74,23.18,23.22,1130800,22.64
2014-07-04,23.42,23.83,23.37,23.47,1503100,22.89
2014-07-03,23.45,23.59,23.27,23.33,1715000,22.75
2014-07-02,23.19,23.65,23.12,23.42,1521500,22.83
2014-07-01,23.01,23.31,22.90,23.16,1897600,22.58
2014-06-30,23.25,23.50,23.00,23.00,1551800,22.43
2014-06-27,23.06,23.32,22.91,23.27,1555300,22.70
2014-06-26,23.17,23.28,22.79,23.09,1683600,22.52
2014-06-25,23.48,23.52,23.06,23.17,1760900,22.59
2014-06-24,23.42,23.68,23.33,23.53,2162400,22.95
2014-06-23,23.95,24.13,23.25,23.47,3584700,22.89
2014-06-20,24.67,24.68,24.02,24.17,4020400,23.57
2014-06-19,26.01,26.22,23.45,24.60,10906500,23.99
2014-06-18,26.69,26.90,26.50,26.65,1520700,25.99
2014-06-17,26.66,26.77,26.33,26.62,1802400,25.96
2014-06-16,26.75,26.81,26.46,26.60,1181000,25.94
2014-06-13,26.90,26.93,26.61,26.88,1282200,26.21
2014-06-12,26.53,27.01,26.52,26.91,1850900,26.24
2014-06-11,26.56,26.65,26.35,26.52,1134400,25.87
2014-06-10,26.31,26.52,26.16,26.51,1363800,25.85
2014-06-09,26.55,26.58,26.32,26.38,1197700,25.72
2014-06-06,25.69,26.58,25.61,26.56,3094700,25.90
2014-06-05,25.60,25.74,25.46,25.59,1616800,24.96
2014-06-04,25.54,25.59,25.25,25.51,1591600,24.88
2014-06-03,24.96,25.58,24.88,25.50,2935200,24.87
2014-06-02,25.90,26.09,25.64,25.76,2114500,24.46
2014-05-30,26.16,26.22,25.48,25.75,3638300,24.45
2014-05-29,27.17,27.18,26.52,26.59,2508500,25.25
2014-05-28,27.57,27.69,27.44,27.59,1066200,26.20
2014-05-27,27.50,27.74,26.75,27.54,4331400,26.15
2014-05-26,27.38,27.65,27.25,27.64,718800,26.24
2014-05-23,27.42,27.47,27.06,27.32,1760500,25.94
2014-05-22,28.10,28.15,27.17,27.31,3530600,25.93
2014-05-21,28.93,29.08,28.51,28.63,1240600,27.18
2014-05-20,28.66,28.99,28.58,28.93,773100,27.47
2014-05-19,28.72,28.95,28.43,28.67,960500,27.22
2014-05-16,28.62,28.70,28.42,28.69,1086100,27.24
2014-05-15,28.74,29.00,28.43,28.57,1881900,27.13
2014-05-14,28.50,28.75,28.47,28.68,747000,27.24
2014-05-13,28.55,28.73,28.39,28.50,814400,27.06
2014-05-12,28.16,28.57,28.15,28.38,891300,26.94
2014-05-09,28.10,28.18,27.95,28.16,812400,26.73
2014-05-08,27.76,28.22,27.73,28.16,1438800,26.73
2014-05-07,27.20,27.90,27.16,27.76,1787400,26.36
2014-05-06,27.50,27.67,27.19,27.27,1184600,25.89
2014-05-05,27.29,27.55,27.08,27.50,801200,26.11
2014-05-02,27.58,27.60,27.22,27.26,1273900,25.89
2014-05-01,27.65,27.65,27.65,27.65,000,26.25
2014-04-30,27.47,27.65,27.35,27.65,1505200,26.25
2014-04-29,27.84,28.13,26.97,27.45,4874400,26.07
2014-04-28,28.51,28.56,27.75,27.85,1730600,26.44
2014-04-25,29.00,29.14,28.34,28.50,1304900,27.06
2014-04-24,28.88,29.20,28.76,29.05,1102600,27.58
2014-04-23,28.85,29.10,28.71,28.80,1070000,27.34
2014-04-22,29.05,29.16,28.72,28.94,1273200,27.48
2014-04-21,29.00,29.00,29.00,29.00,000,27.53
2014-04-18,29.00,29.00,29.00,29.00,000,27.53
2014-04-17,28.67,29.09,28.56,29.00,986700,27.53
2014-04-16,28.44,28.77,28.39,28.50,1127100,27.06
2014-04-15,28.41,28.61,28.10,28.13,1155800,26.71
2014-04-14,28.63,28.70,28.12,28.45,1262600,27.02
2014-04-11,28.79,28.88,28.29,28.77,1734300,27.32
2014-04-10,29.30,29.31,28.93,28.95,1280100,27.49
2014-04-09,28.94,29.39,28.92,29.18,1206200,27.71
2014-04-08,29.55,29.58,28.52,28.91,1718100,27.45
2014-04-07,29.17,29.60,29.02,29.52,1350900,28.03
2014-04-04,29.34,29.45,29.15,29.39,1106900,27.90
2014-04-03,29.67,29.67,29.30,29.39,1195800,27.90
2014-04-02,29.58,29.90,29.55,29.73,1138600,28.23
2014-04-01,28.99,29.82,28.97,29.58,1983600,28.08
2014-03-31,28.60,28.82,28.40,28.72,1695100,27.26
2014-03-28,28.27,28.54,28.13,28.46,1386400,27.02
2014-03-27,28.30,28.39,27.92,28.20,1111600,26.78
2014-03-26,28.13,28.35,27.92,28.30,882600,26.87
2014-03-25,28.15,28.43,27.98,28.08,1182800,26.66
2014-03-24,28.43,28.60,28.06,28.12,1042100,26.70
2014-03-21,28.49,28.78,28.40,28.54,2160200,27.10
2014-03-20,28.48,28.57,28.29,28.50,1134800,27.06
