Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,17.15,17.20,16.97,17.00,29500,17.00
2014-12-30,17.28,17.28,17.20,17.20,35600,17.20
2014-12-29,17.40,17.54,17.37,17.48,46100,17.48
2014-12-26,17.60,17.66,17.55,17.58,12900,17.58
2014-12-24,17.50,17.59,17.50,17.56,6200,17.56
2014-12-23,17.49,17.57,17.42,17.51,49900,17.51
2014-12-22,17.59,17.59,17.43,17.50,30900,17.50
2014-12-19,17.58,17.68,17.45,17.50,46800,17.50
2014-12-18,17.49,17.75,17.43,17.71,65500,17.71
2014-12-17,17.11,17.39,17.05,17.26,1039400,17.26
2014-12-16,16.74,17.24,16.67,16.99,43200,16.99
2014-12-15,17.44,17.46,16.80,16.80,75800,16.80
2014-12-12,17.78,17.78,17.43,17.43,12500,17.43
2014-12-11,18.08,18.08,17.92,17.93,52100,17.93
2014-12-10,18.45,18.45,18.21,18.24,54400,18.24
2014-12-09,18.24,18.33,18.10,18.20,58500,18.20
2014-12-08,18.63,18.68,18.53,18.57,39600,18.57
2014-12-05,18.82,19.00,18.80,18.91,50900,18.91
2014-12-04,18.56,18.72,18.47,18.60,62000,18.60
2014-12-03,18.56,18.57,18.44,18.49,48600,18.49
2014-12-02,18.34,18.46,18.26,18.30,177000,18.30
2014-12-01,18.48,18.60,18.42,18.60,201000,18.60
2014-11-28,17.70,17.75,17.66,17.70,9200,17.70
2014-11-26,17.70,17.78,17.69,17.77,34600,17.77
2014-11-25,17.28,17.41,17.26,17.38,44900,17.38
2014-11-24,16.72,16.79,16.71,16.79,29400,16.79
2014-11-21,16.70,16.76,16.63,16.71,104100,16.71
2014-11-20,16.04,16.50,16.04,16.49,28600,16.49
2014-11-19,16.45,16.48,16.33,16.43,28200,16.43
2014-11-18,16.32,16.50,16.28,16.45,29300,16.45
2014-11-17,15.89,16.07,15.89,16.01,30300,16.01
2014-11-14,15.71,16.03,15.69,15.95,38300,15.95
2014-11-13,16.09,16.25,16.09,16.21,36600,16.21
2014-11-12,16.45,16.45,16.11,16.23,19000,16.23
2014-11-11,16.75,16.85,16.63,16.83,37300,16.83
2014-11-10,16.66,16.76,16.60,16.72,30900,16.72
2014-11-07,16.60,16.67,16.52,16.65,11500,16.65
2014-11-06,17.08,17.12,16.83,16.85,44500,16.85
2014-11-05,17.00,17.00,16.88,16.92,27400,16.92
2014-11-04,16.96,17.01,16.76,16.82,35300,16.82
2014-11-03,17.00,17.00,16.80,16.83,44400,16.83
2014-10-31,17.01,17.19,16.97,17.15,97300,17.15
2014-10-30,16.49,16.80,16.43,16.80,38700,16.80
2014-10-29,17.00,17.09,16.67,16.70,38200,16.70
2014-10-28,16.84,16.95,16.84,16.94,67100,16.94
2014-10-27,16.47,16.58,16.39,16.53,33200,16.53
2014-10-24,16.61,16.68,16.58,16.68,21500,16.68
2014-10-23,16.64,16.73,16.55,16.69,31200,16.69
2014-10-22,16.47,16.55,16.36,16.38,86200,16.38
2014-10-21,16.40,16.53,16.40,16.47,146700,16.47
2014-10-20,16.26,16.40,16.22,16.39,50500,16.39
2014-10-17,16.28,16.75,16.28,16.48,30800,16.48
2014-10-16,15.79,16.12,15.75,16.02,57900,16.02
2014-10-15,16.53,16.53,16.07,16.30,139300,16.30
2014-10-14,16.69,16.76,16.59,16.67,37900,16.67
2014-10-13,16.88,16.91,16.70,16.73,52100,16.73
2014-10-10,16.82,16.87,16.70,16.70,46200,16.70
2014-10-09,17.32,17.38,17.05,17.06,25700,17.06
2014-10-08,17.50,17.73,17.38,17.73,21700,17.73
2014-10-07,17.48,17.48,17.28,17.30,33000,17.30
2014-10-06,17.61,17.73,17.55,17.68,42800,17.68
2014-10-03,17.66,17.71,17.62,17.70,50000,17.70
2014-10-02,17.91,17.95,17.67,17.74,52400,17.74
2014-10-01,18.14,18.14,17.97,17.98,115000,17.98
2014-09-30,18.11,18.33,18.10,18.24,63500,18.24
2014-09-29,17.97,18.03,17.95,18.00,22800,18.00
2014-09-26,18.34,18.40,18.26,18.40,34900,18.40
2014-09-25,18.74,18.79,18.31,18.32,19900,18.32
2014-09-24,18.48,18.64,18.48,18.63,4400,18.63
2014-09-23,18.51,18.53,18.32,18.34,21800,18.34
2014-09-22,18.81,18.82,18.70,18.72,29200,18.72
2014-09-19,18.75,18.77,18.62,18.69,16800,18.69
2014-09-18,18.48,18.61,18.45,18.61,14400,18.61
2014-09-17,18.64,18.64,18.45,18.47,10300,18.47
2014-09-16,18.57,18.70,18.54,18.70,68600,18.70
2014-09-15,18.66,18.69,18.56,18.58,17700,18.58
2014-09-12,18.62,18.70,18.56,18.60,11000,18.60
2014-09-11,18.48,18.89,18.46,18.84,26100,18.84
2014-09-10,18.44,18.52,18.41,18.52,5000,18.52
2014-09-09,18.33,18.39,18.30,18.37,9000,18.37
2014-09-08,18.61,18.61,18.40,18.43,32800,18.43
2014-09-05,18.60,18.68,18.58,18.66,10700,18.66
2014-09-04,18.57,18.60,18.46,18.46,16300,18.46
2014-09-03,18.60,18.61,18.53,18.55,14000,18.55
2014-09-02,18.26,18.28,18.17,18.23,27800,18.23
2014-08-29,18.15,18.18,18.00,18.11,32500,18.11
2014-08-28,18.11,18.17,18.11,18.13,38000,18.13
2014-08-27,18.32,18.34,18.24,18.27,7400,18.27
2014-08-26,18.16,18.24,18.11,18.20,33900,18.20
2014-08-25,18.14,18.27,18.13,18.25,17100,18.25
2014-08-22,18.32,18.32,18.06,18.12,35800,18.12
2014-08-21,18.30,18.40,18.25,18.36,16300,18.36
2014-08-20,18.29,18.40,18.25,18.31,11500,18.31
2014-08-19,18.30,18.30,18.19,18.22,42400,18.22
2014-08-18,18.33,18.35,18.27,18.34,16100,18.34
2014-08-15,18.68,18.75,18.21,18.31,10800,18.31
2014-08-14,18.48,18.48,18.37,18.44,64900,18.44
2014-08-13,18.40,18.49,18.30,18.39,68600,18.39
2014-08-12,17.63,17.65,17.52,17.58,46900,17.58
2014-08-11,17.79,17.84,17.71,17.83,25500,17.83
2014-08-08,17.54,17.73,17.53,17.70,18800,17.70
2014-08-07,17.73,17.73,17.40,17.43,45500,17.43
2014-08-06,17.87,17.90,17.78,17.90,14500,17.90
2014-08-05,18.22,18.29,18.02,18.05,26400,18.05
2014-08-04,18.29,18.30,18.10,18.25,13200,18.25
2014-08-01,18.38,18.47,18.09,18.14,56500,18.14
2014-07-31,18.99,18.99,18.75,18.77,13000,18.77
2014-07-30,19.47,19.48,19.25,19.37,20900,19.37
2014-07-29,19.69,19.75,19.56,19.56,41400,19.56
2014-07-28,19.58,19.64,19.37,19.55,18300,19.55
2014-07-25,19.90,19.95,19.59,19.65,32900,19.65
2014-07-24,19.95,20.04,19.88,20.02,17400,20.02
2014-07-23,19.83,19.90,19.77,19.80,20700,19.80
2014-07-22,19.77,19.94,19.72,19.91,27900,19.91
2014-07-21,19.57,19.65,19.55,19.65,3900,19.65
2014-07-18,19.51,19.64,19.50,19.61,8500,19.61
2014-07-17,19.71,19.79,19.52,19.52,21200,19.52
2014-07-16,20.17,20.17,20.07,20.13,13200,20.13
2014-07-15,20.01,20.07,19.88,19.90,12000,19.90
2014-07-14,19.75,19.83,19.75,19.79,10300,19.79
2014-07-11,19.64,19.70,19.60,19.70,7500,19.70
