Date,Open,High,Low,Close,Vollume,Adj close
30/12/14,18.1,18.16,17.94,17.97,735666,17.97
29/12/14,18.17,18.18,17.94,18.17,738763,18.17
23/12/14,18.06,18.19,18,18.19,805839,18.19
22/12/14,18.1,18.22,18.02,18.09,948842,18.09
19/12/14,18.22,18.24,17.83,18.1,2053207,18.1
18/12/14,18.07,18.17,17.92,18.15,1898294,18.15
17/12/14,17.89,17.93,17.64,17.87,1897379,17.87
16/12/14,18.1,18.23,17.35,18.07,3894463,18.07
15/12/14,18.87,18.95,18.04,18.06,2065050,18.06
12/12/14,19.19,19.19,18.86,18.95,1558391,18.95
11/12/14,19.59,19.6,19.13,19.26,1723748,19.26
10/12/14,19.64,19.88,19.57,19.66,1138199,19.66
09/12/14,19.72,19.83,19.51,19.64,1880030,19.64
08/12/14,19.89,19.9,19.72,19.86,992906,19.86
05/12/14,19.68,19.93,19.68,19.91,1212080,19.91
04/12/14,19.65,19.67,19.42,19.55,1420565,19.55
03/12/14,19.65,19.88,19.38,19.64,1565424,19.64
02/12/14,19.95,20.01,19.45,19.61,2121802,19.61
01/12/14,20.1,20.1,19.72,19.95,1829083,19.95
28/11/14,20.2,20.3,19.95,20.18,2274078,20.18
27/11/14,19.94,20.24,19.94,20.2,1370296,20.2
26/11/14,19.39,20.04,19.38,19.94,2339243,19.94
25/11/14,19.2,19.44,19.14,19.37,1906615,19.37
24/11/14,18.94,19.24,18.93,19.2,1069810,19.2
21/11/14,18.7,19.06,18.7,18.94,1590799,18.94
20/11/14,18.76,18.85,18.6,18.72,652864,18.72
19/11/14,18.51,18.82,18.5,18.75,1097484,18.75
18/11/14,18.38,18.54,18.31,18.51,783679,18.51
17/11/14,18.23,18.38,18.05,18.37,757007,18.37
14/11/14,18.23,18.52,18.17,18.3,1258109,18.3
13/11/14,18.3,18.36,18.14,18.21,1016453,18.21
12/11/14,18.6,18.61,18.22,18.24,1218098,18.24
11/11/14,18.45,18.62,18.43,18.6,943158,18.6
10/11/14,18.15,18.43,18.08,18.43,1128062,18.43
07/11/14,18.46,18.46,17.96,18.15,1247158,18.15
06/11/14,18.34,18.57,18.29,18.43,1116328,18.43
05/11/14,18.24,18.37,17.95,18.37,2106246,18.37
04/11/14,18.25,18.43,18.13,18.24,1201696,18.24
03/11/14,18.47,18.55,18.17,18.23,1235490,18.23
31/10/14,18.1,18.58,18.03,18.49,2353259,18.49
30/10/14,18,18,17.73,17.98,1007567,17.98
29/10/14,17.99,17.99,17.87,17.94,1055613,17.94
28/10/14,17.89,17.99,17.81,17.9,1189447,17.9
27/10/14,18.07,18.07,17.76,17.81,1304699,17.81
24/10/14,18,18.02,17.72,17.84,1514761,17.84
23/10/14,18.05,18.25,17.93,18.01,1643146,18.01
22/10/14,17.91,18.04,17.7,18.03,1400710,18.03
21/10/14,17.63,17.85,17.56,17.8,1942432,17.8
20/10/14,17.82,17.84,17.45,17.72,1349333,17.72
17/10/14,17.47,17.84,17.45,17.74,2211576,17.74
16/10/14,17.76,17.82,17.16,17.38,2025873,17.38
15/10/14,18.19,18.23,17.65,17.72,1527429,17.72
14/10/14,18.16,18.3,18.09,18.19,1216391,18.19
13/10/14,18.25,18.34,18.11,18.16,1529240,18.16
10/10/14,18.51,18.6,18.31,18.33,1374062,18.33
09/10/14,18.83,18.87,18.52,18.62,1239346,18.62
08/10/14,18.58,18.69,18.54,18.63,1493226,18.63
07/10/14,18.85,18.96,18.57,18.57,2246018,18.57
06/10/14,18.81,19.2,18.66,18.83,2212414,18.83
03/10/14,18.6,18.92,18.56,18.71,1508022,18.71
02/10/14,18.91,18.96,18.51,18.54,1642273,18.54
01/10/14,19.3,19.39,18.99,18.99,1896392,18.99
30/09/14,19.25,19.35,19.13,19.31,1442469,19.31
29/09/14,19.33,19.34,19.09,19.26,1166802,19.26
26/09/14,19.2,19.41,19.05,19.35,1664793,19.35
25/09/14,19.55,19.74,19.18,19.19,2311112,19.19
24/09/14,19.38,19.57,19.34,19.52,2035700,19.52
23/09/14,19.55,19.91,19.35,19.38,3889762,19.38
22/09/14,19,19.37,18.99,19.32,1456709,19.32
19/09/14,18.93,19.17,18.88,19.03,2476535,19.03
18/09/14,18.81,18.92,18.77,18.79,950975,18.79
17/09/14,18.85,18.94,18.81,18.88,1100526,18.88
16/09/14,18.9,18.98,18.65,18.79,1484634,18.79
15/09/14,18.72,19.02,18.72,18.94,1017772,18.94
12/09/14,19.04,19.15,18.79,18.79,1165750,18.79
11/09/14,19.03,19.18,18.99,19.08,1172137,19.08
10/09/14,19.16,19.21,18.96,19.05,1172364,19.05
09/09/14,19.19,19.28,19.16,19.26,1126896,19.26
08/09/14,19.31,19.34,19.21,19.28,1208502,19.28
05/09/14,19.4,19.53,19.32,19.35,1740125,19.35
04/09/14,19.28,19.49,19.25,19.44,1755566,19.44
03/09/14,19.28,19.42,19.27,19.34,2336676,19.34
02/09/14,19.28,19.35,19.17,19.28,1611707,19.28
01/09/14,19.04,19.3,19.01,19.28,1513084,19.28
29/08/14,19.01,19.26,18.96,19.1,2236736,19.1
28/08/14,19.34,19.45,18.97,19.01,2147884,19.01
27/08/14,19.42,19.54,19.27,19.41,1123611,19.41
26/08/14,19.38,19.45,19.26,19.43,1237643,19.43
25/08/14,19.45,19.51,19.25,19.45,1443548,19.45
22/08/14,19.55,19.56,19.3,19.34,1445188,19.34
21/08/14,19.54,19.57,19.38,19.55,1350185,19.55
20/08/14,19.2,19.59,19.17,19.55,1850897,19.55
19/08/14,19.16,19.2,19,19.19,1235814,19.19
18/08/14,19.19,19.31,19,19.11,1026460,19.11
15/08/14,19.13,19.28,19,19.06,1199696,19.06
