Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,19.43,19.43,19.43,19.43,000,19.43
2014-12-31,19.32,19.45,19.24,19.43,1019200,19.43
2014-12-30,19.90,19.90,19.39,19.39,4436700,19.39
2014-12-29,19.65,19.95,19.37,19.95,3828700,19.95
2014-12-26,19.65,19.65,19.65,19.65,000,19.65
2014-12-25,19.65,19.65,19.65,19.65,000,19.65
2014-12-24,19.82,19.90,19.65,19.65,745000,19.65
2014-12-23,19.50,19.83,19.40,19.83,3654400,19.83
2014-12-22,19.49,19.67,19.30,19.41,3818900,19.41
2014-12-19,19.77,19.83,19.30,19.50,13957900,19.50
2014-12-18,18.97,19.59,18.80,19.59,9720800,19.59
2014-12-17,18.44,18.86,18.33,18.77,7499700,18.77
2014-12-16,18.33,18.77,17.86,18.77,12277700,18.77
2014-12-15,18.58,18.90,18.23,18.27,8757400,18.27
2014-12-12,19.30,19.34,18.89,18.94,7110900,18.94
2014-12-11,19.52,19.68,19.39,19.44,5402100,19.44
2014-12-10,19.66,19.86,19.49,19.53,4254600,19.53
2014-12-09,20.07,20.24,19.59,19.61,6771500,19.61
2014-12-08,20.34,20.41,20.18,20.26,3182700,20.26
2014-12-05,20.06,20.57,20.01,20.52,6412700,20.52
2014-12-04,20.06,20.30,19.68,19.75,6246000,19.75
2014-12-03,20.00,20.07,19.84,19.99,2704900,19.99
2014-12-02,20.00,20.08,19.85,19.98,3369100,19.98
2014-12-01,19.65,20.00,19.59,19.93,4401600,19.93
2014-11-28,19.95,20.01,19.67,19.82,6881200,19.82
2014-11-27,19.54,19.92,19.43,19.90,5467500,19.90
2014-11-26,19.34,19.60,19.31,19.45,5423000,19.45
2014-11-25,18.93,19.33,18.92,19.28,6924400,19.28
2014-11-24,18.93,19.19,18.87,18.97,4700300,18.97
2014-11-21,18.50,18.89,18.49,18.82,9612600,18.82
2014-11-20,18.79,18.79,18.37,18.49,4533800,18.49
2014-11-19,18.69,18.83,18.60,18.75,3885300,18.75
2014-11-18,18.46,18.67,18.33,18.67,4842200,18.67
2014-11-17,18.33,18.49,18.20,18.44,4964700,18.44
2014-11-14,18.44,18.50,18.18,18.47,4389200,18.47
2014-11-13,18.37,18.58,18.17,18.40,5872700,18.40
2014-11-12,18.91,18.95,18.35,18.45,7585600,18.45
2014-11-11,18.85,19.10,18.83,18.95,3713200,18.95
2014-11-10,18.59,18.85,18.57,18.85,4505000,18.85
2014-11-07,18.91,18.96,18.48,18.62,5189200,18.62
2014-11-06,18.78,19.14,18.72,18.85,7444300,18.85
2014-11-05,18.76,18.87,18.67,18.77,6450200,18.77
2014-11-04,18.77,19.02,18.61,18.64,5488400,18.64
2014-11-03,19.22,19.27,18.73,18.77,7307900,18.77
2014-10-31,19.19,19.39,19.09,19.35,7877800,19.35
2014-10-30,18.92,19.01,18.43,18.93,5595400,18.93
2014-10-29,18.64,18.98,18.62,18.87,7819300,18.87
2014-10-28,18.25,18.76,18.25,18.65,7623000,18.65
2014-10-27,18.26,18.34,17.93,18.09,4681200,18.09
2014-10-24,18.16,18.23,18.03,18.17,5113400,18.17
2014-10-23,18.00,18.29,17.84,18.24,5277100,18.24
2014-10-22,17.82,18.00,17.64,18.00,5394400,18.00
2014-10-21,17.53,18.00,17.50,17.93,7143600,17.93
2014-10-20,17.75,17.81,17.42,17.59,8129300,17.59
2014-10-17,17.21,17.85,17.13,17.83,16915800,17.83
2014-10-16,17.15,17.20,16.17,16.93,15950700,16.93
