Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,5.62,5.62,5.62,5.62,000,5.62
2014-12-31,5.62,5.62,5.62,5.62,000,5.62
2014-12-30,5.62,5.62,5.62,5.62,000,5.62
2014-12-29,5.62,5.62,5.54,5.60,18900,5.60
2014-12-26,5.66,5.66,5.66,5.66,000,5.66
2014-12-25,5.66,5.66,5.66,5.66,000,5.66
2014-12-24,5.66,5.66,5.66,5.66,000,5.66
2014-12-23,5.62,5.68,5.61,5.66,16700,5.66
2014-12-22,5.68,5.68,5.59,5.59,2700,5.59
2014-12-19,5.59,5.66,5.59,5.60,38700,5.60
2014-12-18,5.62,5.64,5.62,5.62,16500,5.62
2014-12-17,5.47,5.47,5.47,5.47,400,5.47
2014-12-16,5.40,5.49,5.30,5.49,9800,5.49
2014-12-15,5.52,5.52,5.39,5.41,9400,5.41
2014-12-12,5.60,5.60,5.54,5.54,5300,5.54
2014-12-11,5.61,5.65,5.58,5.60,1300,5.60
2014-12-10,5.69,5.69,5.65,5.65,16400,5.65
2014-12-09,5.81,5.81,5.78,5.79,5200,5.79
2014-12-08,5.88,5.92,5.86,5.86,5100,5.86
2014-12-05,5.90,5.92,5.87,5.89,6700,5.89
2014-12-04,5.89,5.92,5.83,5.83,2100,5.83
2014-12-03,5.87,5.90,5.82,5.90,24100,5.90
2014-12-02,5.80,5.85,5.80,5.83,11900,5.83
2014-12-01,5.91,5.97,5.91,5.91,23600,5.91
2014-11-28,5.90,5.94,5.90,5.94,2500,5.94
2014-11-27,5.89,5.93,5.89,5.89,36700,5.89
2014-11-26,5.88,5.90,5.85,5.86,5800,5.86
2014-11-25,5.80,5.89,5.80,5.86,15400,5.86
2014-11-24,5.80,5.88,5.80,5.85,30600,5.85
2014-11-21,5.65,5.73,5.63,5.73,6900,5.73
2014-11-20,5.61,5.61,5.61,5.61,000,5.61
2014-11-19,5.58,5.61,5.58,5.61,500,5.61
2014-11-18,5.51,5.51,5.51,5.51,000,5.51
2014-11-17,5.43,5.51,5.43,5.51,4700,5.51
2014-11-14,5.49,5.49,5.45,5.45,2500,5.45
2014-11-13,5.50,5.50,5.50,5.50,100,5.50
2014-11-12,5.59,5.59,5.59,5.59,000,5.59
2014-11-11,5.59,5.60,5.59,5.60,5300,5.60
2014-11-10,5.45,5.53,5.45,5.53,2000,5.53
2014-11-07,5.54,5.54,5.50,5.50,6000,5.50
2014-11-06,5.55,5.60,5.55,5.60,1400,5.60
2014-11-05,5.51,5.57,5.51,5.56,2500,5.56
2014-11-04,5.61,5.61,5.61,5.61,000,5.61
2014-11-03,5.67,5.67,5.61,5.61,1200,5.61
2014-10-31,5.59,5.65,5.59,5.65,4100,5.65
2014-10-30,5.47,5.47,5.47,5.47,1100,5.47
2014-10-29,5.54,5.54,5.54,5.54,500,5.54
2014-10-28,5.52,5.52,5.52,5.52,500,5.52
2014-10-27,5.50,5.50,5.44,5.46,3400,5.46
2014-10-24,5.52,5.52,5.52,5.52,900,5.52
2014-10-23,5.44,5.44,5.44,5.44,000,5.44
2014-10-22,5.36,5.36,5.36,5.36,400,5.36
2014-10-21,5.35,5.41,5.35,5.41,3900,5.41
2014-10-20,5.24,5.24,5.24,5.24,2900,5.24
