Date,Open,High,Low,Close,Volume,Adj Close
2014-07-14,21.33,21.35,21.33,21.35,000,21.35
2014-07-11,20.86,20.86,20.86,20.86,000,20.86
2014-07-10,20.83,20.92,20.83,20.92,000,20.92
2014-07-09,20.70,20.70,20.70,20.70,000,20.70
2014-07-08,20.65,20.82,20.65,20.82,100,20.82
2014-07-07,20.65,20.65,20.65,20.65,000,20.65
2014-07-04,20.83,20.83,20.83,20.83,000,20.83
2014-07-03,20.83,20.83,20.83,20.83,000,20.83
2014-07-02,20.83,20.92,20.83,20.83,900,20.83
2014-07-01,20.69,20.83,20.69,20.83,500,20.83
2014-06-30,21.85,21.89,21.85,21.89,000,21.89
2014-06-27,21.88,21.88,21.88,21.88,000,21.88
2014-06-26,21.90,21.90,21.90,21.90,000,21.90
2014-06-25,22.05,22.05,21.90,21.90,300,21.90
2014-06-24,22.47,22.49,22.47,22.49,000,22.49
2014-06-23,22.50,22.50,22.47,22.47,600,22.47
2014-06-20,22.11,22.28,22.11,22.28,200,22.28
2014-06-19,22.05,22.05,22.05,22.05,000,22.05
2014-06-18,21.98,21.98,21.98,21.98,000,21.98
2014-06-17,21.98,21.98,21.98,21.98,000,21.98
2014-06-16,21.92,21.92,21.92,21.92,000,21.92
2014-06-13,21.84,21.84,21.84,21.84,000,21.84
2014-06-12,21.79,21.79,21.79,21.79,000,21.79
2014-06-11,21.60,21.84,21.60,21.84,1600,21.84
2014-06-10,21.56,21.56,21.56,21.56,000,21.56
2014-06-09,21.56,21.56,21.56,21.56,000,21.56
2014-06-06,21.42,21.56,21.42,21.56,500,21.56
2014-06-05,21.41,21.41,21.41,21.41,000,21.41
2014-06-04,21.53,21.53,21.53,21.53,000,21.53
2014-06-03,21.36,21.36,21.36,21.36,000,21.36
2014-06-02,21.33,21.36,21.33,21.36,2500,21.36
2014-05-30,21.08,21.08,21.08,21.08,000,21.08
2014-05-29,20.99,20.99,20.99,20.99,000,20.99
2014-05-28,20.97,21.10,20.97,21.10,200,21.10
2014-05-27,20.99,21.04,20.99,21.04,400,21.04
2014-05-26,20.94,20.94,20.94,20.94,000,20.94
2014-05-23,20.95,20.95,20.74,20.94,300,20.94
2014-05-22,21.26,21.26,21.10,21.10,000,21.10
2014-05-21,21.25,21.34,21.25,21.34,100,21.34
2014-05-20,21.01,21.01,21.01,21.01,000,21.01
2014-05-19,20.73,20.73,20.73,20.73,000,20.73
2014-05-16,20.73,20.73,20.73,20.73,000,20.73
2014-05-15,20.73,20.73,20.73,20.73,000,20.73
2014-05-14,21.11,21.11,21.11,21.11,000,21.11
2014-05-13,21.50,21.50,21.11,21.11,5100,21.11
2014-05-12,21.85,21.85,21.50,21.50,300,21.50
2014-05-09,21.92,22.08,21.92,22.08,500,22.08
2014-05-08,21.92,21.92,21.92,21.92,000,21.92
2014-05-07,21.58,21.92,21.58,21.90,3100,21.90
2014-05-06,21.68,21.68,21.68,21.68,000,21.68
2014-05-05,21.58,21.58,21.58,21.58,000,21.58
2014-05-02,21.58,21.58,21.58,21.58,000,21.58
2014-05-01,21.42,21.42,21.42,21.42,000,21.42
2014-04-30,21.42,21.42,21.42,21.42,000,21.42
2014-04-29,21.30,21.45,21.30,21.45,100,21.45
2014-04-28,21.12,21.22,21.12,21.20,1600,21.20
2014-04-25,21.12,21.12,21.12,21.12,000,21.12
2014-04-24,21.12,21.12,21.12,21.12,000,21.12
2014-04-23,21.52,21.52,21.52,21.52,000,21.52
2014-04-22,21.17,21.17,21.17,21.17,000,21.17
2014-04-21,21.00,21.00,21.00,21.00,000,21.00
2014-04-18,21.00,21.00,21.00,21.00,000,21.00
2014-04-17,21.00,21.00,21.00,21.00,000,21.00
2014-04-16,20.45,21.00,20.45,21.00,200,21.00
2014-04-15,20.25,20.45,20.25,20.45,200,20.45
2014-04-14,19.84,19.84,19.84,19.84,000,19.84
2014-04-11,20.33,20.33,19.84,19.84,100,19.84
2014-04-10,20.00,20.00,20.00,20.00,000,20.00
2014-04-09,19.99,20.00,19.99,20.00,200,20.00
2014-04-08,20.08,20.08,20.08,20.08,000,20.08
2014-04-07,20.08,20.08,20.08,20.08,000,20.08
2014-04-04,20.80,20.80,20.80,20.80,000,20.80
2014-04-03,20.92,20.92,20.92,20.92,000,20.92
2014-04-02,20.77,20.97,20.77,20.97,1000,20.97
2014-04-01,20.79,20.79,20.77,20.77,1000,20.77
2014-03-31,20.85,20.89,20.75,20.75,500,20.75
2014-03-28,21.14,21.14,20.96,20.96,700,20.96
2014-03-27,21.27,21.27,20.93,21.07,700,21.07
2014-03-26,21.02,21.31,21.02,21.31,700,21.31
2014-03-25,20.76,20.97,20.76,20.97,500,20.97
2014-03-24,19.34,20.81,19.34,20.74,200,20.74
2014-03-21,19.26,19.26,19.26,19.26,000,19.26
2014-03-20,19.26,19.26,19.26,19.26,000,19.26
2014-03-19,19.64,19.64,19.32,19.32,200,19.32
2014-03-18,19.42,19.53,19.42,19.53,000,19.53
2014-03-17,18.98,18.98,18.98,18.98,000,18.98
2014-03-14,19.05,19.05,19.05,19.05,000,19.05
2014-03-13,18.93,18.93,18.93,18.93,000,18.93
2014-03-12,19.27,19.27,18.93,18.93,1100,18.93
2014-03-11,19.27,19.27,19.27,19.27,000,19.27
2014-03-10,19.27,19.27,19.27,19.27,000,19.27
2014-03-07,19.35,19.42,19.35,19.42,000,19.42
2014-03-06,19.32,19.32,19.32,19.32,000,19.32
2014-03-05,19.26,19.26,19.26,19.26,000,19.26
2014-03-04,19.07,19.39,19.07,19.38,600,19.38
2014-03-03,19.11,19.23,18.94,18.94,1100,18.94
2014-02-28,18.97,18.97,18.97,18.97,000,18.97
2014-02-27,19.04,19.04,18.76,18.76,500,18.76
2014-02-26,19.58,19.60,19.00,19.08,1100,19.08
2014-02-25,20.40,20.40,19.58,19.58,1100,19.58
2014-02-24,20.62,20.62,20.62,20.62,000,20.62
2014-02-21,20.62,20.62,20.62,20.62,000,20.62
2014-02-20,20.23,20.62,20.23,20.62,100,20.62
2014-02-19,20.01,20.01,20.01,20.01,000,20.01
2014-02-18,19.89,20.05,19.89,20.05,100,20.05
2014-02-17,19.88,19.88,19.79,19.79,200,19.79
2014-02-14,19.39,19.74,19.39,19.74,500,19.74
2014-02-13,18.98,19.39,18.98,19.39,200,19.39
2014-02-12,18.44,18.44,18.44,18.44,000,18.44
2014-02-11,18.42,18.44,18.42,18.44,100,18.44
2014-02-10,18.56,18.56,18.39,18.39,300,18.39
2014-02-07,18.56,18.56,18.56,18.56,000,18.56
2014-02-06,18.15,18.15,18.15,18.15,000,18.15
2014-02-05,18.35,18.35,18.27,18.27,700,18.27
2014-02-04,18.38,18.38,18.38,18.38,000,18.38
2014-02-03,18.55,18.55,18.55,18.55,000,18.55
