Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,7.14,7.14,7.14,7.14,000,7.14
2014-11-17,7.18,7.18,7.18,7.18,000,7.18
2014-11-14,7.24,7.24,7.24,7.24,000,7.24
2014-11-13,7.30,7.30,7.30,7.30,000,7.30
2014-11-12,7.38,7.38,7.38,7.38,000,7.38
2014-11-11,7.33,7.33,7.33,7.33,000,7.33
2014-11-10,7.18,7.18,7.18,7.18,000,7.18
2014-11-07,7.38,7.38,7.38,7.38,000,7.38
2014-11-06,7.29,7.29,7.29,7.29,000,7.29
2014-11-05,7.33,7.33,7.33,7.33,000,7.33
2014-11-04,7.34,7.34,7.34,7.34,000,7.34
2014-11-03,7.49,7.49,7.49,7.49,000,7.49
2014-10-31,7.22,7.22,7.22,7.22,000,7.22
2014-10-30,7.37,7.37,7.37,7.37,000,7.37
2014-10-29,7.47,7.47,7.47,7.47,000,7.47
2014-10-28,7.26,7.42,7.26,7.42,000,7.42
2014-10-27,7.38,7.38,7.38,7.38,000,7.38
2014-10-24,7.45,7.45,7.45,7.45,000,7.45
2014-10-23,7.46,7.46,7.46,7.46,000,7.46
2014-10-22,7.50,7.50,7.50,7.50,000,7.50
2014-10-21,7.32,7.32,7.32,7.32,000,7.32
2014-10-20,7.32,7.32,7.32,7.32,000,7.32
2014-10-17,7.28,7.28,7.28,7.28,000,7.28
2014-10-16,7.25,7.25,7.25,7.25,000,7.25
2014-10-15,7.49,7.49,7.49,7.49,000,7.49
2014-10-14,7.56,7.56,7.56,7.56,000,7.56
2014-10-13,7.66,7.66,7.66,7.66,000,7.66
2014-10-10,7.64,7.64,7.64,7.64,000,7.64
2014-10-09,7.76,7.76,7.76,7.76,000,7.76
2014-10-08,7.78,7.78,7.78,7.78,000,7.78
2014-10-07,7.92,7.92,7.92,7.92,000,7.92
2014-10-06,7.80,7.80,7.80,7.80,000,7.80
2014-10-03,8.30,8.30,8.30,8.30,000,8.30
2014-10-02,8.29,8.29,8.29,8.29,000,8.29
2014-10-01,8.27,8.27,8.27,8.27,000,8.27
2014-09-30,8.16,8.16,8.16,8.16,000,8.16
2014-09-29,8.08,8.08,8.08,8.08,000,8.08
2014-09-26,8.09,8.09,8.09,8.09,000,8.09
2014-09-25,8.14,8.14,8.14,8.14,000,8.14
2014-09-24,8.00,8.00,8.00,8.00,000,8.00
2014-09-23,8.05,8.05,8.05,8.05,000,8.05
2014-09-22,8.08,8.08,8.08,8.08,000,8.08
2014-09-19,8.00,8.00,8.00,8.00,000,8.00
2014-09-18,8.05,8.05,8.05,8.05,000,8.05
2014-09-17,8.04,8.04,8.04,8.04,000,8.04
2014-09-16,8.02,8.02,8.02,8.02,000,8.02
2014-09-15,8.10,8.10,8.10,8.10,000,8.10
2014-09-12,8.14,8.14,8.14,8.14,000,8.14
2014-09-11,7.94,7.94,7.94,7.94,000,7.94
2014-09-10,7.90,7.90,7.90,7.90,000,7.90
2014-09-09,7.92,7.92,7.92,7.92,000,7.92
2014-09-08,7.95,7.95,7.95,7.95,000,7.95
2014-09-05,7.97,7.97,7.97,7.97,000,7.97
2014-09-04,7.87,7.87,7.87,7.87,000,7.87
2014-09-03,7.78,7.78,7.78,7.78,000,7.78
2014-09-02,7.85,7.85,7.85,7.85,000,7.85
2014-09-01,7.83,7.83,7.83,7.83,000,7.83
2014-08-29,7.81,7.81,7.81,7.81,000,7.81
2014-08-28,7.91,7.91,7.91,7.91,000,7.91
