Date;Open;High;Low;Close;Adj close
1998-12-18;N/A;4.76;4.43;4.47;4.47
1998-12-21;N/A;4.54;4.36;4.46;4.46
1998-12-22;N/A;4.43;4.36;4.39;4.39
1998-12-23;N/A;4.39;4.28;4.28;4.28
1998-12-28;N/A;4.25;4.14;4.22;4.22
1998-12-29;N/A;4.21;3.97;3.98;3.98
1998-12-30;N/A;4.17;3.82;4.1;4.1
1999-01-04;N/A;4.42;4.07;4.42;4.42
1999-01-05;N/A;4.42;4.27;4.39;4.39
1999-01-07;N/A;4.48;4.29;4.44;4.44
1999-01-08;N/A;4.49;4.38;4.44;4.44
1999-01-11;N/A;4.56;4.31;4.35;4.35
1999-01-12;N/A;4.36;4.18;4.27;4.27
1999-01-13;N/A;4.18;3.93;4.01;4.01
1999-01-14;N/A;4.09;4.01;4.03;4.03
1999-01-15;N/A;4.01;3.95;3.96;3.96
1999-01-18;N/A;4.05;3.97;4.03;4.03
1999-01-19;N/A;4.03;3.89;3.89;3.89
1999-01-20;N/A;3.93;3.85;3.87;3.87
1999-01-21;N/A;3.88;3.82;3.85;3.85
1999-01-22;N/A;3.84;3.65;3.69;3.69
1999-01-25;N/A;3.64;3.54;3.59;3.59
1999-01-26;N/A;3.58;3.47;3.5;3.5
1999-01-27;N/A;3.92;3.47;3.8;3.8
1999-01-28;N/A;3.89;3.77;3.77;3.77
1999-01-29;N/A;3.93;3.66;3.66;3.66
1999-02-01;N/A;3.88;3.78;3.81;3.81
1999-02-02;N/A;3.82;3.73;3.77;3.77
1999-02-03;N/A;3.82;3.68;3.7;3.7
1999-02-04;N/A;3.73;3.57;3.59;3.59
1999-02-05;N/A;3.64;3.58;3.62;3.62
1999-02-08;N/A;3.7;3.58;3.62;3.62
1999-02-09;N/A;3.6;3.54;3.54;3.54
1999-02-10;N/A;3.73;3.55;3.67;3.67
1999-02-11;N/A;3.81;3.67;3.78;3.78
1999-02-12;N/A;3.93;3.73;3.85;3.85
1999-02-15;N/A;3.84;3.69;3.71;3.71
1999-02-16;N/A;3.7;3.63;3.63;3.63
1999-02-17;N/A;3.66;3.51;3.55;3.55
1999-02-18;N/A;3.67;3.54;3.65;3.65
1999-02-19;N/A;3.7;3.64;3.69;3.69
1999-02-22;N/A;3.77;3.7;3.75;3.75
1999-02-23;N/A;3.88;3.75;3.84;3.84
1999-02-24;N/A;3.89;3.77;3.86;3.86
1999-02-25;N/A;3.93;3.7;3.88;3.88
1999-02-26;N/A;3.87;3.81;3.84;3.84
1999-03-01;N/A;3.83;3.77;3.77;3.77
1999-03-02;N/A;3.79;3.72;3.73;3.73
1999-03-03;N/A;3.77;3.71;3.73;3.73
1999-03-04;N/A;3.77;3.72;3.77;3.77
1999-03-05;N/A;3.79;3.7;3.7;3.7
1999-03-08;N/A;3.8;3.72;3.77;3.77
1999-03-09;N/A;3.85;3.65;3.66;3.66
1999-03-10;N/A;3.66;3.57;3.59;3.59
1999-03-11;N/A;3.73;3.57;3.58;3.58
1999-03-12;N/A;3.67;3.57;3.64;3.64
1999-03-15;N/A;3.73;3.57;3.57;3.57
1999-03-16;N/A;3.62;3.57;3.58;3.58
1999-03-17;N/A;3.59;3.52;3.54;3.54
1999-03-18;N/A;3.54;3.45;3.46;3.46
1999-03-19;N/A;3.54;3.46;3.51;3.51
1999-03-22;N/A;3.54;3.49;3.5;3.5
1999-03-23;N/A;3.52;3.5;3.51;3.51
1999-03-24;N/A;3.54;3.5;3.51;3.51
1999-03-25;N/A;3.74;3.52;3.73;3.73
1999-03-26;N/A;3.77;3.52;3.54;3.54
1999-03-29;N/A;3.62;3.56;3.58;3.58
1999-03-30;N/A;3.64;3.58;3.58;3.58
1999-03-31;N/A;3.61;3.54;3.55;3.55
1999-04-06;N/A;3.66;3.55;3.55;3.55
1999-04-07;N/A;3.56;3.53;3.55;3.55
1999-04-08;N/A;3.62;3.57;3.6;3.6
1999-04-09;N/A;3.67;3.61;3.62;3.62
1999-04-12;N/A;3.66;3.55;3.57;3.57
1999-04-13;N/A;3.58;3.55;3.55;3.55
1999-04-14;N/A;3.57;3.54;3.55;3.55
1999-04-15;N/A;3.57;3.53;3.54;3.54
1999-04-16;N/A;3.78;3.55;3.67;3.67
1999-04-19;N/A;3.92;3.77;3.91;3.91
1999-04-20;N/A;3.93;3.77;3.89;3.89
1999-04-21;N/A;3.89;3.76;3.77;3.77
1999-04-22;N/A;3.85;3.78;3.83;3.83
1999-04-23;N/A;3.83;3.78;3.78;3.78
1999-04-26;N/A;3.83;3.77;3.8;3.8
1999-04-27;N/A;3.83;3.78;3.82;3.82
1999-04-28;N/A;3.83;3.77;3.78;3.78
1999-04-29;N/A;3.93;3.81;3.92;3.92
