Date,Open,High,Low,Close,Volume,Adj close
2015-05-04,15.28,15.28,15.11,15.15,117696,15.15
2015-04-30,15.50,15.60,15.16,15.16,153922,15.16
2015-04-29,15.40,15.44,15.15,15.15,154479,15.15
2015-04-28,15.48,15.60,15.41,15.44,59969,15.44
2015-04-27,15.60,15.67,15.43,15.47,98168,15.47
2015-04-24,15.40,15.62,15.32,15.61,122857,15.61
2015-04-23,15.31,15.55,15.30,15.43,155831,15.43
2015-04-22,15.84,15.84,15.40,15.47,118899,15.47
2015-04-21,15.74,15.91,15.67,15.75,78766,15.75
2015-04-20,15.85,15.90,15.66,15.80,101866,15.80
2015-04-17,15.89,15.93,15.80,15.92,169401,15.92
2015-04-16,15.99,15.99,15.85,15.90,101336,15.90
2015-04-15,15.87,16.00,15.79,15.90,185150,15.90
2015-04-14,15.81,15.94,15.72,15.78,167177,15.78
2015-04-13,16.00,16.06,15.84,15.97,209313,15.97
2015-04-10,16.10,16.10,15.80,15.98,210656,15.98
2015-04-09,15.75,16.14,15.64,16.13,173385,16.13
2015-04-08,15.77,15.80,15.55,15.61,136140,15.61
2015-04-07,15.63,15.76,15.45,15.64,210731,15.64
2015-04-02,15.63,15.70,15.53,15.62,150285,15.62
2015-04-01,15.60,15.70,15.51,15.59,255398,15.59
2015-03-31,15.90,15.90,15.52,15.58,185460,15.58
2015-03-30,15.88,15.99,15.71,15.89,92791,15.89
2015-03-27,15.76,15.90,15.59,15.85,130864,15.85
2015-03-26,16.42,16.42,15.76,15.78,277625,15.78
2015-03-25,16.60,16.61,16.43,16.50,103957,16.50
2015-03-24,16.50,16.65,16.22,16.65,111067,16.65
2015-03-23,16.75,16.75,16.39,16.54,137582,16.54
2015-03-20,16.07,16.73,16.07,16.67,649740,16.67
2015-03-19,16.03,16.20,16.01,16.18,166241,16.18
2015-03-18,15.88,16.13,15.88,16.04,108527,16.04
2015-03-17,15.90,16.07,15.86,15.98,116067,15.98
2015-03-16,15.95,15.99,15.78,15.95,146649,15.95
2015-03-13,16.20,16.27,15.45,16.06,439393,16.06
2015-03-12,16.36,16.50,16.16,16.35,187898,16.35
2015-03-11,16.90,17.07,16.05,16.64,290942,16.64
2015-03-10,17.10,17.17,16.70,16.79,175800,16.79
2015-03-09,17.20,17.30,17.00,17.06,135349,17.06
2015-03-06,17.20,17.20,16.90,17.19,177099,17.19
2015-03-05,16.85,17.20,16.85,17.19,107492,17.19
2015-03-04,16.96,17.21,16.81,16.84,134929,16.84
2015-03-03,17.04,17.25,16.96,17.13,143234,17.13
2015-03-02,16.90,17.14,16.82,16.95,236832,16.95
2015-02-27,16.99,16.99,16.80,16.89,172603,16.89
2015-02-26,17.19,17.25,16.81,16.95,254955,16.95
2015-02-25,16.89,17.40,16.89,17.27,321911,17.27
2015-02-24,16.31,17.14,16.30,17.00,382681,17.00
2015-02-23,16.00,16.30,15.95,16.30,213340,16.30
2015-02-20,16.00,16.02,15.86,15.90,62808,15.90
2015-02-19,15.90,16.10,15.90,15.99,83754,15.99
2015-02-18,16.17,16.17,15.82,15.98,107739,15.98
2015-02-17,15.88,16.15,15.75,16.08,122075,16.08
2015-02-16,15.90,15.94,15.65,15.75,118154,15.75
2015-02-13,15.93,15.93,15.66,15.86,115105,15.86
2015-02-12,15.76,15.95,15.66,15.77,113716,15.77
2015-02-11,15.67,15.79,15.66,15.77,104439,15.77
2015-02-10,15.60,15.66,15.43,15.66,142993,15.66
2015-02-09,15.62,15.87,15.50,15.63,143320,15.63
2015-02-06,15.62,15.90,15.56,15.85,83108,15.85
2015-02-05,15.94,15.94,15.53,15.61,139031,15.61
2015-02-04,15.80,15.97,15.72,15.80,106949,15.80
2015-02-03,15.43,15.78,15.16,15.73,246935,15.73
2015-02-02,15.72,15.72,15.20,15.33,150827,15.33
2015-01-30,15.93,15.93,15.45,15.50,192399,15.50
2015-01-29,15.83,16.23,15.73,15.83,274681,15.83
2015-01-28,16.18,16.30,15.91,16.28,126736,16.28
2015-01-27,16.10,16.12,15.83,16.05,134807,16.05
2015-01-26,15.99,16.16,15.86,16.08,179775,16.08
2015-01-23,15.94,16.14,15.80,15.87,168271,15.87
2015-01-22,15.80,16.09,15.45,15.89,451134,15.89
2015-01-21,15.67,15.76,15.46,15.76,165617,15.76
2015-01-20,15.40,15.83,15.29,15.72,184129,15.72
2015-01-19,15.52,15.70,15.17,15.46,196229,15.46
