Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,67.33,67.39,66.85,66.95,2802300,66.95
2014-12-30,67.24,67.67,67.00,67.36,3824900,67.36
2014-12-29,68.44,68.87,68.19,68.31,4058800,68.31
2014-12-26,68.77,69.50,68.67,68.92,1605800,68.92
2014-12-24,68.77,68.77,67.92,68.42,1092900,68.42
2014-12-23,67.64,68.81,67.53,68.73,4029600,68.73
2014-12-22,68.53,68.65,67.33,68.16,3885400,68.16
2014-12-19,67.31,68.70,67.01,68.69,4189100,68.69
2014-12-18,66.19,66.58,65.62,66.54,5346600,66.54
2014-12-17,64.27,66.64,64.04,65.67,4273300,65.67
2014-12-16,61.76,64.49,61.37,63.30,4081300,63.30
2014-12-15,62.52,62.91,60.84,60.93,4945200,60.93
2014-12-12,62.93,63.41,62.25,62.32,3913800,62.32
2014-12-11,63.63,64.67,63.60,63.81,3026500,63.81
2014-12-10,64.82,64.82,63.78,63.95,3578500,63.95
2014-12-09,65.08,66.41,65.06,65.56,2928800,65.56
2014-12-08,66.28,66.41,65.33,65.60,7248100,65.60
2014-12-05,67.28,67.45,66.90,67.13,2967900,67.13
2014-12-04,67.80,67.89,67.17,67.38,2205100,67.38
2014-12-03,68.20,68.98,67.98,68.54,3652600,68.54
2014-12-02,67.93,69.35,67.78,69.35,3114100,69.35
2014-12-01,66.75,67.56,66.43,67.49,3366300,67.49
2014-11-28,67.23,67.39,66.29,66.41,4406000,66.41
2014-11-26,71.27,71.70,70.88,71.37,3712300,71.37
2014-11-25,70.97,71.25,70.42,70.63,2074900,70.63
2014-11-24,71.08,71.37,70.77,71.06,1860600,71.06
2014-11-21,71.59,72.00,71.26,71.80,2165900,71.80
2014-11-20,70.12,71.14,70.09,71.00,2201700,71.00
2014-11-19,70.04,70.11,69.43,69.93,1187700,69.93
2014-11-18,70.26,70.31,69.60,70.03,2862100,70.03
2014-11-17,68.75,69.42,68.65,69.25,2193100,69.25
2014-11-14,68.52,69.44,68.44,69.38,1782100,69.38
2014-11-13,68.28,68.65,68.21,68.41,2225600,68.41
2014-11-12,69.08,69.93,68.83,68.89,2149700,68.89
2014-11-11,69.99,71.13,69.75,71.12,3387900,70.18
2014-11-10,71.37,71.48,70.64,70.71,2056600,69.78
2014-11-07,70.61,71.04,70.30,71.00,2570100,70.06
2014-11-06,69.29,69.56,68.84,69.46,2030100,68.54
2014-11-05,68.44,69.39,68.19,69.23,3373600,68.31
2014-11-04,68.88,69.08,68.37,68.79,3499100,67.88
2014-11-03,70.88,71.03,69.98,70.03,3053200,69.10
2014-10-31,71.38,71.84,70.82,71.79,2204900,70.84
2014-10-30,71.08,71.65,70.78,71.38,1709800,70.44
2014-10-29,71.80,72.20,70.83,71.36,1765800,70.42
2014-10-28,71.02,71.50,70.68,71.50,1483400,70.55
2014-10-27,70.35,70.89,70.03,70.45,1983100,69.52
2014-10-24,70.72,70.90,70.40,70.90,1665600,69.96
2014-10-23,70.43,71.08,70.11,70.83,3660300,69.89
2014-10-22,69.90,70.41,69.54,69.54,4006000,68.62
2014-10-21,69.10,70.27,69.06,70.20,4973400,69.27
2014-10-20,67.60,68.37,67.42,68.32,5281200,67.42
2014-10-17,68.28,69.36,68.13,68.72,6260600,67.81
2014-10-16,65.84,67.29,65.68,67.21,8687500,66.32
2014-10-15,68.51,68.56,66.88,68.41,5224500,67.51
2014-10-14,69.71,69.75,68.48,68.50,4487400,67.59
2014-10-13,70.90,71.14,69.63,69.64,3064900,68.72
2014-10-10,70.70,71.02,70.20,70.33,5967500,69.40
2014-10-09,72.74,73.07,71.91,72.09,3077700,71.14
2014-10-08,73.44,74.59,73.05,74.59,2052200,73.60
2014-10-07,73.45,73.73,73.15,73.15,1392900,72.18
2014-10-06,73.30,73.91,73.21,73.73,1407800,72.76
2014-10-03,73.64,73.83,73.13,73.55,1589700,72.58
2014-10-02,75.08,75.15,73.40,74.29,2158400,73.31
2014-10-01,75.49,75.77,74.93,75.17,2036100,74.18
2014-09-30,76.45,76.66,75.90,76.13,1566200,75.12
2014-09-29,76.69,76.94,76.40,76.65,1354500,75.64
2014-09-26,76.05,76.81,75.77,76.60,1883400,75.59
2014-09-25,76.71,76.78,76.08,76.34,1600900,75.33
2014-09-24,77.83,77.89,77.18,77.76,1150000,76.73
2014-09-23,77.88,78.26,77.64,77.66,1232900,76.63
2014-09-22,78.44,78.63,78.20,78.56,1094100,77.52
