Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,865.00,865.00,865.00,865.00,000,865.00
2014-12-31,878.90,883.00,862.40,865.00,1665500,865.00
2014-12-30,882.30,886.70,863.20,868.60,5088600,868.60
2014-12-29,890.60,906.50,879.40,889.70,4704700,889.70
2014-12-26,881.20,881.20,881.20,881.20,000,881.20
2014-12-25,881.20,881.20,881.20,881.20,000,881.20
2014-12-24,862.10,888.80,862.00,881.20,1890000,881.20
2014-12-23,883.00,887.61,864.50,879.50,7337000,879.50
2014-12-22,907.40,920.20,877.60,886.10,6784700,886.10
2014-12-19,890.00,909.00,865.80,901.30,15601400,901.30
2014-12-18,878.40,881.70,847.10,875.80,14971400,875.80
2014-12-17,817.80,862.00,799.30,854.70,13399600,854.70
2014-12-16,795.00,828.70,780.55,827.20,17555600,827.20
2014-12-15,816.30,851.11,793.40,795.10,18329800,795.10
2014-12-12,833.50,844.89,817.90,819.00,10329100,819.00
2014-12-11,873.00,885.40,843.70,843.70,13441000,843.70
2014-12-10,921.00,925.10,872.00,872.40,11222300,872.40
2014-12-09,874.80,908.80,867.80,898.80,10683200,898.80
2014-12-08,903.00,915.30,890.10,895.00,4984700,895.00
2014-12-05,936.10,937.10,905.74,907.50,9527300,907.50
2014-12-04,937.70,943.70,914.30,923.20,10271300,923.20
2014-12-03,935.00,953.90,921.00,936.40,12084000,936.40
2014-12-02,916.50,938.90,885.00,935.50,14465200,935.50
2014-12-01,865.00,910.40,862.68,904.60,19149800,904.60
2014-11-28,964.40,964.40,898.30,900.20,24250200,900.20
2014-11-27,1047.00,1047.00,980.62,986.70,11030500,986.70
2014-11-26,1050.50,1054.50,1038.00,1049.50,4535900,1049.50
2014-11-25,1059.00,1059.00,1044.50,1050.50,5855800,1050.50
2014-11-24,1072.00,1074.50,1060.50,1062.00,5938100,1062.00
2014-11-21,1051.50,1079.50,1046.00,1069.00,8557600,1069.00
2014-11-20,1035.00,1049.00,1026.00,1046.00,6732600,1046.00
2014-11-19,1037.50,1038.55,1016.00,1027.50,5950000,1027.50
2014-11-18,1039.50,1050.50,1033.55,1038.50,7052700,1038.50
2014-11-17,1034.00,1040.50,1027.50,1035.50,4788600,1035.50
2014-11-14,1025.50,1049.00,1013.50,1046.00,5724000,1046.00
2014-11-13,1037.00,1049.50,1020.85,1028.50,6017900,1028.50
2014-11-12,1031.50,1042.00,1025.50,1033.00,4925600,1033.00
2014-11-11,1055.00,1055.00,1029.00,1035.50,7465100,1035.50
2014-11-10,1053.50,1420.00,1047.50,1055.50,4462400,1055.50
2014-11-07,1030.00,1052.00,1027.00,1049.50,6622900,1049.50
2014-11-06,1016.00,1039.50,1010.50,1025.50,6790400,1025.50
2014-11-05,1002.50,1020.00,995.00,1015.50,10221500,1015.50
2014-11-04,1029.00,1029.00,995.80,999.10,8279800,999.10
2014-11-03,1043.50,1050.50,1033.50,1036.00,7212000,1036.00
2014-10-31,1044.50,1052.50,1023.00,1040.00,8505500,1040.00
2014-10-30,1051.50,1051.50,1014.50,1026.50,6750900,1026.50
2014-10-29,1025.00,1064.50,1025.00,1044.50,7404700,1044.50
2014-10-28,1045.00,1045.00,1008.50,1026.00,14181300,1026.00
2014-10-27,1056.00,1056.00,1022.50,1043.00,5344800,1043.00
2014-10-24,1060.00,1067.00,1040.00,1043.00,6394100,1043.00
2014-10-23,1041.50,1061.00,1031.50,1056.50,6600100,1056.50
2014-10-22,1067.00,1070.00,1054.50,1062.50,6503000,1062.50
2014-10-21,1019.00,1062.00,1013.00,1061.50,10927500,1061.50
2014-10-20,1065.00,1068.00,1021.00,1024.50,8648400,1024.50
2014-10-17,1030.00,1068.03,1028.50,1065.00,12323100,1065.00
2014-10-16,1032.00,1038.00,1000.50,1030.00,14186000,1030.00
2014-10-15,1055.00,1058.00,1011.50,1015.00,12449000,1015.00
2014-10-14,1030.50,1039.50,1017.15,1025.00,6489500,1025.00
2014-10-13,1014.00,1048.00,1010.76,1040.00,6607600,1040.00
2014-10-10,1039.50,1047.00,1019.50,1025.00,6889500,1025.00
2014-10-09,1073.50,1078.00,1045.99,1051.00,5132700,1051.00
2014-10-08,1078.00,1084.50,1058.50,1063.00,5363600,1063.00
2014-10-07,1092.50,1094.50,1082.50,1082.50,6975400,1082.50
2014-10-06,1065.00,1109.30,1064.50,1093.00,8279400,1093.00
2014-10-03,1070.00,1086.56,1061.50,1066.00,5070400,1066.00
2014-10-02,1093.50,1093.50,1051.50,1053.50,10683200,1053.50
2014-10-01,1137.00,1138.00,1087.50,1093.00,10274600,1093.00
2014-09-30,1152.00,1155.50,1132.00,1140.00,5387100,1140.00
2014-09-29,1126.50,1146.50,1116.50,1145.50,5274000,1145.50
2014-09-26,1138.50,1142.00,1125.50,1127.50,4355200,1127.50
2014-09-25,1152.00,1159.50,1132.00,1138.50,4906900,1138.50
2014-09-24,1145.50,1154.00,1132.64,1150.50,4842000,1150.50
2014-09-23,1170.50,1172.00,1140.00,1144.50,4887900,1144.50
2014-09-22,1164.50,1172.50,1146.69,1169.00,3932700,1169.00
2014-09-19,1187.00,1192.00,1166.50,1166.50,8974900,1166.50
2014-09-18,1167.50,1175.03,1153.00,1170.50,3892100,1170.50
2014-09-17,1170.50,1175.00,1145.53,1164.00,3933700,1164.00
2014-09-16,1156.00,1168.00,1145.32,1161.50,4834000,1161.50
2014-09-15,1172.00,1174.00,1146.00,1153.50,5523500,1153.50
2014-09-12,1185.50,1187.30,1176.00,1178.50,3785400,1178.50
