Date,Open,High,Low,Close,Volume,Adj Close
2014-01-23,25.22,25.22,24.93,25.07,318300,25.07
2014-01-22,25.28,25.28,25.00,25.08,66900,25.08
2014-01-21,25.60,25.61,25.26,25.48,51400,25.48
2014-01-17,25.89,25.92,25.61,25.71,126500,25.71
2014-01-16,25.90,26.00,25.81,26.00,58900,26.00
2014-01-15,25.70,25.97,25.70,25.90,23200,25.90
2014-01-14,25.76,25.99,25.70,25.97,44900,25.97
2014-01-13,25.88,25.88,25.60,25.67,40000,25.67
2014-01-10,25.85,26.00,25.85,26.00,17600,26.00
2014-01-09,25.62,25.71,25.40,25.53,43600,25.53
2014-01-08,25.26,25.41,25.26,25.35,57400,25.35
2014-01-07,25.31,25.48,25.30,25.46,22900,25.46
2014-01-06,24.86,24.86,24.70,24.80,21100,24.80
2014-01-03,24.63,24.70,24.51,24.62,15500,24.62
2014-01-02,24.79,24.79,24.62,24.74,33200,24.74
2013-12-31,25.32,25.38,25.20,25.29,44700,25.29
2013-12-30,25.24,25.39,25.24,25.38,22400,25.38
2013-12-27,25.35,25.41,25.17,25.38,85300,25.38
2013-12-26,25.11,25.29,25.06,25.25,26400,25.25
2013-12-24,25.27,25.27,24.29,25.09,23000,25.09
2013-12-23,24.66,25.10,24.66,25.10,70300,25.10
2013-12-20,24.64,24.95,24.56,24.66,26500,24.66
2013-12-19,24.45,25.07,24.45,24.73,21100,24.73
2013-12-18,24.38,25.09,24.25,24.69,44900,24.69
2013-12-17,24.99,24.99,24.80,24.92,39700,24.26
2013-12-16,25.09,25.19,24.93,25.04,32600,24.38
2013-12-13,24.82,24.93,24.73,24.91,46700,24.25
2013-12-12,24.86,24.95,24.76,24.84,37500,24.19
2013-12-11,25.18,25.18,24.85,24.87,9400,24.22
2013-12-10,24.97,25.06,24.74,24.92,18100,24.26
2013-12-09,24.95,25.06,24.90,25.03,33300,24.37
2013-12-06,24.72,24.98,24.62,24.86,17200,24.21
2013-12-05,24.70,24.75,24.55,24.58,19900,23.93
2013-12-04,24.87,25.05,24.70,24.85,36500,24.20
2013-12-03,25.43,25.53,25.29,25.30,24000,24.63
2013-12-02,25.95,26.02,25.86,25.86,130300,25.18
2013-11-29,26.20,26.37,26.17,26.17,45600,25.48
2013-11-27,26.09,26.19,26.02,26.15,198000,25.46
2013-11-26,26.23,26.34,25.99,26.05,58000,25.36
2013-11-25,24.97,25.00,24.83,24.91,24600,24.25
2013-11-22,25.11,25.29,25.03,25.24,15600,24.58
2013-11-21,24.86,24.93,24.76,24.90,28400,24.24
2013-11-20,24.82,24.88,24.46,24.54,17700,23.89
2013-11-19,25.14,25.17,24.80,24.85,138900,24.20
2013-11-18,25.19,25.28,24.89,24.91,117600,24.25
2013-11-15,24.90,25.02,24.78,25.00,31000,24.34
2013-11-14,24.67,25.05,24.67,25.02,63400,24.36
2013-11-13,24.47,24.89,24.47,24.89,19000,24.23
2013-11-12,24.56,24.60,24.47,24.59,80600,23.94
2013-11-11,25.22,25.45,25.05,25.07,66100,24.41
2013-11-08,25.11,25.27,25.01,25.26,39100,24.60
2013-11-07,25.91,25.91,25.51,25.70,18300,25.02
2013-11-06,26.58,26.72,26.54,26.71,41900,26.01
2013-11-05,26.34,26.46,26.31,26.43,23700,25.73
2013-11-04,26.75,26.82,26.57,26.72,31500,26.02
2013-11-01,26.65,26.77,26.39,26.63,28800,25.93
2013-10-31,26.73,26.94,26.54,26.74,20700,26.04
2013-10-30,26.77,26.94,26.60,26.77,44200,26.07
2013-10-29,26.62,26.71,26.57,26.68,55700,25.98
2013-10-28,26.36,26.53,26.27,26.40,50300,25.71
2013-10-25,26.64,26.70,26.36,26.48,65400,25.78
2013-10-24,26.50,26.52,26.30,26.49,20200,25.79
2013-10-23,26.40,26.52,26.30,26.37,41400,25.68
2013-10-22,26.60,26.80,26.54,26.71,95900,26.01
2013-10-21,26.61,26.70,26.54,26.70,152800,26.00
2013-10-18,26.48,26.50,26.40,26.50,75200,25.80
2013-10-17,26.19,26.43,26.12,26.43,25100,25.73
2013-10-16,25.65,25.82,25.59,25.71,61000,25.03
2013-10-15,25.20,25.29,25.17,25.24,20100,24.58
2013-10-14,25.14,25.29,25.10,25.29,23500,24.62
2013-10-11,25.10,25.24,25.04,25.10,22200,24.44
2013-10-10,24.91,25.20,24.91,25.19,30000,24.53
2013-10-09,24.66,24.85,24.65,24.85,19900,24.20
2013-10-08,24.76,24.83,24.58,24.63,22600,23.98
2013-10-07,24.56,24.78,24.52,24.68,23100,24.03
2013-10-04,24.78,24.99,24.77,24.88,35700,24.23
2013-10-03,24.81,24.81,24.57,24.69,10300,24.04
2013-10-02,25.06,25.08,24.90,25.06,35600,24.40
2013-10-01,24.93,25.14,24.92,25.05,85700,24.39
2013-09-30,24.75,24.86,24.70,24.71,30700,24.06
2013-09-27,24.95,25.07,24.91,25.03,23000,24.37
2013-09-26,25.05,25.16,24.99,25.10,13200,24.44
2013-09-25,24.87,25.08,24.87,24.99,23300,24.33
2013-09-24,24.83,24.88,24.69,24.77,34500,24.12
2013-09-23,24.58,24.60,24.38,24.51,34400,23.86
2013-09-20,25.01,25.03,24.74,24.74,85100,24.09
2013-09-19,24.72,24.77,24.63,24.77,25000,24.12
2013-09-18,24.15,24.70,23.98,24.58,29600,23.93
2013-09-17,24.36,24.45,24.25,24.33,32400,23.69
2013-09-16,24.61,24.61,24.28,24.31,43000,23.67
2013-09-13,24.58,24.63,24.34,24.63,19100,23.98
2013-09-12,24.59,24.69,24.53,24.60,24200,23.95
2013-09-11,24.49,24.64,24.40,24.60,59300,23.95
2013-09-10,24.28,24.42,24.28,24.40,19800,23.76
2013-09-09,24.03,24.24,24.03,24.15,29100,23.51
2013-09-06,24.23,24.23,23.84,24.03,15700,23.40
2013-09-05,23.75,23.91,23.70,23.79,14200,23.16
2013-09-04,23.52,23.95,23.50,23.86,62900,23.23
2013-09-03,23.66,23.68,23.44,23.56,25700,22.94
2013-08-30,23.35,23.41,23.04,23.25,45000,22.64
2013-08-29,23.71,23.82,23.61,23.72,14000,23.10
2013-08-28,23.75,24.18,23.75,24.08,20500,23.45
2013-08-27,23.46,23.62,23.31,23.36,7500,22.75
2013-08-26,23.73,23.87,23.70,23.74,34800,23.12
2013-08-23,23.80,23.89,23.80,23.88,20500,23.25
2013-08-22,23.50,23.59,23.45,23.49,5800,22.87
2013-08-21,23.12,23.33,23.12,23.17,13700,22.56
2013-08-20,23.26,23.40,23.19,23.31,17600,22.70
2013-08-19,23.74,23.74,23.40,23.40,27400,22.78
2013-08-16,24.07,24.18,24.03,24.13,24600,23.49
2013-08-15,23.68,24.00,23.45,23.94,20700,23.31
2013-08-14,23.79,24.00,23.79,23.92,10700,23.29
2013-08-13,24.15,24.25,23.88,24.25,41000,23.61
2013-08-12,24.02,24.14,24.01,24.14,47200,23.50
2013-08-09,24.18,24.29,24.12,24.17,21800,23.53
2013-08-08,24.22,24.25,24.08,24.20,41900,23.56
2013-08-07,24.04,24.25,24.04,24.18,23800,23.54
2013-08-06,24.34,24.34,23.86,24.09,24000,23.46
2013-08-05,24.33,24.33,24.10,24.25,22600,23.61
2013-08-02,24.05,24.33,24.05,24.27,35600,23.63
2013-08-01,23.99,24.09,23.92,24.09,80100,23.46
2013-07-31,23.70,23.99,23.70,23.88,54100,23.25
2013-07-30,23.76,23.77,23.53,23.56,40300,22.94
2013-07-29,23.56,23.65,23.35,23.45,42900,22.83
2013-07-26,23.45,23.50,23.16,23.46,16100,22.84
2013-07-25,22.89,23.21,22.78,23.21,23100,22.60
2013-07-24,22.77,22.95,22.68,22.81,42200,22.21
2013-07-23,22.58,22.62,22.46,22.57,17200,21.98
2013-07-22,22.10,22.22,21.96,22.22,22600,21.64
2013-07-19,21.88,21.95,21.79,21.89,10000,21.31
2013-07-18,21.69,21.98,21.67,21.97,12400,21.39
2013-07-17,21.54,21.61,21.38,21.43,41700,20.87
2013-07-16,21.54,21.67,21.45,21.67,24000,21.10
2013-07-15,21.73,21.78,21.54,21.70,11600,21.13
2013-07-12,21.55,21.60,21.43,21.60,22700,21.03
2013-07-11,21.98,22.18,21.94,22.09,25700,21.51
2013-07-10,21.38,21.80,21.38,21.71,14500,21.14
2013-07-09,21.34,21.34,21.12,21.26,23200,20.70
2013-07-08,21.78,21.92,21.72,21.80,12900,21.23
2013-07-05,21.46,21.49,21.28,21.48,12200,20.91
2013-07-03,20.88,21.21,20.88,21.21,12600,20.65
2013-07-02,21.44,21.45,21.06,21.10,21300,20.54
2013-07-01,21.41,21.58,21.39,21.39,56300,20.83
2013-06-28,21.13,21.20,20.99,21.16,25000,20.60
2013-06-27,21.19,21.44,21.17,21.42,112300,20.86
2013-06-26,21.07,21.12,20.90,21.10,21900,20.54
2013-06-25,20.84,20.85,20.58,20.77,44000,20.22
2013-06-24,20.72,20.87,20.56,20.80,44000,20.25
2013-06-21,21.56,21.56,21.16,21.30,19100,20.74
2013-06-20,21.90,21.90,21.33,21.57,8300,21.00
2013-06-19,23.34,23.38,22.27,22.41,33400,21.82
2013-06-18,23.33,23.33,22.80,22.94,14300,22.34
2013-06-17,23.27,23.27,22.59,22.76,48400,22.16
2013-06-14,23.11,23.24,22.99,23.01,5800,21.77
2013-06-13,23.10,23.24,22.91,23.24,42700,21.99
2013-06-12,23.24,23.31,22.96,22.99,17200,21.75
2013-06-11,22.70,23.04,22.70,22.99,7400,21.75
2013-06-10,23.03,23.04,22.91,23.00,14000,21.76
2013-06-07,22.84,22.91,22.71,22.84,16400,21.61
2013-06-06,22.77,22.92,22.55,22.80,11700,21.57
2013-06-05,22.94,22.94,22.64,22.73,11700,21.50
2013-06-04,23.20,23.21,22.86,23.01,22800,21.77
2013-06-03,22.86,23.23,22.86,23.20,20600,21.95
2013-05-31,23.18,23.27,22.80,22.88,32200,21.64
2013-05-30,23.50,23.72,23.47,23.70,34000,22.42
2013-05-29,23.55,23.65,23.37,23.61,46800,22.34
2013-05-28,23.60,23.66,23.38,23.45,53400,22.18
2013-05-24,22.79,23.11,22.78,23.11,18900,21.86
2013-05-23,23.17,23.42,23.10,23.42,35300,22.16
2013-05-22,23.52,23.69,23.05,23.12,9100,21.87
2013-05-21,23.55,23.73,23.34,23.63,25500,22.35
2013-05-20,23.32,23.65,23.32,23.50,12700,22.23
2013-05-17,23.54,23.83,23.52,23.83,16700,22.54
2013-05-16,23.67,23.80,23.50,23.53,55800,22.26
2013-05-15,23.43,23.77,23.43,23.71,27400,22.43
2013-05-14,23.53,23.68,23.43,23.56,21300,22.29
2013-05-13,23.44,23.55,23.37,23.46,8700,22.19
2013-05-10,23.50,23.60,23.27,23.60,41400,22.33
2013-05-09,24.17,24.17,23.75,23.85,43100,22.56
2013-05-08,23.90,24.10,23.90,24.09,25600,22.79
2013-05-07,23.73,23.81,23.50,23.69,20000,22.41
2013-05-06,23.72,23.72,23.46,23.54,41600,22.27
2013-05-03,23.69,23.97,23.59,23.73,23000,22.45
2013-05-02,23.00,23.30,22.99,23.24,11600,21.99
2013-05-01,23.65,23.65,23.14,23.32,18800,22.06
2013-04-30,23.42,23.55,23.32,23.36,17900,22.10
2013-04-29,23.05,23.44,23.05,23.31,36800,22.05
2013-04-26,22.55,22.74,22.52,22.73,23300,21.50
2013-04-25,22.61,22.82,22.57,22.70,16500,21.47
2013-04-24,22.50,22.92,22.46,22.82,56600,21.59
2013-04-23,21.99,22.25,21.99,22.21,30100,21.01
2013-04-22,21.68,21.99,21.68,21.98,36800,20.79
2013-04-19,21.26,21.48,21.19,21.41,129400,20.25
2013-04-18,20.90,21.31,20.90,21.22,26800,20.07
2013-04-17,21.39,21.42,20.85,20.95,24300,19.82
2013-04-16,21.96,21.99,21.60,21.84,20100,20.66
2013-04-15,21.71,21.77,21.43,21.47,45400,20.31
2013-04-12,22.19,22.23,22.03,22.16,20800,20.96
2013-04-11,22.10,22.36,22.01,22.20,26600,21.00
2013-04-10,21.93,22.25,21.93,22.11,47100,20.92
2013-04-09,21.49,21.81,21.37,21.70,42800,20.53
2013-04-08,20.98,21.02,20.88,20.95,40800,19.82
2013-04-05,20.71,20.83,20.55,20.82,23100,19.70
2013-04-04,20.46,20.64,20.28,20.56,43000,19.45
2013-04-03,20.70,20.80,20.33,20.42,44700,19.32
2013-04-02,20.57,20.83,20.57,20.69,37600,19.57
2013-04-01,20.02,20.54,20.02,20.50,84700,19.39
2013-03-28,20.40,20.55,20.10,20.39,21300,19.29
2013-03-27,20.25,20.38,20.02,20.31,15100,19.21
2013-03-26,20.71,20.77,20.34,20.74,30000,19.62
2013-03-25,21.63,21.78,20.49,20.67,138400,19.55
2013-03-22,21.76,21.95,21.70,21.75,9800,20.58
2013-03-21,21.39,21.76,21.39,21.58,31900,20.41
2013-03-20,21.81,21.87,21.49,21.65,40700,20.48
2013-03-19,21.67,21.71,21.27,21.44,45100,20.28
2013-03-18,21.73,21.95,21.62,21.80,36800,20.62
2013-03-15,22.26,22.38,22.21,22.32,20200,21.11
2013-03-14,22.30,22.53,22.30,22.49,41100,21.28
2013-03-13,21.93,22.08,21.84,22.04,37900,20.85
2013-03-12,22.41,22.45,22.05,22.16,18400,20.96
2013-03-11,22.17,22.34,22.13,22.32,40800,21.11
2013-03-08,22.65,22.72,22.51,22.62,102600,21.40
2013-03-07,22.09,22.27,22.06,22.17,16400,20.97
2013-03-06,22.19,22.19,21.90,22.04,31800,20.85
2013-03-05,22.00,22.20,22.00,22.14,20500,20.94
2013-03-04,21.52,21.84,21.52,21.84,40800,20.66
2013-03-01,21.08,21.26,21.06,21.25,10600,20.10
2013-02-28,21.12,21.46,21.08,21.30,46000,20.15
2013-02-27,20.78,21.30,20.78,21.30,29100,20.15
2013-02-26,20.43,20.96,20.06,20.96,237700,19.83
2013-02-25,21.40,21.42,20.02,20.02,117200,18.94
2013-02-22,20.20,20.59,20.14,20.58,22300,19.47
2013-02-21,20.13,20.21,19.93,20.04,65200,18.96
2013-02-20,20.99,21.04,20.57,20.57,40300,19.46
2013-02-19,20.80,21.17,20.80,21.15,61000,20.01
2013-02-15,20.80,20.82,20.43,20.56,24400,19.45
2013-02-14,20.99,21.13,20.95,21.11,29000,19.97
2013-02-13,21.62,21.65,21.43,21.52,23200,20.36
2013-02-12,21.27,21.52,21.22,21.46,11800,20.30
2013-02-11,21.17,21.17,20.92,21.03,59100,19.89
2013-02-08,21.26,21.47,21.26,21.38,26100,20.23
2013-02-07,21.60,21.60,20.97,21.06,36700,19.92
2013-02-06,21.35,21.52,21.15,21.32,134400,20.17
2013-02-05,21.61,21.71,21.50,21.57,75300,20.41
2013-02-04,21.77,21.87,21.12,21.13,105400,19.99
2013-02-01,22.17,22.42,22.17,22.40,46800,21.19
2013-01-31,22.57,22.70,22.32,22.32,39800,21.11
2013-01-30,22.99,23.20,22.94,23.14,18800,21.89
2013-01-29,23.19,23.20,22.97,23.10,23300,21.85
2013-01-28,23.44,23.53,23.17,23.39,166300,22.13
2013-01-25,23.27,23.69,23.22,23.59,78800,22.32
2013-01-24,22.76,22.95,22.69,22.87,17100,21.64
2013-01-23,22.70,22.79,22.62,22.72,63400,21.49
2013-01-22,22.92,23.00,22.62,22.75,33700,21.52
2013-01-18,22.50,22.61,22.36,22.61,47700,21.39
2013-01-17,22.46,22.66,22.40,22.50,73200,21.29
2013-01-16,22.20,22.24,22.03,22.18,25400,20.98
2013-01-15,21.96,22.25,21.93,22.16,41400,20.96
2013-01-14,21.98,22.11,21.84,22.03,43700,20.84
2013-01-11,22.07,22.15,21.99,22.03,32400,20.84
2013-01-10,21.63,21.89,21.55,21.89,36600,20.71
2013-01-09,20.96,21.17,20.91,21.05,8800,19.91
2013-01-08,21.04,21.04,20.74,20.97,17100,19.84
2013-01-07,20.91,20.99,20.79,20.98,44000,19.85
2013-01-04,20.81,21.24,20.75,21.24,55200,20.09
2013-01-03,20.89,20.94,20.67,20.74,35800,19.62
2013-01-02,21.17,21.21,20.84,21.08,54400,19.94
2012-12-31,20.20,20.90,20.20,20.90,34600,19.77
2012-12-28,20.53,20.62,20.24,20.27,26100,19.18
2012-12-27,21.04,21.70,21.04,21.18,90200,20.04
2012-12-26,21.47,21.49,20.59,20.90,24600,19.77
2012-12-24,21.61,21.90,20.60,20.98,19300,19.85
2012-12-21,21.49,21.49,20.60,20.80,194000,19.68
2012-12-20,21.60,21.60,20.99,21.10,23800,19.96
2012-12-19,21.86,21.90,21.64,21.64,43400,19.88
2012-12-18,21.19,21.51,21.17,21.51,40000,19.76
2012-12-17,21.14,21.24,21.05,21.09,27900,19.37
2012-12-14,21.01,21.15,20.91,20.95,10300,19.25
2012-12-13,20.85,20.97,20.77,20.83,58900,19.14
2012-12-12,20.78,21.04,20.76,20.85,40800,19.15
2012-12-11,20.63,20.90,20.63,20.79,24200,19.10
2012-12-10,20.19,20.31,20.19,20.26,59800,18.61
2012-12-07,20.65,20.65,20.39,20.58,114900,18.91
2012-12-06,21.02,21.09,20.83,20.93,28100,19.23
2012-12-05,21.28,21.34,21.15,21.32,20500,19.59
2012-12-04,21.20,21.38,21.19,21.28,28400,19.55
2012-12-03,21.32,21.35,21.05,21.20,104000,19.48
2012-11-30,21.26,21.31,21.14,21.22,43900,19.49
2012-11-29,21.58,21.60,21.35,21.46,39000,19.71
2012-11-28,20.70,21.21,20.70,21.19,62700,19.47
2012-11-27,21.19,21.25,21.04,21.05,15800,19.34
2012-11-26,21.34,21.60,21.34,21.60,22800,19.84
2012-11-23,21.53,21.64,21.48,21.64,11300,19.88
2012-11-21,20.77,20.98,20.70,20.93,32900,19.23
2012-11-20,20.44,20.74,20.44,20.65,49800,18.97
2012-11-19,20.25,20.61,20.25,20.47,106800,18.80
2012-11-16,20.06,20.10,19.80,19.96,33600,18.34
2012-11-15,20.10,20.32,19.94,20.01,141800,18.38
2012-11-14,19.48,19.50,19.16,19.18,31600,17.62
2012-11-13,18.96,19.50,18.96,19.47,16500,17.89
2012-11-12,19.20,19.40,19.05,19.30,29400,17.73
2012-11-09,19.21,19.54,19.05,19.25,36600,17.68
2012-11-08,19.58,19.62,19.21,19.24,24100,17.67
2012-11-07,19.36,19.36,19.09,19.25,9500,17.68
2012-11-06,19.64,19.95,19.61,19.76,7500,18.15
2012-11-05,19.65,19.70,19.48,19.68,35000,18.08
2012-11-02,20.20,20.24,19.95,20.00,15100,18.37
2012-11-01,20.23,20.23,19.99,20.20,9900,18.56
2012-10-31,19.81,20.28,19.81,20.10,73300,18.46
2012-10-26,19.50,19.54,19.31,19.38,25900,17.80
2012-10-25,19.52,19.53,19.35,19.40,26600,17.82
2012-10-24,19.69,19.71,19.55,19.68,13000,18.08
2012-10-23,19.58,19.85,19.30,19.66,181400,18.06
2012-10-22,20.34,20.46,20.15,20.26,106000,18.61
2012-10-19,20.43,20.43,20.07,20.13,27200,18.49
2012-10-18,20.70,20.97,20.64,20.82,16900,19.13
2012-10-17,20.64,20.98,20.64,20.90,57900,19.20
2012-10-16,20.18,20.26,19.99,20.23,26500,18.58
2012-10-15,19.03,19.22,18.86,19.20,14000,17.64
2012-10-12,19.31,19.34,18.98,19.04,20000,17.49
2012-10-11,18.86,19.23,18.86,18.98,18200,17.44
2012-10-10,18.74,18.99,18.62,18.74,50200,17.22
2012-10-09,19.16,19.17,18.67,18.73,42000,17.21
2012-10-08,19.36,19.40,19.25,19.28,15300,17.71
2012-10-05,19.71,19.81,19.53,19.54,9400,17.95
2012-10-04,19.21,19.36,19.11,19.19,13000,17.63
2012-10-03,19.28,19.46,19.13,19.29,27700,17.72
2012-10-02,19.42,19.43,19.25,19.30,12700,17.73
2012-10-01,19.36,19.50,19.04,19.13,34300,17.57
2012-09-28,19.75,19.91,19.30,19.30,37800,17.73
2012-09-27,19.88,20.30,19.72,20.30,27700,18.65
2012-09-26,20.07,20.14,19.85,19.85,53300,18.23
2012-09-25,20.93,21.10,20.66,20.66,34400,18.98
2012-09-24,20.77,20.86,20.63,20.78,53200,19.09
2012-09-21,20.93,21.13,20.85,20.85,118900,19.15
2012-09-20,20.38,20.70,20.21,20.51,142600,18.84
2012-09-19,21.22,21.57,21.06,21.27,23100,19.54
2012-09-18,21.23,21.46,21.17,21.35,198000,19.61
2012-09-17,21.52,21.81,21.48,21.49,573700,19.74
2012-09-14,21.25,21.75,21.21,21.34,33000,19.60
2012-09-13,20.22,20.77,20.05,20.70,51000,19.02
2012-09-12,20.43,20.50,20.17,20.28,26900,18.63
2012-09-11,19.69,20.05,19.66,19.95,48700,18.33
2012-09-10,19.79,20.12,19.72,19.72,58100,18.12
2012-09-07,19.90,20.19,19.85,20.09,43200,18.46
2012-09-06,19.00,19.95,19.00,19.90,105900,18.28
2012-09-05,18.70,18.75,18.43,18.46,65500,16.96
2012-09-04,18.63,18.65,18.38,18.43,24200,16.93
2012-08-31,18.27,18.53,18.07,18.39,44800,16.89
2012-08-30,17.68,17.84,17.62,17.82,20800,16.37
2012-08-29,18.08,18.16,17.90,17.93,34100,16.47
2012-08-28,18.13,18.39,18.07,18.24,26900,16.76
2012-08-27,18.27,18.37,18.08,18.08,40000,16.61
2012-08-24,17.25,17.97,17.24,17.84,17000,16.39
2012-08-23,17.71,17.93,17.65,17.79,18200,16.34
2012-08-22,18.24,18.29,17.96,18.12,115300,16.65
2012-08-21,18.50,19.04,18.33,18.73,48000,17.21
2012-08-20,18.94,19.06,18.52,18.88,36600,17.34
2012-08-17,19.76,19.77,19.45,19.77,48700,18.16
2012-08-16,19.08,19.79,19.00,19.68,49100,18.08
2012-08-15,18.21,18.79,18.21,18.78,54500,17.25
2012-08-14,18.52,18.52,18.35,18.36,18700,16.87
2012-08-13,17.88,18.09,17.73,18.05,33300,16.58
2012-08-10,17.44,17.78,17.44,17.67,69800,16.23
2012-08-09,17.44,17.89,17.44,17.63,27900,16.20
2012-08-08,17.72,18.11,17.72,18.01,15800,16.54
2012-08-07,18.17,18.76,18.17,18.56,94800,17.05
2012-08-06,17.00,18.10,16.98,17.97,155700,16.51
2012-08-03,15.80,16.50,15.79,16.36,86600,15.03
2012-08-02,15.34,15.41,14.79,14.94,86500,13.72
2012-08-01,15.87,16.31,15.75,16.08,30900,14.77
2012-07-31,15.87,16.29,15.85,16.01,45000,14.71
2012-07-30,15.77,16.59,15.77,16.55,77400,15.20
2012-07-27,15.20,16.37,15.19,16.30,223200,14.97
2012-07-26,14.49,14.61,14.23,14.46,183600,13.28
2012-07-25,13.38,13.55,13.25,13.37,154400,12.28
2012-07-24,13.70,13.85,13.18,13.39,256200,12.30
2012-07-23,14.05,14.42,14.05,14.37,73000,13.20
2012-07-20,15.14,15.28,14.85,14.94,151200,13.72
2012-07-19,15.47,15.59,15.32,15.45,48200,14.19
2012-07-18,15.25,15.41,15.21,15.39,66100,14.14
2012-07-17,15.32,15.36,14.97,15.25,218000,14.01
2012-07-16,14.91,15.03,14.69,14.99,185300,13.77
2012-07-13,15.01,15.56,15.01,15.47,17900,14.21
2012-07-12,15.20,15.26,15.09,15.23,34200,13.99
2012-07-11,15.70,15.77,15.57,15.74,114400,14.46
2012-07-10,15.63,15.77,15.42,15.42,69400,14.17
2012-07-09,15.25,15.33,15.21,15.33,13800,14.08
2012-07-06,15.45,15.45,15.03,15.11,66500,13.88
2012-07-05,16.28,16.28,15.89,15.94,29200,14.64
2012-07-03,16.25,16.64,16.25,16.55,51600,15.20
2012-07-02,15.93,16.10,15.76,16.07,33000,14.76
2012-06-29,15.00,16.02,15.00,15.98,225400,14.68
2012-06-28,14.32,14.66,14.32,14.64,55700,13.45
2012-06-27,13.92,14.25,13.71,14.19,94400,13.04
2012-06-26,14.06,14.25,13.76,14.01,137600,12.87
2012-06-25,14.56,14.78,14.30,14.35,179000,13.18
2012-06-22,15.52,15.57,15.21,15.39,70100,14.14
2012-06-21,15.65,15.65,14.98,15.00,98400,13.78
2012-06-20,15.15,15.50,15.01,15.41,33700,14.16
2012-06-19,15.44,15.44,14.98,15.11,143400,13.88
2012-06-18,15.03,15.07,14.59,14.70,68100,13.50
2012-06-15,15.90,16.03,15.87,16.03,95100,14.10
2012-06-14,15.55,15.70,15.49,15.67,35500,13.78
2012-06-13,15.69,15.80,15.50,15.52,57600,13.65
