Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2014-01-17;203,80;204,00;202,50;204,30;201,30;203,80;203,42;380467;77388829;1984;
2014-01-16;202,10;202,50;200,60;202,50;199,80;202,50;201,34;647636;130387954;3293;
2014-01-15;200,60;200,70;205,50;205,50;199,00;200,60;201,83;3001722;606315031;7914;
2014-01-14;210,80;211,00;211,10;212,60;209,50;210,80;210,75;242150;51034465;1562;
2014-01-13;212,50;212,90;214,20;214,70;211,30;212,50;212,57;284059;60381616;1877;
2014-01-10;212,80;213,60;208,60;213,60;207,80;213,60;210,79;417211;87934972;2301;
2014-01-09;207,80;208,20;205,00;208,60;205,00;207,80;206,95;361095;74728714;1881;
2014-01-08;205,80;206,00;207,60;208,00;205,20;206,00;205,97;393568;81071871;1833;
2014-01-07;207,40;207,50;213,30;213,30;207,30;207,50;209,11;474029;99127264;2792;
2014-01-06;213,60;213,80;215,50;216,20;213,60;213,60;214,66;291145;62498379;1479;
2014-01-03;216,50;216,80;216,90;217,00;215,00;216,50;216,45;180938;39164324;2584;
2014-01-02;216,00;216,10;216,10;217,00;214,80;216,10;215,85;176175;38029364;2452;
2013-12-30;215,40;215,50;216,50;216,50;214,50;215,40;215,42;121639;26203614;1020;
2013-12-27;215,70;215,80;213,70;215,80;213,00;215,70;214,66;155816;33443564;904;
2013-12-23;212,00;212,30;208,70;212,40;208,00;212,30;211,00;171229;36130797;1060;
2013-12-20;208,90;209,10;205,80;209,20;205,30;209,10;208,12;184670;38431466;980;
2013-12-19;206,30;206,80;206,00;207,40;204,80;206,30;206,25;164900;34010212;986;
2013-12-18;204,20;204,50;206,00;206,00;203,60;204,20;204,76;184136;37701479;1087;
2013-12-17;205,00;205,10;205,90;205,90;203,80;205,00;204,71;136749;27987893;889;
2013-12-16;206,00;206,10;201,80;206,70;201,10;206,00;204,73;246388;50420327;1469;
2013-12-13;201,90;202,40;200,50;202,50;200,50;201,90;201,76;96732;19512889;742;
2013-12-12;201,40;201,50;202,00;202,00;200,50;201,40;201,10;141317;28427916;774;
2013-12-11;202,00;202,30;203,30;203,30;201,50;202,30;202,48;135491;27437088;721;
2013-12-10;203,00;203,40;201,00;203,40;201,00;203,40;202,57;225096;45593183;1413;
2013-12-09;201,70;201,80;201,00;202,40;200,90;201,70;201,71;166648;33614851;1437;
2013-12-06;201,00;201,10;202,00;203,00;200,50;201,00;201,09;124751;25085918;888;
2013-12-05;202,90;203,20;201,10;203,30;200,00;203,20;202,26;153658;31076349;998;
2013-12-04;201,50;201,60;201,00;201,90;200,10;201,50;201,34;293342;59062085;1675;
2013-12-03;201,00;201,10;203,00;203,50;200,50;201,00;201,59;158953;32044078;1180;
2013-12-02;202,30;202,40;201,30;203,00;200,70;202,30;202,12;141618;28622912;764;
2013-11-29;200,80;201,30;200,00;201,50;199,50;201,30;200,84;139759;28069825;816;
2013-11-28;199,50;199,70;199,80;200,40;199,00;199,60;199,62;189396;37807795;1268;
2013-11-27;199,10;199,20;202,20;202,20;198,20;199,20;199,16;335578;66864064;1440;
