Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2014-01-17;131,00;131,20;130,90;131,20;130,10;131,10;130,80;1814694;237374874;3059;
2014-01-16;130,70;130,90;130,70;130,90;129,80;130,90;130,61;2243722;293042586;3197;
2014-01-15;130,20;130,30;129,90;130,50;129,40;130,20;130,05;2207547;287079239;2938;
2014-01-14;129,10;129,20;129,30;129,50;128,00;129,20;128,86;1824007;235054705;3162;
2014-01-13;129,80;129,90;129,20;130,30;128,60;129,90;129,70;1595702;206938703;3029;
2014-01-10;128,70;128,80;129,30;130,00;128,20;128,80;128,85;1566038;201799248;3105;
2014-01-09;129,20;129,30;129,90;130,40;128,60;129,20;129,76;2653256;344288394;3839;
2014-01-08;129,80;129,90;128,60;129,90;128,60;129,80;129,64;3057733;396418127;3836;
2014-01-07;128,60;128,70;127,00;128,90;126,80;128,60;127,82;2669712;341111796;3942;
2014-01-06;126,60;126,70;124,20;126,80;124,20;126,70;125,99;2541025;320145661;3968;
2014-01-03;124,20;124,40;124,00;125,10;123,30;124,20;124,53;1919732;239061594;3881;
2014-01-02;124,20;124,30;124,70;125,40;123,80;124,20;124,74;1740505;217115040;3143;
2013-12-30;124,30;124,40;124,50;124,70;123,80;124,40;124,34;1633957;203205254;2148;
2013-12-27;124,30;124,40;124,80;125,00;124,20;124,30;124,57;848774;105730009;1837;
2013-12-23;124,10;124,30;123,50;124,50;123,00;124,30;123,74;1069588;132347903;2191;
2013-12-20;123,60;123,80;121,10;123,80;121,00;123,70;122,88;2475862;304190766;3742;
2013-12-19;121,00;121,10;121,60;122,80;120,70;121,00;121,60;2034398;247366739;3633;
2013-12-18;120,20;120,30;119,90;120,50;119,40;120,30;119,90;1619103;194128966;3342;
2013-12-17;119,30;119,40;120,00;120,70;119,20;119,30;119,81;1007297;120707888;1849;
2013-12-16;120,40;120,50;119,20;120,90;119,10;120,40;120,25;1166628;140263456;2097;
2013-12-13;119,30;119,40;120,10;120,70;119,20;119,40;119,79;1244290;149084283;2219;
2013-12-12;120,10;120,20;121,40;121,50;119,70;120,20;120,13;1478767;177765991;2563;
2013-12-11;121,40;121,50;121,70;122,60;120,80;121,50;121,69;1218204;148225187;2608;
2013-12-10;121,40;121,70;121,70;122,90;120,40;121,70;121,58;1620756;197050423;2525;
2013-12-09;121,60;121,70;122,60;122,90;121,00;121,70;121,67;1212545;147528683;2340;
2013-12-06;122,20;122,30;121,30;122,80;120,70;122,20;121,75;1230748;149833997;2371;
2013-12-05;121,00;121,20;120,50;122,90;120,50;121,20;121,78;1682097;204842655;3219;
2013-12-04;121,20;121,30;122,60;122,60;120,40;121,30;121,21;1680992;203738561;2785;
2013-12-03;122,50;122,70;123,60;123,80;121,40;122,70;122,38;1884214;230601074;3403;
2013-12-02;123,90;124,00;124,50;124,80;123,80;123,90;124,34;1253984;155925447;2355;
2013-11-29;124,70;124,80;124,80;125,20;124,20;124,80;124,75;1577823;196828079;2512;
2013-11-28;124,90;125,10;122,50;125,90;122,50;124,90;124,78;2670076;333183493;4030;
2013-11-27;122,30;122,40;121,70;122,80;121,20;122,30;122,18;1136432;138836980;2302;
2013-11-26;121,30;121,40;122,60;123,10;121,10;121,30;121,73;1774140;215960386;2380;
2013-11-25;122,80;123,00;122,80;123,50;121,60;122,80;122,71;1709600;209790801;3549;
2013-11-22;122,50;122,60;123,50;123,50;121,70;122,60;122,58;1359893;166685286;2722;
2013-11-21;121,90;122,00;120,00;122,20;119,70;122,00;121,44;1492740;181231022;2868;
2013-11-20;120,10;120,30;121,60;122,50;120,10;120,30;120,79;2493929;301262664;4437;
2013-11-19;122,50;122,60;123,50;123,60;122,20;122,50;122,85;1378856;169400871;2572;
2013-11-18;123,80;123,90;122,60;124,40;122,50;123,90;123,64;1361432;168333637;3130;
2013-11-15;123,10;123,20;123,60;123,60;122,30;123,20;122,94;2136509;262663311;4002;
2013-11-14;123,50;123,60;123,60;124,80;123,30;123,60;123,81;1311600;162384180;2778;
2013-11-13;123,10;123,40;125,30;125,50;122,70;123,40;123,61;2423573;299617267;4767;
2013-11-12;125,50;125,60;126,50;126,80;125,10;125,60;125,53;1480118;185799511;3095;
2013-11-11;126,80;126,90;126,60;127,20;126,20;126,90;126,75;835108;105848889;1870;
2013-11-08;126,40;126,60;127,00;127,60;125,60;126,60;126,28;1470454;185693849;2742;
2013-11-07;127,70;127,80;127,30;129,90;127,10;127,70;128,24;1985537;254663054;4101;
2013-11-06;127,00;127,10;125,70;127,10;125,60;127,10;126,53;2020793;255631861;3791;
2013-11-05;125,40;125,50;128,70;128,90;125,20;125,50;126,36;2171211;274364011;3734;
2013-11-04;128,20;128,30;129,60;130,80;128,00;128,30;128,96;2111974;272362578;4714;
2013-11-01;129,40;129,50;128,60;131,40;128,60;129,50;129,88;3252330;422352878;5087;
2013-10-31;128,30;128,50;122,40;130,70;121,50;128,30;127,09;7595587;965209236;10805;
2013-10-30;125,70;126,00;126,60;127,90;125,40;125,70;126,63;2470935;312892719;4274;
2013-10-29;126,50;126,60;125,30;126,60;123,90;126,60;125,25;2458296;307992606;4261;
2013-10-28;125,80;125,90;128,00;128,30;125,30;125,90;126,45;2104740;266243698;4263;
2013-10-25;127,40;127,50;126,00;128,80;125,60;127,40;127,51;1901556;242477229;4147;
2013-10-24;126,20;126,30;125,30;126,70;125,20;126,20;126,15;1551235;195670248;2801;
2013-10-23;124,30;124,50;125,70;125,80;124,00;124,50;124,59;1433328;178595590;2897;
2013-10-22;126,00;126,20;124,00;127,00;124,00;126,00;125,26;2581701;323402908;4911;
2013-10-21;123,40;123,60;124,50;124,80;123,40;123,40;123,93;1248379;154592474;2400;
2013-10-18;124,00;124,20;123,60;124,40;122,40;124,20;123,69;1473569;182259656;2636;
2013-10-17;123,20;123,30;123,50;123,80;122,10;123,30;122,85;1362397;167370976;2870;
2013-10-16;123,40;123,50;122,20;124,10;122,20;123,50;123,23;1486119;183133200;3014;
2013-10-15;122,80;122,90;122,20;123,60;122,00;122,90;123,03;1181627;145358991;2105;
2013-10-14;121,50;121,60;122,80;123,40;120,80;121,50;121,98;929951;113450972;2126;
2013-10-11;123,00;123,10;122,20;124,70;121,30;123,00;123,06;1599061;196759774;3642;
2013-10-10;121,40;121,50;120,60;122,30;120,10;121,50;121,30;1849856;224368817;3816;
2013-10-09;120,30;120,50;120,50;122,00;120,30;120,50;120,81;1683453;203383776;3616;
2013-10-08;121,00;121,30;120,40;121,30;120,20;121,30;120,87;2077238;251068085;2779;
2013-10-07;120,50;120,60;122,40;122,50;119,80;120,60;120,83;1863981;225353833;3924;
2013-10-04;122,60;122,70;123,00;123,30;121,60;122,60;122,55;2062366;252953148;3829;
2013-10-03;123,00;123,10;124,10;124,80;122,70;123,00;123,65;4303734;532184935;6357;
2013-10-02;121,60;121,90;119,90;121,90;119,80;121,90;121,23;2111466;255973375;4098;
2013-10-01;120,30;120,50;118,30;120,50;118,30;120,50;119,53;1258667;150432210;2585;
2013-09-30;118,70;118,80;119,50;119,80;118,10;118,70;118,85;2984876;355351686;3942;
2013-09-27;120,90;121,00;122,60;123,00;120,40;121,00;121,60;1635538;198881370;3294;
2013-09-26;122,20;122,40;121,00;122,90;120,20;122,40;121,46;1612973;195892358;3501;
2013-09-25;121,30;121,40;122,70;122,70;120,90;121,40;121,50;2376225;288721962;4423;
2013-09-24;122,70;122,80;122,60;123,60;122,10;122,70;122,78;1860255;228411715;3685;
2013-09-23;122,80;122,90;124,50;124,50;122,70;122,80;123,09;1623961;199899303;3021;
2013-09-20;124,70;124,80;124,00;125,60;122,80;124,80;124,37;2677713;333074864;5001;
2013-09-19;124,60;125,00;125,10;126,00;124,40;125,00;125,08;3771895;471764652;5001;
2013-09-18;123,50;123,70;120,70;124,00;120,40;123,70;122,70;4212458;516848592;7175;
2013-09-17;120,60;120,90;120,90;120,90;118,40;120,90;119,77;2491608;298454086;3718;
2013-09-16;120,40;120,50;117,90;120,70;114,30;120,50;118,89;4724928;561728705;7386;
2013-09-13;116,30;116,40;117,00;118,00;116,00;116,40;116,78;1391598;162511591;2765;
2013-09-12;117,50;117,70;119,50;119,80;117,20;117,50;118,50;1915565;227038330;3643;
2013-09-11;119,60;119,70;119,40;119,90;118,30;119,70;119,12;1792278;213485490;3415;
2013-09-10;119,20;119,30;116,50;119,30;116,40;119,30;117,95;3067194;361772813;4510;
2013-09-09;115,80;115,90;115,00;116,00;114,70;115,90;115,36;1036637;119585534;2232;
2013-09-06;114,90;115,00;115,20;115,70;114,10;114,90;114,89;1221380;140325465;3054;
2013-09-05;115,00;115,40;114,20;115,40;113,70;115,40;114,86;1417423;162746811;2637;
