Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2014-01-17;209,80;209,90;210,00;211,10;208,10;209,90;209,45;2778246;581871760;6882;
2014-01-16;210,40;210,70;210,40;211,90;208,00;210,40;210,04;3302601;693670874;9019;
2014-01-15;209,80;210,00;211,70;213,40;209,80;209,80;211,01;2881339;607985441;7931;
2014-01-14;210,70;210,90;210,00;211,30;208,90;210,70;210,26;3397342;714284293;7640;
2014-01-13;211,30;211,40;213,10;214,60;211,20;211,30;212,69;3500780;744486080;10772;
2014-01-10;211,80;211,90;211,80;212,40;208,50;211,90;210,47;2873017;604646320;9041;
2014-01-09;209,00;209,10;208,00;211,40;207,90;209,10;209,70;2375116;498079691;7414;
2014-01-08;207,60;207,80;206,80;208,30;206,50;207,80;207,43;2469180;512103446;5779;
2014-01-07;206,40;206,50;204,10;206,70;204,00;206,50;205,54;3064302;629825902;8607;
2014-01-06;204,00;204,10;205,70;206,40;204,00;204,00;205,09;2468380;506243078;8317;
2014-01-03;204,80;204,90;201,60;205,10;200,30;204,90;203,38;3475756;706907035;10983;
2014-01-02;200,70;200,90;200,00;203,50;198,00;200,90;200,78;3128512;628317058;10322;
2013-12-30;993,50;994,00;989,00;996,00;988,00;994,00;993,24;456855;453759625;4200;
2013-12-27;986,00;986,50;975,00;996,50;975,00;986,00;991,00;433987;430070177;4316;
2013-12-23;975,00;975,50;979,00;984,00;974,50;975,50;978,65;425976;416887024;3867;
2013-12-20;981,50;982,50;976,50;989,50;975,50;981,50;984,87;855968;843063685;6456;
2013-12-19;977,50;978,00;960,00;978,00;959,00;978,00;972,67;774585;753381489;6723;
2013-12-18;953,50;954,50;951,00;961,00;950,00;953,50;955,17;538443;514272399;4614;
2013-12-17;952,50;953,00;955,00;957,00;950,00;952,50;953,30;402973;384140205;3334;
2013-12-16;956,50;957,00;955,00;958,00;948,50;957,00;952,77;521975;497349291;4280;
2013-12-13;955,00;955,50;956,00;959,00;949,50;955,00;955,05;640835;612045051;5540;
2013-12-12;956,00;956,50;961,00;963,00;952,50;956,50;956,74;693902;664095756;5198;
2013-12-11;966,50;967,50;965,50;973,50;963,00;967,50;968,26;503668;487663549;5308;
2013-12-10;965,50;966,00;971,00;972,50;962,00;966,00;967,23;531091;513700835;5332;
2013-12-09;974,50;975,00;975,00;979,50;974,00;975,00;975,93;525978;513316637;3373;
2013-12-06;975,50;976,00;976,50;987,00;975,00;975,50;980,12;555654;544606377;5481;
2013-12-05;981,00;981,50;969,00;984,50;965,00;981,00;977,97;564022;551585906;4966;
2013-12-04;973,50;974,50;987,00;989,00;968,00;974,50;975,98;638078;622745671;5945;
2013-12-03;987,50;988,50;995,00;1000,00;980,00;988,00;988,36;816933;807428632;6774;
2013-12-02;982,00;982,50;985,00;991,50;980,00;982,50;985,12;618956;609642004;4917;
2013-11-29;983,00;983,50;979,00;984,00;972,00;983,50;980,02;660962;647743427;5316;
2013-11-28;976,00;976,50;955,00;981,50;954,00;976,50;971,43;1018329;989260470;8476;
2013-11-27;948,00;948,50;949,00;954,50;947,50;948,00;949,83;450410;427817466;4810;
2013-11-26;950,00;950,50;955,00;956,00;947,50;950,50;950,62;627210;596246134;4220;
2013-11-25;957,00;957,50;952,00;962,00;952,00;957,00;958,17;360398;345323583;3206;
2013-11-22;951,50;952,00;961,50;963,00;948,00;952,00;954,33;446062;425702080;4065;
2013-11-21;957,00;957,50;959,00;961,00;954,50;957,50;957,16;344084;329328872;3267;
2013-11-20;959,00;959,50;962,00;963,50;954,50;959,00;959,36;321944;308868630;3173;
2013-11-19;960,00;961,00;960,00;967,50;959,00;961,00;962,13;459094;441706349;5112;
2013-11-18;968,50;969,00;963,00;970,00;961,50;969,00;966,16;435432;420692386;3993;
2013-11-15;963,00;964,00;964,00;968,00;961,00;963,00;964,92;404636;390450884;3366;
2013-11-14;962,00;963,00;962,50;964,50;960,00;962,00;962,28;558373;537310577;4732;
