Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2014-01-17;50,85;50,90;50,55;51,10;50,55;50,90;50,90;1202141;61190200;1509;
2014-01-16;50,80;50,85;51,20;51,30;50,70;50,85;50,98;1971786;100521809;2189;
2014-01-15;51,15;51,20;50,45;51,40;50,15;51,20;50,81;1535223;78032314;1764;
2014-01-14;50,10;50,25;49,90;50,25;49,64;50,25;50,07;2239617;112115078;2443;
2014-01-13;49,99;50,00;50,70;50,85;49,98;50,00;50,16;2313191;116022218;2808;
2014-01-10;50,80;50,85;52,35;52,50;50,50;50,80;51,01;3232727;164906346;3522;
2014-01-09;52,05;52,10;51,75;52,55;51,75;52,10;52,11;2007087;104529440;1877;
2014-01-08;51,85;51,90;52,30;52,30;51,30;51,90;51,78;1917374;99275411;1833;
2014-01-07;52,00;52,05;53,00;53,00;52,00;52,00;52,30;1543359;80724097;1631;
2014-01-06;52,90;52,95;53,00;53,00;52,70;52,90;52,86;860607;45484319;875;
2014-01-03;52,70;52,75;52,50;52,85;52,35;52,70;52,63;1233428;64917736;1480;
2014-01-02;52,65;52,70;52,60;52,70;52,10;52,65;52,46;1299823;68182307;1439;
2013-12-30;52,60;52,65;52,55;52,80;52,10;52,60;52,48;835948;43871912;1117;
2013-12-27;52,65;52,70;52,65;53,00;52,15;52,70;52,47;626297;32862472;953;
2013-12-23;52,40;52,45;51,65;52,45;51,65;52,45;52,20;969739;50618311;1402;
2013-12-20;51,90;51,95;51,45;51,95;50,70;51,95;51,61;2551666;131680962;2305;
2013-12-19;51,60;51,65;51,90;52,40;51,25;51,65;51,70;1275915;65969702;1641;
2013-12-18;51,60;51,85;50,85;51,85;50,60;51,85;51,34;2004036;102843891;2344;
2013-12-17;50,55;50,70;50,65;50,75;50,20;50,70;50,58;1723534;87167024;1554;
2013-12-16;50,40;50,45;50,50;50,90;50,30;50,45;50,51;1506327;76080993;1651;
2013-12-13;50,25;50,35;50,95;50,95;50,20;50,35;50,51;1444545;72932522;1430;
2013-12-12;50,30;50,35;49,90;50,35;49,70;50,35;50,06;1477827;73999250;2027;
