Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2014-01-17;625,00;630,00;630,00;634,50;623,00;625,00;630,14;3058;1926974;39;
2014-01-16;622,50;628,00;619,50;629,00;612,00;622,50;620,07;2264;1403838;37;
2014-01-15;606,50;610,00;606,00;610,00;602,50;606,50;605,32;505;305688;13;
2014-01-14;593,50;610,00;601,00;615,00;599,00;609,50;605,13;1504;910108;25;
2014-01-13;601,00;601,50;600,00;606,00;600,00;601,50;602,09;721;434131;24;
2014-01-10;605,00;610,50;605,50;615,00;598,00;605,00;603,94;1094;660993;22;
2014-01-09;610,50;624,50;630,00;630,00;614,50;614,50;618,24;1016;628203;14;
2014-01-08;615,00;620,00;620,00;624,50;615,00;615,00;619,00;812;502879;20;
2014-01-07;623,00;626,00;616,00;624,00;616,00;623,00;621,35;1454;903477;30;
2014-01-06;620,00;623,50;622,50;624,00;619,50;623,50;621,72;476;295937;11;
2014-01-03;620,00;624,00;623,50;625,50;616,00;624,00;619,91;594;368228;12;
2014-01-02;617,50;625,00;625,00;629,50;613,50;628,50;622,82;1190;741160;28;
2013-12-30;623,50;630,00;614,00;630,00;614,00;625,00;624,36;5614;3505182;20;
2013-12-27;616,50;624,00;625,00;625,00;615,50;620,00;620,40;681;422423;19;
2013-12-23;615,00;627,00;637,50;637,50;605,50;615,00;615,22;901;554317;19;
2013-12-20;603,50;632,50;610,00;636,50;604,00;636,50;610,05;4168;2542703;83;
2013-12-19;604,00;611,00;605,50;612,00;605,50;606,00;609,33;1236;753136;17;
2013-12-18;588,00;592,50;591,00;610,00;588,00;588,00;600,33;629;377605;21;
2013-12-17;592,00;610,00;601,00;609,50;593,50;593,50;598,45;718;429698;15;
2013-12-16;589,00;606,00;600,00;602,00;583,00;598,50;597,00;794;474060;16;
2013-12-13;602,00;607,50;600,00;608,00;600,00;605,50;604,01;220;132883;9;
2013-12-12;601,00;610,00;610,00;620,00;606,50;615,00;610,07;405;247379;9;
2013-12-11;605,00;622,00;619,50;621,00;603,50;605,00;617,94;903;557931;16;
2013-12-10;614,50;622,00;618,00;624,00;617,00;617,00;617,50;1006;621256;22;
2013-12-09;610,00;625,00;610,00;625,00;610,00;625,00;617,12;584;360397;8;
2013-12-06;609,00;616,50;611,00;611,00;610,00;610,00;610,25;148;90397;6;
2013-12-05;612,00;625,00;610,00;625,00;610,00;612,00;617,18;1464;899770;24;
2013-12-04;612,00;622,50;635,00;635,00;612,00;612,00;618,68;1414;874871;22;
2013-12-03;620,00;627,00;616,00;628,00;616,00;620,00;621,16;767;476428;19;
2013-12-02;626,50;638,00;630,00;637,50;622,00;637,00;632,43;3198;2022514;37;
2013-11-29;623,50;624,50;625,00;625,00;620,50;621,00;621,74;1232;765985;33;
2013-11-28;614,00;624,00;600,00;623,00;600,00;616,00;616,38;969;597269;26;
2013-11-27;610,00;617,50;605,00;619,00;605,00;610,00;612,12;724;443064;21;
2013-11-26;602,00;608,50;605,00;609,50;602,00;602,00;605,26;1020;617364;16;
2013-11-25;605,00;609,50;601,00;609,50;601,00;605,00;604,61;2536;1533295;16;
2013-11-22;606,00;610,00;609,00;610,00;609,00;610,00;609,11;491;298962;6;
2013-11-21;605,00;614,00;605,00;609,00;605,00;606,00;606,99;1136;689538;17;
2013-11-20;605,50;613,00;609,00;616,00;600,00;605,50;614,91;133515;82099689;31;
2013-11-19;600,00;605,00;595,00;605,00;595,00;600,50;600,46;704;422726;15;
2013-11-18;601,50;608,00;590,00;609,50;586,50;602,00;607,00;13755;8349302;33;
2013-11-15;588,00;595,00;580,00;594,00;576,00;594,00;593,92;22168;13166004;14;
2013-11-14;585,00;598,00;580,00;597,50;580,00;585,00;589,98;29157;17202075;8;
2013-11-13;575,00;587,50;588,00;595,00;588,00;589,00;593,41;2828;1678154;18;
2013-11-12;574,00;588,00;580,00;587,00;570,50;587,00;582,93;491;286218;8;
2013-11-11;580,00;588,00;570,00;588,00;570,00;588,00;583,43;160;93348;6;
2013-11-08;574,00;588,00;580,00;582,00;580,00;582,00;580,86;200;116172;3;
2013-11-07;580,00;588,00;588,00;588,00;578,50;588,00;585,96;524;307018;12;
2013-11-06;576,50;588,00;587,00;588,00;575,50;588,00;581,11;1858;1079701;21;
2013-11-05;583,00;588,00;573,00;583,00;573,00;583,00;577,28;789;455474;16;
2013-11-04;582,50;588,00;587,00;588,00;571,50;588,00;577,85;5097;2945292;98;
2013-11-01;576,00;588,00;572,00;588,00;572,00;588,00;584,86;936;547431;23;
2013-10-31;576,00;577,00;590,00;599,50;576,00;576,00;585,57;2465;1443429;50;
2013-10-30;591,00;600,00;590,00;591,50;590,00;591,50;590,84;1021;603251;8;
2013-10-29;592,00;600,00;592,50;600,00;592,50;592,50;593,35;1444;855711;15;
2013-10-28;600,00;601,50;599,00;600,00;590,00;600,00;596,65;2115;1261922;25;
2013-10-25;588,00;598,00;579,50;600,00;579,50;598,00;593,21;869;515499;21;
2013-10-24;590,00;595,00;590,00;600,00;588,00;600,00;591,73;2266;1340871;19;
2013-10-23;592,00;599,00;597,00;604,00;596,00;596,50;597,48;1265;755822;13;
2013-10-22;605,00;608,00;605,00;607,50;602,50;607,50;605,14;856;517571;10;
2013-10-21;601,00;604,00;599,00;603,00;597,50;601,00;599,49;1713;1026935;18;
2013-10-18;597,50;600,50;581,00;601,00;581,00;601,00;591,22;5504;3254074;36;
2013-10-17;590,50;597,00;592,00;596,50;590,50;593,50;592,13;1286;761476;14;
2013-10-16;585,50;592,00;575,00;592,00;575,00;592,00;584,38;6152;3595134;41;
2013-10-15;580,00;586,50;582,00;587,00;582,00;587,00;582,67;237;138002;4;
2013-10-14;569,50;582,00;570,00;582,00;570,00;582,00;579,10;358;207317;9;
2013-10-11;576,00;586,00;573,00;583,00;573,00;576,00;579,86;4586;2641092;18;
2013-10-10;576,00;581,00;584,50;584,50;573,00;582,00;578,36;451;260839;10;
2013-10-09;571,00;575,50;584,50;584,50;571,00;571,00;577,49;4633;2670049;10;
2013-10-08;581,00;585,00;585,00;587,00;578,00;581,00;582,34;279;162472;15;
2013-10-07;576,50;585,00;587,00;587,00;576,00;585,00;580,22;635;368437;16;
2013-10-04;578,00;593,00;576,00;580,50;576,00;578,00;579,18;821;475479;11;
2013-10-03;584,50;586,50;569,50;587,00;569,50;584,50;579,41;603;349385;13;
2013-10-02;575,00;593,00;568,50;582,50;568,50;582,50;579,57;4717;2733816;39;
2013-10-01;571,00;581,00;581,00;586,50;575,50;575,50;580,59;81;47028;6;
2013-09-30;572,00;588,00;572,00;589,50;572,00;580,00;581,58;432;251241;13;
2013-09-27;579,00;588,00;597,50;597,50;575,00;578,00;578,01;904;522526;10;
2013-09-26;585,00;597,00;597,00;597,50;585,00;597,00;590,39;201;118668;7;
2013-09-25;581,00;590,00;580,00;595,00;565,00;589,50;581,67;1857;1080153;27;
2013-09-24;585,00;596,00;565,50;590,50;565,50;584,00;583,93;1105;645301;11;
2013-09-23;561,00;592,00;592,50;592,50;586,00;592,00;591,36;182;107628;15;
2013-09-20;592,50;597,50;610,00;610,00;590,00;592,50;593,49;742;440370;10;
2013-09-19;595,00;604,00;580,00;600,00;580,00;595,00;591,75;895;529146;14;
2013-09-18;585,00;600,00;593,00;593,00;558,50;586,00;586,67;1187;701909;8;
2013-09-17;590,00;607,00;602,50;602,50;592,50;593,50;600,54;318;190974;7;
2013-09-16;579,00;605,00;610,00;610,00;599,00;604,50;603,22;387;233445;14;
2013-09-13;600,00;604,50;589,00;604,00;589,00;600,00;598,36;775;463731;18;
2013-09-12;589,00;591,00;597,00;597,00;585,50;589,00;589,73;402;237070;11;
2013-09-11;583,50;600,00;595,50;595,50;581,50;585,00;585,03;530;310065;10;
2013-09-10;580,00;600,00;582,00;589,00;577,00;589,00;586,65;3071;1801611;21;
2013-09-09;574,00;580,00;570,50;580,00;570,50;574,00;574,62;2536;1457236;13;
2013-09-06;570,00;577,50;584,50;584,50;581,50;581,50;581,77;78;45378;3;
2013-09-05;572,00;582,00;575,00;575,00;572,50;572,50;572,64;18;10308;3;
