Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2014-01-17;371,40;372,30;374,00;375,80;370,20;372,30;372,13;227846;84782306;2413;
2014-01-16;374,30;374,80;375,00;376,60;373,50;374,80;374,74;232949;87292738;2698;
2014-01-15;375,20;375,30;370,00;375,30;370,00;375,30;374,34;201541;75398538;2020;
2014-01-14;369,00;369,90;371,30;371,30;367,20;369,00;368,83;213362;78696205;2243;
2014-01-13;371,20;371,70;372,00;373,30;369,40;371,20;371,87;226424;84200119;2390;
2014-01-10;369,20;369,40;374,00;374,50;368,30;369,40;371,17;282280;104780622;2820;
2014-01-09;372,30;372,70;368,10;375,80;368,10;372,70;373,55;414749;154929058;4004;
2014-01-08;367,80;368,10;357,30;368,10;357,30;368,10;365,05;557884;203683326;5028;
2014-01-07;358,10;358,50;357,00;359,00;352,30;358,50;355,91;362608;129053670;3977;
2014-01-06;357,10;357,40;355,80;358,50;355,40;357,40;356,96;282669;100907782;2683;
2014-01-03;354,50;354,70;355,20;356,50;352,00;354,70;354,45;292596;103710178;4115;
2014-01-02;355,50;355,60;359,20;359,80;355,20;355,50;356,58;254217;90647215;3683;
2013-12-30;358,90;359,00;358,60;361,10;357,10;359,00;358,98;171795;61671142;2192;
2013-12-27;358,30;358,70;355,90;360,00;355,80;358,30;358,82;146063;52406738;2032;
2013-12-23;353,20;353,80;356,00;356,00;352,20;353,40;353,63;141368;49992211;1743;
2013-12-20;353,20;353,40;350,00;353,60;347,60;353,20;351,47;293587;103184746;2933;
2013-12-19;350,10;350,20;344,80;351,10;344,80;350,20;349,40;253558;88572534;2654;
2013-12-18;342,00;342,10;342,00;346,10;341,00;342,00;342,65;246658;84521212;3334;
2013-12-17;341,10;341,40;345,90;345,90;341,00;341,10;342,48;171137;58610501;1835;
2013-12-16;344,50;344,70;340,50;345,70;339,30;344,70;343,02;421978;144757255;2952;
2013-12-13;340,30;340,80;336,70;342,10;332,60;340,30;337,04;506229;170663996;5070;
2013-12-12;339,10;339,30;342,60;342,60;337,50;339,10;339,58;277416;94305396;2929;
2013-12-11;343,30;343,70;346,70;348,80;342,20;343,70;345,17;226235;78120473;2944;
2013-12-10;348,40;348,50;351,00;351,00;346,40;348,50;348,56;333502;116182975;2685;
2013-12-09;351,00;351,30;350,80;353,40;348,30;351,00;350,96;196979;69131436;2218;
2013-12-06;350,80;350,90;351,60;351,60;345,50;350,90;349,04;411029;143522808;4307;
2013-12-05;358,10;358,30;354,90;360,00;350,50;358,30;355,25;333560;118502377;3540;
2013-12-04;356,50;356,90;364,50;365,00;356,30;356,50;360,50;382168;137774921;4662;
2013-12-03;365,10;365,90;362,90;365,90;359,20;365,90;363,33;341172;123955782;3669;
2013-12-02;363,60;364,00;361,60;366,50;360,90;363,90;363,33;214943;78059557;1884;
2013-11-29;360,40;361,70;361,20;362,90;360,30;360,40;361,11;285905;103243799;2222;
2013-11-28;361,10;361,30;357,20;367,00;357,20;361,10;362,88;333499;120998317;3663;
2013-11-27;356,80;357,50;352,90;357,50;352,50;357,50;355,70;159157;56606030;1642;
2013-11-26;354,10;354,50;352,60;355,30;350,10;354,10;353,77;326036;115343368;2309;
2013-11-25;352,60;353,40;354,80;357,60;352,10;352,60;354,55;182361;64657651;2107;
2013-11-22;352,40;352,80;355,90;356,00;349,70;352,80;352,10;196158;69067751;2207;
