Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2014-01-17;183,90;184,10;182,70;184,60;181,90;184,10;183,31;418451;76717042;1694;
2014-01-16;182,30;182,60;183,50;184,00;181,90;182,60;183,05;360071;65913309;2004;
2014-01-15;182,20;182,50;180,00;182,80;179,90;182,50;181,72;374915;68124958;1625;
2014-01-14;178,80;178,90;182,00;182,00;178,80;178,80;179,79;594315;106866287;2141;
2014-01-13;182,30;182,40;179,00;183,20;178,90;182,30;181,26;590975;107115311;2444;
2014-01-10;178,20;178,30;178,60;180,40;178,00;178,20;179,24;369341;66198970;1514;
2014-01-09;178,60;178,70;179,50;179,80;178,30;178,70;179,02;383152;68589560;1696;
2014-01-08;178,90;179,00;178,00;179,10;176,50;179,00;177,62;783384;139142039;2458;
2014-01-07;176,70;176,90;177,50;177,80;176,20;176,70;176,89;613581;108537887;2471;
2014-01-06;177,50;177,70;179,90;181,50;177,50;177,50;179,08;447129;80070231;2083;
2014-01-03;179,60;179,70;177,50;179,90;176,80;179,70;179,27;458715;82218918;1719;
2014-01-02;177,50;177,70;178,00;178,40;177,00;177,70;177,70;448187;79637745;2005;
2013-12-30;177,80;178,00;178,70;178,80;177,20;177,80;177,87;249445;44369596;1334;
2013-12-27;178,20;178,30;177,30;179,90;176,50;178,20;178,43;244959;43707016;1269;
2013-12-23;176,70;176,80;173,80;177,00;173,40;176,80;176,24;293278;51683724;1779;
2013-12-20;174,00;174,20;172,00;174,90;171,30;174,00;173,73;541891;94121256;2505;
2013-12-19;171,00;171,20;173,00;173,00;169,90;171,20;171,00;450757;77081407;2376;
2013-12-18;169,10;169,30;167,00;169,30;166,10;169,30;168,20;328878;55262465;1515;
2013-12-17;166,30;166,50;166,20;167,80;166,10;166,30;166,77;305111;50855695;1754;
2013-12-16;166,60;166,70;164,90;167,30;164,80;166,70;166,06;383798;63744432;1999;
2013-12-13;166,10;166,20;167,00;167,10;165,70;166,20;166,34;244102;40615498;1130;
2013-12-12;166,80;166,90;167,50;167,50;165,20;166,80;166,64;347200;57966887;1610;
2013-12-11;166,90;167,10;170,00;171,70;166,70;167,00;168,93;450769;76159000;1796;
2013-12-10;169,00;169,10;168,50;170,80;168,00;169,00;169,77;513979;87259921;2863;
2013-12-09;167,80;167,90;166,00;168,30;165,80;167,80;167,06;321785;53758501;1577;
2013-12-06;165,40;165,70;164,90;166,60;164,40;165,60;165,73;264312;43796420;1340;
2013-12-05;165,20;165,30;165,00;165,90;164,00;165,30;165,13;240913;39779322;1267;
2013-12-04;164,80;165,10;165,50;165,50;164,00;165,10;164,83;229623;37849792;1205;
2013-12-03;165,80;166,10;167,80;169,70;165,20;166,00;166,10;246094;40879594;1338;
2013-12-02;167,10;167,20;168,00;170,50;167,00;167,20;168,00;477538;80202511;1229;
2013-11-29;168,00;168,10;166,70;171,50;166,50;168,00;169,24;809512;137207086;2214;
2013-11-28;166,60;166,80;164,00;166,80;163,50;166,80;165,87;282336;46825416;1104;
2013-11-27;163,60;163,80;162,00;163,80;162,00;163,80;163,44;183461;29980377;1254;
2013-11-26;162,00;162,20;162,50;162,90;161,70;162,10;162,16;358522;58137367;1070;
2013-11-25;162,00;162,20;161,40;162,30;161,10;162,20;161,98;245237;39722349;918;
2013-11-22;161,20;161,30;160,50;161,80;160,50;161,20;161,13;286781;46209593;1622;
2013-11-21;160,80;161,00;160,10;161,30;158,90;160,80;160,62;206733;33204281;955;
2013-11-20;160,50;160,80;161,50;161,70;159,70;160,50;160,54;182009;29219273;949;
2013-11-19;161,50;161,60;162,50;162,50;161,20;161,50;161,70;370344;59921266;1405;
2013-11-18;162,50;162,70;162,20;163,00;161,40;162,70;162,26;336915;54651564;1136;
2013-11-15;161,90;162,10;162,20;162,60;161,30;162,00;162,00;211851;34318978;1188;
2013-11-14;161,80;162,00;161,20;162,20;161,00;162,00;161,81;229294;37091012;884;
2013-11-13;160,50;160,60;161,00;161,40;160,10;160,50;160,72;222635;35783572;1322;
2013-11-12;161,20;161,30;162,70;162,70;161,00;161,20;161,56;256083;41377214;1440;
2013-11-11;162,60;162,70;161,70;162,70;161,50;162,70;162,32;205913;33423113;837;
2013-11-08;161,60;161,70;162,30;162,50;160,40;161,70;161,64;202719;32769683;1021;
2013-11-07;162,00;162,30;161,50;162,70;160,50;162,30;162,02;359816;58296497;1542;
2013-11-06;161,80;161,90;159,10;161,90;159,10;161,80;161,06;318367;51249665;1258;
2013-11-05;159,40;159,50;160,80;161,00;158,80;159,40;159,65;263656;42123630;980;
2013-11-04;160,40;160,50;160,80;161,60;160,00;160,50;160,59;272680;43785963;1209;
2013-11-01;159,90;160,20;160,70;162,80;160,00;160,00;160,67;271108;43558632;1531;
