Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2014-01-17;325,60;325,70;321,10;326,00;321,10;325,70;324,43;395180;128200453;2968;
2014-01-16;321,00;321,10;321,50;324,50;318,70;321,00;322,37;404151;130280816;3442;
2014-01-15;320,90;321,00;318,00;321,50;317,60;320,90;320,32;392016;125557341;2750;
2014-01-14;316,00;316,20;313,00;316,60;310,20;316,20;314,01;346723;108879923;3093;
2014-01-13;316,30;316,40;313,00;317,40;312,60;316,30;315,02;367470;115761880;2790;
2014-01-10;312,30;312,50;311,00;313,00;309,50;312,50;311,03;282590;87891813;2619;
2014-01-09;310,00;310,10;314,00;315,00;309,10;310,00;311,85;397540;123974876;3313;
2014-01-08;312,20;312,30;312,00;314,20;311,30;312,30;312,32;407992;127327024;2850;
2014-01-07;309,90;310,00;311,60;313,50;308,70;309,90;310,66;479524;148972160;3511;
2014-01-06;309,90;310,10;303,00;310,50;302,30;310,00;308,53;561273;173157794;4376;
2014-01-03;302,00;302,10;293,90;303,20;291,60;302,10;299,81;462452;138688626;4256;
2014-01-02;293,80;294,00;298,00;299,80;293,70;293,80;296,91;464956;138058490;3679;
2013-12-30;296,10;296,30;291,40;298,70;291,20;296,10;296,30;426291;126312006;3660;
2013-12-27;290,20;290,30;283,00;291,10;280,50;290,30;288,01;395364;113848407;2865;
2013-12-23;280,30;280,50;279,00;282,90;278,20;280,30;280,02;251931;70663233;2179;
2013-12-20;277,50;278,10;274,50;278,10;272,80;278,10;276,13;379885;104906602;2778;
2013-12-19;273,60;273,70;272,10;277,60;270,10;273,60;274,85;548010;150593038;3842;
2013-12-18;267,10;267,20;264,50;269,90;263,50;267,10;267,72;228263;61103411;1909;
2013-12-17;264,70;264,90;265,80;269,30;264,70;264,70;267,21;254073;67883414;2015;
2013-12-16;267,50;267,70;260,50;269,20;260,40;267,50;266,19;319351;84974049;2592;
2013-12-13;261,70;261,90;262,00;263,70;261,40;261,70;262,62;218070;57277299;1576;
2013-12-12;262,00;262,10;266,10;266,50;261,60;262,00;263,21;262691;69188446;1849;
2013-12-11;267,10;267,40;267,00;268,80;265,60;267,40;266,70;271061;72298556;1912;
2013-12-10;267,40;267,60;267,50;268,90;266,40;267,50;267,86;266948;71503373;2363;
2013-12-09;268,00;268,10;267,60;269,50;264,00;268,00;267,06;284518;75982437;2318;
2013-12-06;267,60;267,70;268,10;269,40;265,30;267,70;267,20;239222;63919099;2253;
2013-12-05;268,00;268,60;268,90;271,70;267,50;268,00;269,56;537927;145012109;3848;
2013-12-04;273,10;273,30;275,10;276,80;270,40;273,30;273,21;332917;90958607;3067;
2013-12-03;275,60;276,10;282,00;282,30;275,10;276,10;277,30;431441;119644481;3511;
2013-12-02;283,30;283,50;287,00;287,30;282,10;283,30;284,29;277215;78807324;2606;
2013-11-29;286,60;287,10;286,00;290,00;284,70;287,10;287,58;314375;90416316;2468;
2013-11-28;285,80;286,00;279,50;286,80;279,20;286,00;284,17;343895;97711426;2901;
2013-11-27;278,50;278,70;277,50;279,10;276,00;278,70;277,96;164628;45759645;1259;
2013-11-26;276,60;276,70;278,00;279,00;276,60;276,60;277,64;161726;44903852;1697;
2013-11-25;278,00;278,20;278,60;280,80;278,00;278,00;279,06;213172;59488690;1876;
2013-11-22;277,10;277,50;279,30;279,40;276,50;277,20;277,81;247049;68632886;2131;
2013-11-21;277,90;278,00;277,40;278,30;275,00;278,00;276,90;202843;56169317;1785;
2013-11-20;277,60;277,80;280,00;281,40;276,60;277,60;278,00;252729;70263901;2243;
2013-11-19;280,30;280,40;282,00;282,90;279,10;280,40;280,34;195552;54824600;1777;
2013-11-18;283,00;283,10;284,40;286,20;281,40;283,00;283,51;311841;88364553;1513;
2013-11-15;283,10;283,60;285,00;285,30;282,00;283,10;283,35;186967;52980803;1864;
2013-11-14;283,80;283,90;286,90;289,10;282,00;283,80;284,56;307132;87405739;3048;
2013-11-13;284,30;284,70;277,80;290,00;276,90;284,70;284,69;626315;178314095;5143;
2013-11-12;277,80;277,90;280,00;283,10;277,50;277,80;279,60;356839;99776279;3241;
2013-11-11;279,20;279,60;278,30;279,50;275,00;279,50;277,39;252359;69999761;2329;
2013-11-08;275,50;275,70;278,30;278,60;273,40;275,50;275,44;421887;116262541;2954;
2013-11-07;277,90;278,00;284,00;285,50;277,00;278,00;281,11;890236;250304846;9479;
2013-11-06;290,00;290,40;270,00;299,10;270,00;290,00;290,55;1382358;401630094;9646;
2013-11-05;276,60;276,90;281,90;285,00;275,10;276,60;279,62;475000;132829437;3471;
2013-11-04;278,90;279,00;270,00;281,30;269,70;279,00;276,63;508302;140605589;4911;
2013-11-01;270,10;270,20;275,00;275,70;268,00;270,10;271,17;393203;106627802;2700;
2013-10-31;274,50;274,80;281,30;281,50;274,00;274,50;276,23;478848;132240111;2364;
2013-10-30;280,90;281,50;283,00;284,80;280,50;281,00;282,49;206975;58468661;1885;
2013-10-29;281,90;282,40;277,60;282,40;277,50;282,40;280,21;223305;62580734;1686;
2013-10-28;278,90;279,00;284,00;284,50;278,10;278,90;280,63;229916;64525561;2652;
2013-10-25;283,60;284,30;284,70;288,90;282,50;283,60;285,57;257061;73412156;1993;
2013-10-24;284,30;284,70;284,50;285,70;283,40;284,70;284,42;137067;38983907;1198;
2013-10-23;283,60;283,70;287,50;289,00;282,50;283,70;285,11;288376;82220944;2516;
2013-10-22;288,00;288,50;285,00;289,40;281,30;288,50;285,17;375994;107213478;2570;
2013-10-21;283,70;284,20;280,30;284,80;278,20;284,20;281,91;265070;74728704;2310;
2013-10-18;278,10;278,20;276,60;278,20;274,00;278,10;276,43;273749;75665919;2136;
