Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2014-01-17;130,80;131,00;131,10;132,10;130,30;131,00;130,80;480043;62790550;1442;
2014-01-16;131,70;131,80;132,30;132,90;130,60;131,80;131,42;663409;87190409;1978;
2014-01-15;132,20;132,30;130,90;132,40;130,20;132,30;131,04;1038375;136065039;2559;
2014-01-14;129,50;129,60;131,00;131,00;129,10;129,50;129,72;709864;92083880;1920;
2014-01-13;131,30;131,40;133,90;133,90;130,80;131,30;131,61;882426;116108120;2297;
2014-01-10;133,40;133,50;133,60;135,10;132,60;133,40;133,72;545590;72960420;1527;
2014-01-09;133,00;133,30;133,00;134,50;132,40;133,00;133,45;502442;67046292;1432;
2014-01-08;132,60;132,70;133,00;133,60;132,00;132,70;132,77;448836;59592895;1401;
2014-01-07;133,10;133,20;134,00;134,00;130,70;133,20;132,31;647494;85670499;2076;
2014-01-06;134,10;134,20;133,80;135,00;133,60;134,10;134,45;501070;67366071;1651;
2014-01-03;133,50;133,70;133,30;133,90;132,20;133,70;133,39;379290;50594643;1408;
2014-01-02;133,60;133,70;133,70;135,00;133,00;133,70;133,64;514877;68809908;1829;
2013-12-30;133,20;133,50;132,00;133,90;132,00;133,20;133,18;485694;64681605;1815;
2013-12-27;132,10;132,30;131,00;132,90;130,50;132,30;131,97;374387;49405174;1276;
2013-12-23;130,50;130,70;129,00;131,20;129,00;130,50;130,16;493090;64180325;1550;
2013-12-20;129,00;129,20;127,40;129,20;127,40;129,00;128,26;451853;57952295;1667;
2013-12-19;127,80;127,90;126,10;128,20;126,00;127,80;127,62;538575;68726198;1750;
2013-12-18;126,20;126,30;126,00;126,90;126,00;126,20;126,37;385347;48700196;978;
2013-12-17;126,00;126,30;126,10;127,00;126,00;126,00;126,41;287598;36363581;899;
2013-12-16;126,60;126,70;126,60;127,00;126,30;126,60;126,66;381194;48279278;1068;
2013-12-13;126,80;127,00;125,80;127,30;125,70;127,00;126,66;463028;58624786;1122;
2013-12-12;125,90;126,00;127,60;127,90;125,20;125,90;126,15;488522;61715009;1490;
2013-12-11;127,80;127,90;129,60;130,50;127,00;127,90;128,64;431569;55538621;1211;
2013-12-10;130,20;130,40;130,00;130,50;129,40;130,40;130,00;464259;60378633;1148;
2013-12-09;130,50;130,60;130,00;130,90;129,00;130,50;130,09;305534;39747520;919;
2013-12-06;130,00;130,10;131,20;131,20;128,40;130,00;130,10;430120;55960857;1563;
2013-12-05;129,90;130,00;127,00;130,40;126,60;130,00;129,45;736851;95385666;2049;
2013-12-04;127,30;127,60;130,90;131,30;126,20;127,60;128,05;579532;74216674;2029;
2013-12-03;130,90;131,00;132,60;133,30;130,10;131,00;131,13;416007;54552240;1498;
2013-12-02;133,20;133,30;131,00;133,50;130,00;133,30;132,08;478692;63199816;1476;
2013-11-29;131,00;131,10;132,30;132,60;127,00;131,10;130,91;513125;67180061;1342;
2013-11-28;131,60;131,80;132,40;133,40;131,50;131,60;132,13;298304;39413705;983;
2013-11-27;131,70;132,00;132,10;133,00;131,50;131,70;131,97;310592;40989958;1073;
2013-11-26;132,10;132,20;133,00;133,50;130,80;132,10;132,17;376005;49696012;1369;
2013-11-25;132,70;133,00;133,80;133,80;132,10;132,80;132,75;353707;46954900;1667;
2013-11-22;133,00;133,10;134,00;134,90;132,10;133,00;133,03;588998;78354485;1935;
2013-11-21;134,00;134,30;131,00;134,40;130,60;134,00;132,77;666014;88421493;2401;
2013-11-20;130,50;130,60;130,50;133,80;129,80;130,60;131,66;643816;84765057;2169;
2013-11-19;130,30;130,40;132,40;132,50;129,90;130,40;130,83;756998;99055659;3060;
2013-11-18;132,50;132,80;130,00;132,90;129,70;132,50;131,30;1383838;181673082;4216;
2013-11-15;127,40;127,50;126,10;129,80;124,20;127,40;127,37;1660509;211460926;4566;
2013-11-14;125,50;125,60;127,40;127,40;124,60;125,50;126,07;636608;80256199;1817;
2013-11-13;126,40;126,50;126,40;127,80;126,10;126,50;126,84;366405;46474428;1430;
2013-11-12;126,40;126,50;129,00;129,60;125,70;126,50;127,12;697943;88741170;2249;
2013-11-11;129,90;130,00;129,60;130,30;128,00;130,00;129,19;496287;64113597;1962;
2013-11-08;129,90;130,20;130,30;130,90;128,90;129,90;129,68;415894;53935295;1603;
2013-11-07;131,10;131,30;130,50;132,50;130,20;131,10;131,15;645142;84607307;2342;
2013-11-06;131,10;131,20;127,80;131,30;127,80;131,20;129,99;845748;109908385;2119;
2013-11-05;126,60;126,80;130,00;130,10;125,60;126,80;127,32;601757;76726070;1978;
2013-11-04;129,60;129,70;129,00;131,90;128,80;129,60;130,52;765694;99935497;2944;
2013-11-01;128,00;128,10;125,90;128,80;125,60;128,10;127,73;640420;81805079;2697;
2013-10-31;125,30;125,40;127,00;127,00;124,10;125,30;125,12;731000;91458795;2406;
2013-10-30;126,30;126,40;126,50;128,30;126,20;126,30;127,16;332197;42239784;1188;
2013-10-29;126,20;126,30;125,50;127,10;125,10;126,20;126,22;479033;60484412;1052;
2013-10-28;125,80;125,90;126,60;127,50;125,70;125,90;126,33;336100;42458927;1798;
2013-10-25;126,90;127,00;130,20;130,20;126,40;126,90;127,40;481933;61402972;2017;
2013-10-24;129,80;129,90;130,00;131,20;128,70;129,80;130,03;710980;92447175;2387;
2013-10-23;128,60;128,70;128,00;129,30;127,70;128,70;128,53;390035;50130513;1584;
2013-10-22;128,40;128,60;128,60;129,20;128,00;128,40;128,58;331146;42578895;1460;
2013-10-21;128,30;128,40;127,20;128,90;127,00;128,40;128,17;457517;58637549;1674;
2013-10-18;127,10;127,20;126,00;127,50;125,60;127,20;126,71;721155;91369244;2059;
2013-10-17;125,20;125,30;128,20;128,30;125,10;125,30;126,39;603421;76268782;2446;
2013-10-16;127,70;128,00;125,20;128,10;124,50;128,00;126,74;999899;126757774;2902;
2013-10-15;124,80;124,90;124,00;125,40;123,50;124,90;124,75;623943;77830523;2179;
2013-10-14;123,50;123,60;118,90;124,70;118,90;123,50;122,15;817485;99845389;2618;
2013-10-11;117,60;117,70;118,20;118,40;117,40;117,70;117,92;360910;42559217;1423;
2013-10-10;117,70;117,90;118,80;119,10;117,10;117,70;117,90;509150;60030918;2032;
2013-10-09;118,80;118,90;119,20;120,00;118,20;118,80;119,09;442933;52747287;2028;
2013-10-08;118,90;119,00;118,90;119,60;118,50;118,90;118,96;307012;36522733;1508;
2013-10-07;119,20;119,30;120,00;120,00;118,40;119,20;119,22;345738;41220143;1554;
2013-10-04;119,00;119,10;119,70;120,10;118,70;119,10;119,27;345605;41224138;1426;
2013-10-03;119,70;119,80;119,90;122,50;119,30;119,70;120,80;808009;97615664;2706;
