Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2014-01-17;62600,00;62950,00;63150,00;63150,00;62500,00;62950,00;62731,49;898;56334869;429;
2014-01-16;63100,00;63300,00;64350,00;64550,00;63000,00;63150,00;63364,76;703;44549070;481;
2014-01-15;64100,00;64250,00;63650,00;64700,00;63500,00;64150,00;64130,36;1570;100678799;706;
2014-01-14;63900,00;63950,00;62500,00;63900,00;61750,00;63900,00;62864,59;1351;84916804;724;
2014-01-13;62450,00;62500,00;61500,00;63250,00;61500,00;62450,00;62493,84;1347;84175775;740;
2014-01-10;61000,00;61200,00;60200,00;61450,00;60200,00;61000,00;60792,43;960;58358328;553;
2014-01-09;60250,00;60350,00;60100,00;60450,00;59500,00;60250,00;60095,63;875;52576321;446;
2014-01-08;59500,00;59900,00;59800,00;60100,00;59100,00;59900,00;59570,77;1513;90131596;561;
2014-01-07;59300,00;59450,00;60000,00;60300,00;59250,00;59450,00;59637,76;1155;68872200;535;
2014-01-06;57300,00;57450,00;57600,00;58450,00;57250,00;57450,00;57593,76;751;43250424;397;
2014-01-03;57000,00;57350,00;56050,00;57350,00;56050,00;57350,00;56818,89;714;40567514;354;
2014-01-02;56300,00;56400,00;56150,00;56550,00;55600,00;56400,00;56061,63;875;49053600;388;
2013-12-30;55900,00;55950,00;55900,00;56050,00;55650,00;55900,00;55899,35;948;52987018;295;
2013-12-27;55750,00;55900,00;55350,00;55900,00;54950,00;55750,00;55578,87;886;49241700;528;
2013-12-23;54350,00;54500,00;53300,00;54500,00;53300,00;54500,00;54068,91;268;14489811;186;
2013-12-20;53700,00;53850,00;52850,00;53850,00;52850,00;53850,00;53545,14;1452;77746810;566;
2013-12-19;53200,00;53350,00;52500,00;53450,00;52500,00;53350,00;53042,62;983;52136781;534;
2013-12-18;52200,00;52500,00;51300,00;52500,00;51300,00;52500,00;52011,19;970;50450791;428;
2013-12-17;51300,00;51400,00;51350,00;51550,00;51150,00;51350,00;51285,62;1917;98512717;273;
2013-12-16;51150,00;51250,00;51500,00;51600,00;50900,00;51250,00;51181,93;1500;76772900;365;
2013-12-13;51300,00;51450,00;51700,00;51850,00;51100,00;51450,00;51457,01;685;35248050;303;
2013-12-12;51350,00;51600,00;51700,00;51750,00;51200,00;51600,00;51506,20;507;26115962;249;
2013-12-11;51750,00;52000,00;51600,00;52000,00;51100,00;52000,00;51629,91;820;42336350;333;
2013-12-10;51550,00;51750,00;51450,00;51750,00;51450,00;51550,00;51611,16;467;24102100;216;
2013-12-09;51400,00;51650,00;51600,00;51850,00;51400,00;51400,00;51561,89;1673;86261842;461;
2013-12-06;51450,00;51600,00;51200,00;51700,00;51000,00;51500,00;51370,35;479;24606400;255;
2013-12-05;51200,00;51400,00;51350,00;51450,00;51050,00;51400,00;51284,85;683;35027550;352;
2013-12-04;51300,00;51450,00;51800,00;51900,00;50950,00;51450,00;51297,71;615;31549800;352;
2013-12-03;51750,00;51850,00;52450,00;52450,00;51650,00;51850,00;51926,26;779;40450800;421;
2013-12-02;52200,00;52400,00;52350,00;52700,00;52200,00;52200,00;52380,41;519;27185600;276;
2013-11-29;52400,00;52600,00;52100,00;52600,00;52050,00;52400,00;52333,54;484;25329154;227;
2013-11-28;52050,00;52200,00;52350,00;52450,00;51950,00;52050,00;52184,84;604;31519607;240;
2013-11-27;52300,00;52400,00;51800,00;52600,00;51800,00;52300,00;52296,64;748;39103713;308;
2013-11-26;51600,00;52000,00;51250,00;52150,00;51050,00;51600,00;51641,70;2806;144293550;375;
2013-11-25;51200,00;51300,00;51000,00;51550,00;50700,00;51200,00;51324,90;735;37721229;252;
2013-11-22;50500,00;50600,00;51800,00;52250,00;50300,00;50600,00;51151,13;1249;63890250;517;
2013-11-21;51600,00;51750,00;51450,00;51700,00;51250,00;51600,00;51525,50;306;15766750;153;
2013-11-20;51400,00;51650,00;51850,00;51950,00;51350,00;51650,00;51545,98;724;37318900;326;
2013-11-19;51700,00;51850,00;51800,00;52200,00;51600,00;51700,00;51787,23;570;29521224;320;
2013-11-18;51850,00;52200,00;52200,00;52350,00;51700,00;52200,00;51994,27;396;20589600;236;
2013-11-15;52050,00;52100,00;52300,00;52450,00;52000,00;52050,00;52198,09;719;37526010;326;
2013-11-14;51900,00;52100,00;51000,00;52300,00;51000,00;51900,00;51883,61;985;51103950;577;
2013-11-13;50650,00;51000,00;51400,00;51500,00;50250,00;51000,00;50834,18;836;42503300;492;
2013-11-12;50450,00;50600,00;51100,00;51200,00;50150,00;50600,00;50494,68;623;31459908;283;
2013-11-11;51050,00;51200,00;50650,00;51200,00;50400,00;51200,00;50851,67;660;33561100;250;
2013-11-08;50350,00;50600,00;49840,00;50600,00;49680,00;50600,00;50332,33;743;37393030;331;
2013-11-07;49800,00;49840,00;50150,00;50250,00;49800,00;49840,00;49931,00;265;13232940;168;
2013-11-06;49880,00;50150,00;50000,00;50150,00;49560,00;50150,00;49919,81;715;35692681;292;
2013-11-05;49640,00;49920,00;50000,00;50000,00;49480,00;49920,00;49704,92;875;43489980;336;
2013-11-04;49840,00;49920,00;50050,00;50200,00;49840,00;49840,00;49955,37;564;28174840;317;
2013-11-01;49920,00;50000,00;50000,00;50500,00;49880,00;50000,00;50149,79;668;33497560;307;
2013-10-31;49640,00;49920,00;49840,00;50100,00;49440,00;49640,00;49759,05;662;32940755;311;
2013-10-30;49880,00;50150,00;49800,00;50150,00;49800,00;50150,00;49952,31;814;40661050;388;
2013-10-29;49600,00;49680,00;49960,00;50100,00;49560,00;49680,00;49782,15;905;45053791;373;
2013-10-28;49760,00;49880,00;50550,00;50650,00;49760,00;49800,00;50315,29;861;43321630;404;
2013-10-25;50450,00;50550,00;50300,00;50700,00;50300,00;50450,00;50500,49;745;37624300;293;
2013-10-24;50500,00;50600,00;50200,00;50600,00;49800,00;50600,00;50407,39;696;35083924;355;
2013-10-23;49880,00;50100,00;50300,00;50450,00;49320,00;50100,00;49819,93;1058;52743510;391;
2013-10-22;50450,00;50600,00;50350,00;50700,00;50250,00;50450,00;50503,37;1040;52523450;436;
2013-10-21;50200,00;50350,00;50000,00;50500,00;49760,00;50200,00;50148,33;1643;82393700;341;
2013-10-18;49480,00;49720,00;49800,00;50050,00;49360,00;49720,00;49602,10;532;26384930;289;
2013-10-17;49720,00;49760,00;50100,00;50250,00;49640,00;49720,00;49952,45;1130;56455040;493;
2013-10-16;50000,00;50300,00;49240,00;50300,00;49040,00;50300,00;49751,05;920;45764225;354;
2013-10-15;49080,00;49200,00;49720,00;50300,00;49040,00;49080,00;49906,80;1235;61628664;545;
2013-10-14;49600,00;49640,00;49000,00;49600,00;49000,00;49600,00;49447,54;540;26699160;280;
2013-10-11;49400,00;49600,00;49040,00;49600,00;48840,00;49600,00;49251,20;1134;55834800;352;
2013-10-10;48840,00;48920,00;48200,00;49080,00;48200,00;48920,00;48881,66;2049;100155380;422;
2013-10-09;48120,00;48320,00;48320,00;48480,00;48120,00;48120,00;48271,35;568;27421793;236;
2013-10-08;48640,00;48760,00;48720,00;48920,00;48640,00;48640,00;48729,65;973;47414960;390;
2013-10-07;48640,00;48880,00;48440,00;48880,00;48320,00;48880,00;48640,49;423;20575060;210;
2013-10-04;48520,00;48720,00;48720,00;48760,00;48400,00;48520,00;48519,61;841;40807251;372;
2013-10-03;48560,00;48800,00;48520,00;48960,00;48520,00;48800,00;48748,74;451;21985680;195;
2013-10-02;48760,00;48840,00;48320,00;48880,00;48280,00;48840,00;48533,83;686;33294400;316;
2013-10-01;48360,00;48400,00;47960,00;48360,00;47760,00;48360,00;48187,18;814;39214248;394;
2013-09-30;47680,00;48000,00;48040,00;48680,00;47680,00;47680,00;48039,12;818;39296840;367;
2013-09-27;48600,00;48920,00;49240,00;49240,00;48440,00;48920,00;48732,24;906;44155490;366;
2013-09-26;48760,00;48800,00;48880,00;49520,00;48560,00;48760,00;49219,67;2237;110084310;813;
2013-09-25;48800,00;48840,00;48520,00;48920,00;48160,00;48800,00;48629,31;423;20569136;205;
2013-09-24;48560,00;48640,00;47920,00;48600,00;47920,00;48560,00;48357,23;379;18325640;219;
2013-09-23;47840,00;48040,00;49000,00;49160,00;47720,00;47840,00;48305,57;755;36473803;400;
2013-09-20;49160,00;49320,00;48160,00;49280,00;48160,00;49280,00;48912,60;877;42894880;400;
2013-09-19;48760,00;48800,00;48960,00;49200,00;48640,00;48760,00;48945,19;1089;53302470;487;
2013-09-18;48360,00;48600,00;48240,00;48720,00;48040,00;48600,00;48469,43;372;18028118;205;
2013-09-17;48160,00;48200,00;48440,00;48440,00;47960,00;48160,00;48101,58;250;12028122;152;
2013-09-16;48440,00;48520,00;48600,00;48960,00;48280,00;48520,00;48520,57;601;29171480;231;
2013-09-13;48560,00;48800,00;49280,00;49280,00;48160,00;48560,00;48508,42;716;34733140;424;
2013-09-12;49080,00;49160,00;49000,00;49240,00;48720,00;49120,00;49047,78;1297;63631900;467;
2013-09-11;48680,00;48920,00;48920,00;49040,00;48560,00;48880,00;48873,31;626;30594125;305;
2013-09-10;48840,00;48920,00;48280,00;48920,00;48280,00;48920,00;48573,88;781;37930485;426;
2013-09-09;48080,00;48160,00;48000,00;48200,00;47800,00;48160,00;48045,60;544;26136660;357;
2013-09-06;47880,00;48000,00;48000,00;48000,00;47520,00;48000,00;47857,77;487;23314060;280;
2013-09-05;47880,00;47920,00;47000,00;47880,00;47000,00;47880,00;47494,82;899;42696610;417;
2013-09-04;46800,00;46960,00;46920,00;47320,00;46760,00;46800,00;47019,10;513;24119760;301;
2013-09-03;46360,00;46600,00;46320,00;46600,00;45880,00;46600,00;46293,04;416;19256906;244;
2013-09-02;45960,00;46080,00;46000,00;46120,00;45680,00;46080,00;45907,76;198;9088880;147;
2013-08-30;45200,00;45480,00;45600,00;46160,00;45160,00;45480,00;45780,38;2137;97834310;787;
2013-08-29;45640,00;45920,00;45800,00;46200,00;45640,00;45640,00;45874,16;556;25505980;286;
2013-08-28;45720,00;45840,00;45520,00;46000,00;45480,00;45720,00;45712,29;594;27154039;232;
2013-08-27;45800,00;46040,00;46480,00;46640,00;45760,00;46040,00;46186,30;917;42349444;400;
2013-08-26;46360,00;46600,00;46440,00;46760,00;46320,00;46560,00;46498,31;571;26551987;224;
2013-08-23;46480,00;46560,00;47120,00;47200,00;46480,00;46480,00;46708,96;664;31018072;300;
2013-08-22;46840,00;47000,00;46800,00;47080,00;46560,00;47000,00;46755,24;878;41050120;301;
2013-08-21;46800,00;46960,00;47000,00;47200,00;46760,00;46800,00;46947,38;698;32762493;301;
2013-08-20;47000,00;47080,00;47200,00;47360,00;46360,00;47000,00;46835,52;863;40435485;452;
2013-08-19;47440,00;47520,00;46360,00;47520,00;46360,00;47520,00;46998,68;2073;97413346;969;
2013-08-16;46200,00;46240,00;44080,00;46200,00;44080,00;46200,00;45102,41;4553;205350328;1792;
2013-08-15;42320,00;42600,00;43120,00;43160,00;42320,00;42560,00;42788,25;440;18822540;228;
2013-08-14;43000,00;43120,00;43360,00;43360,00;42920,00;43120,00;43068,02;433;18648680;185;
2013-08-13;43320,00;43360,00;42360,00;43360,00;42360,00;43360,00;42785,06;765;32729873;373;
2013-08-12;42360,00;42400,00;42920,00;42920,00;41960,00;42360,00;42282,68;525;22198683;311;
2013-08-09;42800,00;42840,00;42320,00;42840,00;42160,00;42840,00;42456,78;532;22584416;314;
2013-08-08;42080,00;42280,00;41880,00;42240,00;41760,00;42240,00;42003,23;397;16675240;248;
