Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2014-01-17;77,20;77,35;76,70;77,35;76,40;77,35;77,07;951504;73329703;1180;
2014-01-16;76,50;76,60;76,80;76,85;76,15;76,50;76,57;1120933;85826689;1358;
2014-01-15;76,60;76,65;74,65;76,90;74,65;76,60;75,92;1473987;111876412;1614;
2014-01-14;74,55;74,60;74,20;74,60;73,05;74,55;74,07;1207393;89426759;1263;
2014-01-13;74,20;74,30;74,70;74,70;74,15;74,20;74,35;1157054;86018985;1327;
2014-01-10;73,85;74,00;74,20;74,65;73,75;73,85;74,24;869991;64589950;1184;
2014-01-09;74,05;74,15;73,40;74,55;73,40;74,05;74,12;1112211;82433270;1144;
2014-01-08;73,85;73,90;73,15;73,90;73,00;73,85;73,62;1155129;85027500;1099;
2014-01-07;73,05;73,15;72,50;73,15;72,25;73,05;72,80;1464326;106585898;1270;
2014-01-06;72,15;72,20;72,00;72,35;71,50;72,20;72,05;657003;47337107;798;
2014-01-03;72,00;72,05;71,85;72,65;71,65;72,00;72,33;1112251;80450920;1150;
2014-01-02;72,00;72,10;72,20;72,90;71,60;72,00;72,14;1367020;98611882;1635;
2013-12-30;72,05;72,10;71,40;72,15;71,40;72,05;71,89;1199621;86247117;1054;
2013-12-27;71,35;71,50;70,95;71,60;70,95;71,35;71,40;1305310;93193689;999;
2013-12-23;70,55;70,65;70,20;70,70;70,05;70,60;70,43;789529;55605037;798;
2013-12-20;70,10;70,15;69,00;70,30;69,00;70,10;69,87;1691747;118190946;1437;
2013-12-19;68,65;68,80;68,55;69,35;68,55;68,65;69,08;1191231;82289855;1099;
2013-12-18;67,80;67,85;67,20;68,05;67,05;67,80;67,65;952824;64452469;792;
2013-12-17;66,75;66,80;67,05;67,65;66,65;66,75;67,11;684756;45953736;708;
2013-12-16;67,05;67,10;66,80;67,35;66,35;67,10;66,95;907933;60788296;902;
2013-12-13;66,65;66,70;66,75;67,05;66,30;66,70;66,77;877418;58583922;819;
2013-12-12;66,55;66,60;68,05;68,05;66,40;66,55;66,73;1922013;128269654;1865;
2013-12-11;67,70;67,75;68,00;68,15;67,45;67,75;67,78;1200583;81385856;1269;
2013-12-10;68,15;68,20;69,05;69,05;67,95;68,20;68,35;1185713;81050270;1067;
2013-12-09;69,15;69,20;68,80;69,30;68,40;69,15;68,76;809309;55648143;823;
2013-12-06;68,55;68,60;68,35;68,80;67,55;68,55;68,14;886728;60430819;878;
2013-12-05;68,45;68,50;68,75;69,05;68,25;68,45;68,66;801828;55060335;773;
2013-12-04;69,15;69,20;69,45;69,65;68,20;69,15;68,67;904370;62105494;894;
2013-12-03;69,15;69,20;70,60;70,65;69,20;69,20;69,63;845197;58856832;859;
2013-12-02;70,50;70,55;71,05;71,35;70,45;70,50;70,85;720272;51034498;704;
2013-11-29;70,65;70,70;70,70;71,15;70,50;70,65;70,84;773289;54784921;724;
2013-11-28;70,60;70,65;70,00;70,65;70,00;70,60;70,40;934849;65808107;721;
2013-11-27;69,95;70,05;69,60;70,15;69,35;69,95;69,79;673172;46983948;682;
2013-11-26;69,60;69,65;69,50;70,25;69,50;69,60;70,05;1344971;94212685;1092;
2013-11-25;69,65;69,75;69,25;69,95;69,25;69,65;69,72;1039711;72484300;1049;
2013-11-22;69,20;69,25;68,55;69,40;68,20;69,20;68,96;1322482;91200672;1281;
2013-11-21;68,00;68,05;68,20;68,30;67,60;68,05;68,03;474995;32316618;451;
2013-11-20;68,25;68,30;68,20;68,60;67,40;68,30;67,84;851929;57796854;852;
2013-11-19;68,50;68,55;68,75;69,05;68,30;68,50;68,70;762537;52383597;731;
2013-11-18;68,75;68,80;67,50;69,10;67,35;68,75;68,40;1340334;91681064;1254;
2013-11-15;67,05;67,15;67,60;67,85;67,05;67,05;67,51;625444;42226071;622;
2013-11-14;67,15;67,20;67,80;67,80;66,75;67,20;67,12;871157;58476773;978;
2013-11-13;67,15;67,20;67,50;67,50;66,60;67,20;66,99;1334098;89375079;1470;
2013-11-12;67,50;67,55;69,00;69,00;67,50;67,55;67,83;1639244;111200197;1648;
2013-11-11;68,85;68,90;69,50;69,50;68,65;68,90;68,94;609955;42052877;697;
2013-11-08;69,15;69,20;69,50;69,50;68,00;69,20;68,50;1443602;98891519;1555;
2013-11-07;69,45;69,50;69,60;71,20;69,05;69,50;70,06;1998857;140044425;1412;
2013-11-06;69,55;69,60;69,95;69,95;69,00;69,60;69,41;691354;47985192;745;
2013-11-05;69,10;69,20;70,50;70,50;68,75;69,20;69,31;900571;62423560;1031;
2013-11-04;70,50;70,55;70,90;71,10;70,45;70,55;70,71;675847;47790435;934;
2013-11-01;70,35;70,45;70,50;70,65;69,85;70,45;70,31;788619;55457881;755;
2013-10-31;70,55;70,60;70,85;71,40;70,40;70,60;70,91;1104409;78318974;989;
2013-10-30;71,30;71,40;71,20;71,55;71,00;71,30;71,35;841703;60049724;644;
2013-10-29;71,15;71,20;71,40;71,70;71,10;71,15;71,43;953548;68102018;909;
2013-10-28;71,25;71,35;71,00;71,55;70,90;71,25;71,27;1969529;140357821;1692;
2013-10-25;70,65;70,75;69,55;70,80;69,55;70,65;70,26;2150683;151098198;1360;
2013-10-24;69,70;69,80;69,40;70,10;69,40;69,70;69,85;1859865;129914028;1279;
2013-10-23;69,15;69,20;69,60;69,60;68,50;69,15;68,97;2365012;163092276;1918;
2013-10-22;70,15;70,20;69,50;70,30;69,50;70,15;69,99;1808712;126571719;1744;
2013-10-21;68,95;69,00;69,40;69,50;68,85;68,95;69,18;1016947;70354848;966;
2013-10-18;69,10;69,15;68,85;69,65;68,50;69,10;69,07;1460237;100873493;1533;
2013-10-17;68,50;68,70;68,45;68,70;67,40;68,70;68,11;1544254;105184353;1109;
2013-10-16;68,00;68,05;66,80;68,00;66,20;68,00;67,26;1036153;69688983;1151;
2013-10-15;66,80;66,85;66,50;67,10;66,35;66,85;66,76;1061683;70680110;808;
2013-10-14;65,85;65,90;66,05;66,05;65,40;65,85;65,66;596643;39180907;638;
2013-10-11;66,15;66,20;66,00;66,40;65,75;66,15;66,12;667983;44165256;683;
2013-10-10;65,60;65,70;65,55;65,80;65,15;65,60;65,45;1021616;66858705;1048;
2013-10-09;64,90;65,00;65,50;65,85;64,90;64,90;65,30;868259;56714422;822;
2013-10-08;65,50;65,60;65,70;66,15;65,20;65,50;65,71;911521;59893235;950;
2013-10-07;65,45;65,50;66,05;66,05;64,70;65,50;65,13;897430;58454511;1055;
2013-10-04;66,00;66,05;66,50;66,80;65,90;66,05;66,18;1185078;78429498;1066;
2013-10-03;66,60;66,65;67,35;67,45;66,60;66,60;66,95;991961;66446326;903;
2013-10-02;67,10;67,20;67,00;67,40;66,70;67,10;67,05;764184;51240477;788;
2013-10-01;67,15;67,25;67,00;67,25;66,45;67,25;66,80;771249;51524875;769;
2013-09-30;66,30;66,40;66,50;66,70;66,10;66,30;66,40;1016279;67480230;1112;
2013-09-27;67,20;67,25;67,45;67,90;67,10;67,20;67,55;1363370;91942864;1131;
2013-09-26;67,15;67,20;66,70;67,25;66,50;67,20;66,87;2256360;150343259;1848;
2013-09-25;66,20;66,25;66,90;67,05;65,90;66,25;66,42;9299935;617702818;7168;
2013-09-24;68,20;68,30;69,00;69,00;67,75;68,30;68,21;314032;21420204;376;
2013-09-23;67,75;67,80;68,85;68,85;67,70;67,75;68,30;368558;25169411;476;
2013-09-20;68,50;68,65;68,65;69,15;68,45;68,50;68,75;379811;26111843;410;
2013-09-19;68,55;68,60;68,90;69,45;68,35;68,55;69,09;1047369;72346900;978;
2013-09-18;67,55;67,60;67,60;68,05;67,25;67,60;67,65;436315;29514019;612;
2013-09-17;67,40;67,50;67,85;67,90;67,20;67,50;67,52;390498;26370690;511;
2013-09-16;67,85;67,90;68,70;68,70;67,60;67,90;67,90;482681;32772990;623;
2013-09-13;67,85;67,95;68,00;68,20;67,55;67,85;67,78;492045;33357120;677;
2013-09-12;68,00;68,05;69,50;69,50;67,85;68,00;68,49;384130;26312395;498;
2013-09-11;68,95;69,05;69,50;69,70;68,75;68,95;69,47;541173;37595647;648;
2013-09-10;69,25;69,40;68,65;69,45;68,60;69,25;69,09;720607;49777184;846;
2013-09-09;67,85;67,90;67,45;67,95;67,10;67,90;67,59;464534;31397918;771;
2013-09-06;67,15;67,25;67,95;67,95;66,55;67,25;67,29;441906;29735451;734;
2013-09-05;67,80;67,95;67,45;68,30;67,35;67,95;67,84;559694;37967934;886;
2013-09-04;67,20;67,30;67,75;67,75;66,45;67,25;66,88;719882;48147668;698;
2013-09-03;67,55;67,60;67,40;67,75;66,60;67,55;67,36;1344923;90602007;1299;
2013-09-02;67,10;67,15;66,55;67,40;66,35;67,15;67,04;497069;33317124;681;
2013-08-30;66,30;66,40;67,40;67,40;66,10;66,30;66,47;353735;23514789;460;
2013-08-29;66,90;66,95;67,10;67,50;66,30;66,90;66,83;952808;63681393;882;
2013-08-28;66,70;66,75;67,00;67,50;66,00;66,70;66,57;1083659;72140221;971;
2013-08-27;67,20;67,25;68,80;68,80;66,30;67,25;67,08;1288295;86442619;1444;
2013-08-26;68,80;68,85;70,45;70,60;68,30;68,85;68,83;825551;56826955;905;
2013-08-23;70,00;70,05;70,00;70,10;69,25;70,00;69,73;517832;36111756;592;
2013-08-22;69,70;69,80;68,60;70,10;68,40;69,80;69,39;549164;38097385;576;
2013-08-21;68,35;68,40;71,20;71,20;68,30;68,40;69,47;1096811;76199955;1188;
2013-08-20;70,45;70,50;71,10;71,10;70,00;70,50;70,32;642859;45214381;580;
2013-08-19;71,60;71,70;72,00;72,10;71,30;71,60;71,66;297777;21338250;370;
2013-08-16;71,95;72,00;71,25;72,10;71,10;71,95;71,65;338197;24231066;366;
2013-08-15;71,20;71,30;72,75;72,75;70,85;71,30;71,85;518234;37245967;569;
2013-08-14;72,75;72,80;72,25;73,00;72,15;72,75;72,63;647832;47052003;998;
2013-08-13;72,30;72,40;72,25;73,00;71,95;72,30;72,40;767406;55557132;623;
2013-08-12;72,25;72,30;73,00;73,00;72,10;72,25;72,51;306325;22221534;361;
2013-08-09;73,00;73,05;72,55;73,10;72,20;73,00;72,79;536189;39027549;524;
2013-08-08;72,35;72,45;71,75;72,75;71,75;72,35;72,33;493722;35711616;548;
2013-08-07;71,50;71,65;71,30;71,65;70,75;71,50;71,20;341471;24313540;363;
2013-08-06;71,20;71,35;72,45;72,45;71,15;71,35;71,90;714737;51391915;658;
2013-08-05;72,10;72,20;71,95;72,45;71,70;72,20;71,96;425756;30635698;468;
2013-08-02;71,95;72,05;72,30;72,60;71,40;71,95;71,85;497714;35762751;491;
2013-08-01;71,95;72,00;71,10;72,25;71,10;72,00;71,75;499428;35835486;583;
2013-07-31;71,05;71,15;71,55;71,55;70,75;71,05;71,16;325893;23192672;425;
2013-07-30;71,55;71,60;71,05;71,90;71,05;71,55;71,65;326820;23416721;426;
2013-07-29;71,25;71,35;71,90;72,40;71,20;71,25;71,57;305346;21856754;460;
2013-07-26;71,80;71,85;72,60;73,25;71,75;71,80;72,41;409999;29675735;555;
2013-07-25;72,25;72,35;72,50;72,50;71,65;72,35;71,98;582790;41950771;714;
2013-07-24;71,80;71,95;71,30;72,65;71,30;71,80;72,20;372065;26861386;560;
2013-07-23;71,75;71,85;71,50;72,00;71,30;71,75;71,72;329707;23641542;472;
2013-07-22;71,15;71,20;71,00;71,70;70,60;71,15;71,08;521500;37067625;734;
2013-07-19;70,90;70,95;70,30;70,95;69,90;70,90;70,51;687849;48498750;866;
2013-07-18;70,15;70,20;68,40;70,55;67,80;70,15;69,28;1023293;70884608;1101;
2013-07-17;67,45;67,55;67,20;68,25;65,80;67,45;67,12;521068;34968475;697;
2013-07-16;66,70;66,80;66,60;67,25;66,35;66,70;66,89;304630;20377071;395;
2013-07-15;67,00;67,10;67,50;68,00;66,95;67,00;67,28;379203;25514526;474;
2013-07-12;66,95;67,05;67,05;67,50;66,85;66,95;67,17;326578;21933811;415;
2013-07-11;66,70;66,75;66,75;67,15;66,35;66,75;66,76;408320;27258890;495;
2013-07-10;66,15;66,20;65,75;66,35;65,40;66,15;66,01;253812;16756541;302;
2013-07-09;66,20;66,25;66,10;66,65;65,70;66,20;66,21;887063;58731225;819;
2013-07-08;65,65;65,80;65,70;65,95;64,80;65,65;65,32;756217;49377766;666;
2013-07-05;64,85;64,90;66,40;66,50;64,50;64,85;65,86;771725;50800817;915;
2013-07-04;66,20;66,35;64,90;66,30;64,70;66,20;65,43;678222;44367732;736;
2013-07-03;64,50;64,55;65,25;65,25;63,10;64,50;63,87;499332;31896826;574;
2013-07-02;65,20;65,35;65,60;65,85;64,50;65,35;64,93;467233;30340568;536;
2013-07-01;65,45;65,50;64,70;65,70;64,15;65,45;65,10;477759;31085831;612;
2013-06-28;64,05;64,10;64,50;64,85;63,50;64,05;64,23;585634;37613162;705;
2013-06-27;63,85;63,95;64,60;64,60;63,35;63,85;63,80;577096;36820235;544;
2013-06-26;63,90;64,00;63,20;64,45;61,90;63,90;63,62;695054;44201768;745;
2013-06-25;62,10;62,20;60,55;62,70;60,50;62,10;61,96;1224857;75878893;1284;
2013-06-24;60,30;60,35;64,10;64,10;59,70;60,30;60,35;2143073;129339208;2236;
2013-06-21;63,40;63,45;63,90;64,40;63,35;63,45;63,98;552777;35362254;540;
2013-06-20;63,05;63,10;65,65;65,65;62,75;63,10;64,07;872222;55906767;1011;
2013-06-19;65,70;65,85;65,75;66,05;65,25;65,70;65,71;2259773;148294334;1650;
2013-06-18;67,85;67,95;68,25;68,75;67,70;67,85;68,26;259951;17745226;329;
2013-06-17;68,50;68,55;68,05;69,00;68,05;68,50;68,62;648656;44510936;691;
2013-06-14;67,80;68,05;67,25;68,60;67,25;67,80;68,10;393544;26791907;375;
2013-06-13;66,95;67,10;66,50;67,30;65,80;67,10;66,54;475177;31638885;497;
2013-06-12;67,20;67,25;66,95;68,35;66,95;67,20;67,77;318580;21582835;402;
2013-06-11;66,95;67,05;67,40;67,65;66,40;66,95;66,88;814259;54463420;845;
2013-06-10;67,40;67,60;69,40;69,40;67,40;67,40;67,93;690651;46919494;578;
2013-06-07;68,70;68,75;68,00;69,20;67,50;68,70;68,02;807766;54943045;642;
2013-06-06;67,65;67,70;70,00;70,00;67,65;67,65;68,55;415984;28517297;537;
2013-06-04;70,30;70,50;70,60;71,45;70,30;70,30;70,65;405118;28622722;485;
2013-06-03;70,80;70,90;70,25;71,80;70,25;70,80;70,90;416667;29540698;449;
2013-05-31;71,15;71,30;71,65;71,85;70,80;71,15;71,30;752172;53631685;552;
2013-05-30;71,55;71,65;70,85;72,00;70,20;71,55;71,43;496888;35503682;490;
2013-05-29;70,60;70,75;72,35;72,35;70,60;70,60;71,20;420851;29977810;571;
2013-05-28;72,00;72,05;71,00;72,50;71,00;72,00;71,91;972300;69907270;866;
2013-05-27;70,65;70,70;70,35;70,85;70,00;70,70;70,47;278951;19658310;395;
2013-05-24;70,55;70,60;71,55;71,55;69,95;70,55;70,42;463211;32617741;506;
2013-05-23;70,40;70,45;72,50;72,50;70,05;70,45;70,84;720194;51039395;730;
2013-05-22;72,95;73,00;71,80;73,10;71,80;72,95;72,39;773897;56008983;1015;
2013-05-21;71,65;71,70;70,25;71,75;70,25;71,65;71,09;794080;56450423;984;
2013-05-17;70,15;70,20;68,55;70,50;68,55;70,15;69,90;626766;43811082;715;
2013-05-16;68,95;69,00;68,80;69,45;68,40;68,95;68,98;473603;32670987;524;
2013-05-15;68,40;68,50;68,15;68,70;67,75;68,40;68,36;617228;42186342;558;
2013-05-14;67,80;67,95;68,20;68,65;67,20;67,95;67,70;954109;64594769;853;
2013-05-13;68,20;68,35;69,90;69,90;68,15;68,20;68,85;679113;46754556;596;
2013-05-08;69,55;69,70;69,30;69,80;68,85;69,70;69,33;423176;29335464;469;
2013-05-07;69,05;69,15;68,40;69,70;68,30;69,05;69,16;623827;43139521;582;
2013-05-06;68,50;68,60;68,95;68,95;68,00;68,50;68,34;313904;21452362;404;
2013-05-03;68,35;68,40;68,45;69,10;67,50;68,35;68,37;801918;54820318;790;
2013-05-02;68,45;68,55;66,70;68,90;66,70;68,55;68,35;1622752;110906317;1276;
2013-05-01;66,70;66,80;67,50;67,95;66,20;66,70;67,30;204784;13780853;275;
2013-04-30;67,05;67,20;67,00;68,10;66,80;67,05;67,59;644648;43557725;624;
2013-04-29;67,15;67,20;65,50;67,25;65,50;67,15;66,84;1462746;97760615;1020;
2013-04-25;65,40;65,45;63,85;65,40;63,65;65,40;64,58;951068;61405230;984;
2013-04-24;63,55;63,60;66,00;66,10;62,00;63,60;63,21;2379635;150409423;2287;
2013-04-23;64,15;64,20;64,00;64,40;62,65;64,20;63,55;708511;45000536;754;
2013-04-22;63,50;63,55;64,00;65,00;63,30;63,50;64,31;414058;26625056;457;
2013-04-19;64,00;64,10;63,60;64,50;63,60;64,00;64,19;426479;27368806;376;
2013-04-18;63,35;63,40;64,20;64,70;63,00;63,40;63,71;625821;39875261;788;
2013-04-17;64,25;64,35;66,50;66,50;64,25;64,25;65,09;503778;32793491;583;
2013-04-16;66,45;66,50;66,70;66,95;66,35;66,50;66,67;284551;18971220;401;
2013-04-15;67,25;67,40;67,00;67,85;66,15;67,25;66,95;483650;32460915;497;
2013-04-12;67,00;67,10;67,95;67,95;66,90;67,00;67,21;579450;38946622;566;
2013-04-11;67,95;68,05;67,50;68,15;67,25;68,05;67,91;533319;36222593;615;
2013-04-10;67,35;67,40;65,75;67,40;65,75;67,35;66,80;889438;59403931;782;
2013-04-09;65,00;65,10;65,00;66,20;65,00;65,00;65,39;922813;60365620;579;
2013-04-08;64,65;64,80;65,80;65,90;64,55;64,65;65,24;424369;27687080;457;
2013-04-05;65,45;65,55;65,50;66,15;64,65;65,45;65,46;503127;32934525;632;
2013-04-04;65,00;65,05;67,00;67,05;64,90;65,05;66,01;569258;37577063;667;
2013-04-03;66,90;67,00;68,00;68,00;66,85;67,00;67,43;438895;29598730;501;
