Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2014-01-17;309,00;309,10;305,60;309,50;305,60;309,10;308,42;106950;32977291;728;
2014-01-16;306,00;306,40;304,50;307,00;303,20;306,00;305,99;213897;65417090;1041;
2014-01-15;304,40;305,00;301,00;305,50;301,00;304,40;304,27;119088;36162498;738;
2014-01-14;300,10;300,50;297,50;302,10;294,60;300,10;298,96;120898;36140538;1106;
2014-01-13;298,70;298,80;300,00;302,50;298,80;298,80;300,95;90765;27316516;860;
2014-01-10;298,50;299,00;298,10;299,90;296,00;299,00;298,34;67671;20187627;704;
2014-01-09;294,40;294,80;289,70;298,30;288,20;294,80;293,56;192847;56588948;1717;
2014-01-08;289,00;289,70;290,80;291,30;288,20;289,70;289,64;92111;26679638;948;
2014-01-07;289,50;289,80;286,80;292,00;285,80;289,50;288,92;144081;41619540;1228;
2014-01-06;284,10;284,30;273,90;285,00;272,20;284,30;279,51;152282;42558004;1434;
2014-01-03;273,30;273,60;266,30;274,00;265,00;273,60;270,92;76895;20841310;961;
2014-01-02;267,20;267,80;269,40;271,00;266,90;267,80;269,38;50604;13633381;457;
2013-12-30;267,60;268,00;266,20;269,40;266,20;267,60;267,76;46301;12395520;546;
2013-12-27;266,20;266,60;263,30;268,00;263,30;266,20;266,65;63679;16979493;731;
2013-12-23;263,30;263,50;259,50;264,00;259,50;263,30;262,21;46238;12124212;422;
2013-12-20;261,10;261,80;252,00;262,40;251,10;261,10;257,82;91950;23710888;944;
2013-12-19;251,50;252,00;250,80;254,70;250,00;252,00;252,33;48134;12146226;744;
2013-12-18;250,10;250,60;250,80;251,50;249,00;250,60;249,98;29794;7447444;355;
2013-12-17;249,50;250,00;248,50;252,30;248,00;249,50;249,83;58754;14676728;785;
2013-12-16;248,80;248,90;249,10;252,20;247,30;248,90;249,93;57788;14441709;664;
2013-12-13;250,00;250,30;252,00;252,00;248,00;250,30;249,53;43830;10942385;550;
2013-12-12;250,50;250,70;250,30;253,00;249,00;250,50;250,50;63460;15904133;622;
2013-12-11;251,20;251,50;254,40;254,40;250,10;251,50;251,78;41606;10473760;549;
2013-12-10;251,30;252,30;252,10;255,50;250,30;252,30;253,26;33028;8364643;381;
2013-12-09;254,10;254,30;253,70;254,50;251,60;254,30;253,05;32029;8105688;316;
2013-12-06;252,30;253,00;254,40;254,40;250,20;253,00;252,27;26010;6561664;372;
2013-12-05;251,60;252,40;255,50;255,50;251,10;252,40;252,45;31224;7882401;394;
2013-12-04;254,50;254,70;258,00;258,00;252,50;254,50;254,90;38532;9822272;461;
2013-12-03;258,00;258,20;261,70;261,70;256,50;258,00;257,92;48791;12584391;583;
2013-12-02;260,50;260,60;256,00;263,00;256,00;260,60;261,07;61155;15965837;811;
2013-11-29;256,00;256,40;256,00;256,90;255,70;256,40;256,31;24961;6397431;210;
2013-11-28;256,00;256,10;256,90;258,00;255,50;256,10;256,34;34350;8802603;299;
2013-11-27;255,70;256,10;255,30;257,40;254,60;255,70;255,93;37121;9500623;655;
2013-11-26;255,70;256,30;255,00;257,00;255,00;255,70;256,16;41020;10506876;506;
2013-11-25;254,40;254,60;254,00;255,80;254,00;254,40;254,67;36105;9188538;451;
