Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2014-01-17;317,40;317,50;322,60;325,00;317,10;317,50;319,88;1618977;517877196;8140;
2014-01-16;308,70;308,90;311,30;312,20;307,50;308,80;310,38;399771;124104785;3025;
2014-01-15;311,40;311,50;304,60;314,70;304,00;311,40;311,63;614769;191546917;3991;
2014-01-14;303,30;303,50;306,10;306,60;299,00;303,30;302,06;990020;299083606;5896;
2014-01-13;308,80;309,30;315,60;317,00;308,80;308,90;311,44;413172;128690379;2586;
2014-01-10;314,70;314,80;309,00;315,20;308,10;314,80;311,23;677863;210959707;4465;
2014-01-09;307,80;307,90;315,00;317,40;305,90;307,80;311,42;826098;257276239;4756;
2014-01-08;314,30;314,50;317,00;317,50;312,00;314,50;314,04;537071;168668513;3481;
2014-01-07;315,80;316,10;318,20;320,50;310,00;316,00;314,99;911546;287140915;5675;
2014-01-06;316,20;316,50;310,00;318,80;309,00;316,20;315,85;730055;230604983;4161;
2014-01-03;308,50;308,70;301,10;309,00;299,00;308,60;305,22;694938;212119840;4344;
2014-01-02;301,90;302,00;298,00;309,60;297,00;302,00;304,57;1056995;321939882;7465;
2013-12-30;293,90;294,00;301,00;301,00;294,00;294,00;297,12;657215;195287206;4599;
2013-12-27;301,10;301,20;306,00;308,30;301,20;301,20;303,58;417995;126895666;3100;
2013-12-23;303,80;304,00;302,00;306,00;301,90;304,00;303,91;441692;134220722;3080;
2013-12-20;300,00;300,30;297,50;300,30;294,00;300,30;297,72;570981;169978897;3654;
2013-12-19;296,10;296,60;296,50;299,90;295,50;296,10;297,32;400461;119048580;2874;
2013-12-18;293,00;293,10;292,00;300,00;291,50;293,10;296,23;820328;242858204;6065;
2013-12-17;289,20;289,80;286,60;292,00;285,20;289,20;288,50;470205;135613118;3126;
2013-12-16;285,90;286,00;287,80;288,10;283,90;285,90;286,56;412367;118187753;3053;
2013-12-13;286,40;286,70;288,10;290,40;286,20;286,50;287,44;350825;100876636;2645;
2013-12-12;288,90;289,00;293,50;293,50;284,10;289,00;288,31;801186;231045886;4802;
2013-12-11;295,00;295,10;283,40;297,60;283,00;295,00;291,75;966577;281871179;5046;
2013-12-10;283,50;283,60;285,10;288,90;280,00;283,60;284,96;549892;156708736;4147;
2013-12-09;283,70;283,80;281,50;284,90;279,10;283,80;281,79;755931;212987900;4198;
2013-12-06;278,00;278,10;284,50;285,00;276,00;278,00;279,63;389350;108882279;3226;
2013-12-05;283,40;283,50;279,00;284,80;279,00;283,50;281,43;375212;105595318;2420;
2013-12-04;281,20;281,30;278,80;282,80;278,80;281,20;280,42;474888;133280771;3478;
2013-12-03;280,90;281,10;285,00;286,10;277,30;281,10;281,86;637794;179785766;4183;
2013-12-02;284,80;284,90;284,30;285,50;282,00;284,90;284,42;575843;163781720;2886;
2013-11-29;284,70;284,80;285,00;285,40;282,00;284,80;284,02;504768;143367963;3123;
2013-11-28;284,80;285,00;285,30;289,90;282,10;285,00;285,03;565017;161043509;3478;
2013-11-27;285,40;285,90;278,00;286,30;277,70;285,40;283,36;777848;220305068;4196;
2013-11-26;276,70;277,60;274,50;277,70;273,50;277,60;276,61;795810;220125506;3368;
2013-11-25;273,70;273,90;269,50;274,70;269,50;273,70;272,88;469793;128188781;2858;
2013-11-22;267,30;267,50;272,50;272,50;266,20;267,50;268,00;666358;179118987;3334;
2013-11-21;271,50;271,60;268,00;273,00;265,50;271,50;271,04;495055;134171433;2376;
2013-11-20;269,50;269,80;270,00;273,00;267,50;269,50;270,13;454125;122670699;2872;
2013-11-19;270,30;270,50;274,90;275,00;268,50;270,30;271,06;804517;218119899;5370;
2013-11-18;276,50;276,60;270,60;278,40;265,50;276,60;272,41;1158366;315505469;6911;
2013-11-15;268,70;269,30;254,50;270,00;251,60;269,30;258,80;24961092;6183208362;18634;
2013-11-14;253,90;254,50;252,00;256,00;251,00;254,50;253,76;745535;189170608;4628;
2013-11-13;249,40;249,80;246,80;250,50;242,00;249,80;246,08;547131;134629933;4010;
2013-11-12;246,40;246,50;258,00;258,00;235,00;246,50;247,41;1318662;326261321;7272;
2013-11-11;257,70;258,00;260,00;260,40;255,20;258,00;257,40;580258;149364036;4075;
2013-11-08;259,30;259,50;261,80;262,50;258,60;259,30;259,74;613748;159424537;4278;
2013-11-07;263,00;263,50;268,50;269,50;262,60;263,50;265,74;755514;200834592;4946;
2013-11-06;267,70;267,80;264,10;269,70;262,00;267,80;266,82;566757;151236168;3732;
2013-11-05;261,30;261,50;271,00;271,50;260,00;261,30;263,48;730602;192515178;4712;
2013-11-04;270,30;270,60;271,00;273,90;268,10;270,40;270,54;408666;110555349;2794;
2013-11-01;269,50;269,60;264,80;273,70;263,90;269,60;269,20;899770;241890683;5280;
2013-10-31;261,80;261,90;258,90;262,50;252,10;261,90;258,64;1418608;366932196;7725;
2013-10-30;248,90;249,10;250,00;252,30;248,00;249,10;249,84;156894;39196748;1069;
2013-10-29;247,90;248,10;247,00;248,50;243,80;247,90;247,16;347618;85929378;2299;
2013-10-28;247,50;247,60;250,40;252,10;247,10;247,60;249,05;290565;72390101;1988;
2013-10-25;249,70;249,80;253,70;254,00;248,90;249,80;250,00;364207;91043307;2195;
2013-10-24;254,20;254,40;260,40;260,80;251,50;254,40;254,68;394269;100423639;2460;
2013-10-23;259,90;260,00;259,00;260,30;257,10;260,00;258,95;361396;93518618;2247;
2013-10-22;257,90;258,60;257,40;259,00;256,00;258,60;257,81;392164;101086394;2285;
2013-10-21;256,60;256,90;257,00;259,80;256,50;256,60;257,51;405222;104350278;2776;
2013-10-18;255,90;256,60;259,70;262,00;255,40;256,60;257,54;487284;125509804;3324;
2013-10-17;257,40;257,50;255,40;259,00;253,00;257,40;255,99;504659;129195035;2994;
2013-10-16;253,90;254,00;253,00;255,60;249,70;254,00;252,41;435896;110027622;3356;
2013-10-15;253,00;253,70;251,00;254,40;250,60;253,70;252,59;320509;80942255;2437;
2013-10-14;249,80;249,90;245,60;253,00;244,90;249,80;249,59;521614;130168114;3994;
2013-10-11;247,70;247,80;244,60;249,80;244,10;247,70;247,70;793029;196377451;4780;
