Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2014-01-17;145,70;145,80;147,40;147,50;145,10;145,80;146,13;636620;93027245;2805;
2014-01-16;143,80;144,00;143,20;145,00;143,20;143,80;144,39;548817;79231851;1673;
2014-01-15;143,60;143,70;142,90;143,90;142,30;143,60;143,14;466510;66708929;1533;
2014-01-14;141,20;141,40;140,90;141,60;140,20;141,20;141,10;208623;29445459;910;
2014-01-13;141,50;141,60;143,80;143,80;140,90;141,50;142,32;427130;60789030;672;
2014-01-10;143,00;143,20;140,30;143,20;140,30;143,20;141,83;633907;89904524;814;
2014-01-09;141,00;141,30;142,50;142,50;141,00;141,30;141,34;275096;38883561;748;
2014-01-08;142,20;142,30;142,40;142,40;140,70;142,30;141,54;211751;29969185;1007;
2014-01-07;141,90;142,00;141,60;142,00;140,10;142,00;140,66;410837;57794025;1077;
2014-01-06;141,60;141,70;142,00;142,80;141,30;141,60;141,97;205496;29174640;562;
2014-01-03;142,00;142,10;141,80;142,50;140,60;142,00;141,86;162200;23017168;826;
2014-01-02;141,60;141,80;142,00;143,50;141,60;141,60;142,38;143875;20484812;973;
2013-12-30;142,80;143,00;142,00;143,60;142,00;142,80;142,94;135761;19404878;939;
2013-12-27;142,50;142,70;142,80;143,00;142,00;142,50;142,44;122027;17377568;658;
2013-12-23;141,80;141,90;141,10;142,60;141,10;141,90;141,65;85093;12053486;464;
2013-12-20;141,40;141,50;139,70;141,80;139,70;141,50;141,35;255439;36103569;1673;
2013-12-19;139,90;140,00;136,80;140,20;136,80;139,90;138,83;332138;46094269;1238;
2013-12-18;136,50;136,60;136,80;138,40;136,30;136,50;136,81;206660;28290308;924;
2013-12-17;137,20;137,40;139,30;140,00;135,50;137,20;137,19;267676;36770040;1175;
2013-12-16;139,30;139,40;139,00;140,20;138,50;139,30;139,45;188563;26301828;600;
2013-12-13;138,80;138,90;140,40;140,40;138,90;138,90;139,54;111574;15590387;526;
2013-12-12;140,00;140,20;140,90;141,40;139,70;140,20;140,48;199102;27983735;1175;
2013-12-11;140,80;141,00;141,50;141,50;140,30;141,00;140,97;154120;21744955;948;
2013-12-10;141,80;141,90;143,50;143,70;141,40;141,90;142,69;334609;47744461;808;
2013-12-09;143,50;143,60;143,10;144,10;143,10;143,50;143,41;483811;69384713;601;
2013-12-06;143,40;143,70;144,50;144,50;143,10;143,70;143,48;406334;58303713;669;
2013-12-05;143,90;144,00;144,80;145,00;143,90;143,90;144,27;209618;30241217;1382;
2013-12-04;144,70;145,00;144,90;145,10;143,90;145,00;144,51;234134;33832019;1207;
2013-12-03;144,60;144,80;146,00;146,10;144,30;144,80;144,69;185781;26882983;1055;
2013-12-02;145,80;145,90;145,50;146,20;145,30;145,90;145,75;133085;19397122;1000;
2013-11-29;145,30;145,40;144,70;146,30;144,30;145,30;145,44;192389;27983317;939;
2013-11-28;144,40;144,50;144,80;145,00;144,30;144,40;144,57;111608;16136764;459;
2013-11-27;144,30;144,40;145,00;145,00;144,10;144,30;144,50;490301;70746663;796;
2013-11-26;144,10;144,50;144,00;145,00;143,50;144,40;144,23;186137;26846369;974;
2013-11-25;144,00;144,10;144,00;144,50;143,30;144,00;143,99;132509;19077134;936;
2013-11-22;143,40;143,50;143,40;144,20;143,00;143,50;143,52;130768;18766343;754;
2013-11-21;142,70;142,80;143,40;144,10;142,10;142,80;142,98;170520;24380747;1144;
2013-11-20;143,30;143,50;145,50;145,50;143,20;143,50;143,98;247339;35613234;1542;
2013-11-19;146,00;146,10;147,90;148,60;139,00;146,00;146,05;419976;61339926;2471;
2013-11-18;148,60;148,90;147,30;149,00;146,90;148,60;148,22;225084;33362291;1569;
2013-11-15;147,00;147,30;147,00;147,50;146,00;147,30;146,92;119441;17546951;1265;
2013-11-14;146,70;146,80;145,90;146,90;144,20;146,70;145,97;185134;27023736;752;
2013-11-13;145,20;145,30;146,20;147,40;145,00;145,30;145,63;130409;18990297;859;
2013-11-12;146,70;146,80;148,60;148,60;146,10;146,80;146,48;103951;15229326;789;
2013-11-11;148,10;148,20;147,00;148,40;146,60;148,10;147,75;77473;11446512;621;
2013-11-08;147,00;147,10;147,30;147,70;145,40;147,10;146,43;117580;17220078;743;
2013-11-07;147,30;147,60;146,80;148,60;146,30;147,60;147,57;117471;17334770;1184;
2013-11-06;146,90;147,00;147,90;148,40;146,70;146,90;147,51;153215;22599506;1004;
2013-11-05;147,10;147,30;150,80;150,80;146,80;147,10;147,33;128201;18891613;921;
2013-11-04;150,50;150,60;150,20;151,10;149,80;150,50;150,44;133299;20053164;1339;
2013-11-01;150,40;150,50;149,70;150,70;149,00;150,50;149,94;144161;21616208;1120;
2013-10-31;149,10;149,60;152,90;152,90;149,00;149,60;150,49;286416;43104237;1619;
2013-10-30;152,90;153,10;153,90;154,00;152,80;153,10;153,35;85641;13132941;724;
2013-10-29;153,40;153,50;151,20;154,00;151,20;153,50;153,16;190336;29142361;923;
2013-10-28;151,40;151,50;155,00;155,00;150,90;151,50;152,83;294743;45047531;2030;
2013-10-25;154,40;154,50;155,00;155,50;154,00;154,40;154,70;167958;25984125;1375;
2013-10-24;155,10;155,20;154,80;155,90;154,80;155,20;155,21;143281;22234030;823;
2013-10-23;154,70;154,80;153,00;154,80;152,80;154,80;154,44;177387;27392613;983;
2013-10-22;153,10;153,20;153,20;154,70;153,10;153,10;153,70;227684;34993887;1426;
2013-10-21;153,50;153,70;153,00;154,00;153,00;153,50;153,61;271920;41766129;1106;
2013-10-18;152,50;153,00;152,50;153,50;152,00;153,00;152,77;170144;25992141;977;
2013-10-17;152,20;152,30;151,80;152,50;151,20;152,30;151,89;104523;15873527;726;
2013-10-16;151,40;151,50;149,00;151,70;148,60;151,40;150,73;338242;50982132;1667;
2013-10-15;149,00;149,10;148,40;149,50;147,60;149,10;148,47;136541;20272376;872;
2013-10-14;147,70;147,80;147,30;148,20;146,60;147,70;147,42;118806;17514945;899;
2013-10-11;147,20;147,40;147,90;148,00;147,00;147,40;147,56;160549;23689743;979;
2013-10-10;147,10;147,30;144,50;147,30;144,50;147,30;146,36;259602;37989810;1584;
2013-10-09;143,80;144,00;143,50;144,30;143,10;144,00;143,61;175112;25146999;917;
2013-10-08;143,70;143,80;143,10;144,10;143,10;143,70;143,57;134489;19308317;983;
2013-10-07;143,30;143,40;143,90;144,00;142,90;143,30;143,25;70192;10054724;557;
2013-10-04;144,00;144,10;144,10;145,10;143,80;144,00;144,57;155988;22551454;955;
2013-10-03;144,00;144,30;143,30;144,30;143,30;144,30;143,83;165441;23762907;623;
2013-10-02;143,30;143,40;145,40;145,40;143,20;143,30;143,97;217821;31365721;1083;
2013-10-01;145,40;145,50;141,90;145,70;141,90;145,40;144,94;229484;33253927;1167;
2013-09-30;141,90;142,00;141,50;142,60;141,30;142,00;141,98;260532;36990077;1269;
2013-09-27;142,50;142,60;143,70;143,90;142,10;142,50;142,56;264083;37655418;1699;
2013-09-26;143,80;143,90;144,20;145,10;143,10;143,90;143,69;210124;30193273;1736;
2013-09-25;143,80;144,00;145,10;145,50;143,70;144,00;144,19;315501;45499009;1395;
2013-09-24;145,20;145,30;144,70;145,60;144,10;145,30;145,12;154430;22411281;791;
2013-09-23;144,60;144,70;144,70;146,00;144,50;144,60;145,02;236094;34239717;1341;
2013-09-20;145,40;145,50;144,80;145,90;144,50;145,50;145,39;147301;21415344;1101;
2013-09-19;145,00;145,20;145,80;146,20;144,80;145,20;145,51;249530;36293919;1125;
2013-09-18;144,80;144,90;146,70;146,70;144,60;144,90;144,97;272253;39467738;1804;
2013-09-17;145,80;145,90;144,80;146,00;142,90;145,80;144,68;406654;58836243;2195;
2013-09-16;144,30;144,50;143,00;144,80;142,40;144,50;143,92;350852;50489635;1661;
2013-09-13;142,10;142,20;141,20;142,70;141,20;142,10;142,02;374976;53253785;1364;
2013-09-12;141,40;141,50;141,70;142,80;141,30;141,50;141,83;350999;49784529;1567;
2013-09-11;141,60;141,80;143,40;144,00;141,20;141,60;141,95;535000;75944628;1380;
2013-09-10;143,40;143,50;143,00;144,00;143,00;143,50;143,30;450568;64566707;1453;
2013-09-09;142,60;142,70;142,50;143,20;142,30;142,60;142,70;165908;23674286;1611;
2013-09-06;142,30;142,40;143,80;143,90;141,80;142,40;142,53;717982;102338537;2050;
2013-09-05;143,40;143,70;144,00;144,30;143,00;143,70;143,29;387609;55554232;1356;
2013-09-04;143,70;143,90;144,00;144,20;142,50;143,90;143,14;324566;46475423;1569;
2013-09-03;143,70;143,90;144,00;144,00;142,50;143,90;143,31;247742;35516814;1265;
2013-09-02;144,00;144,10;142,90;144,00;142,90;144,00;143,52;302395;43398136;1030;
2013-08-30;142,80;142,90;144,90;144,90;142,80;142,80;143,60;635356;91236939;1362;
2013-08-29;144,80;145,00;144,70;145,30;144,20;145,00;144,65;161574;23368237;918;
2013-08-28;144,50;144,80;145,00;145,60;144,20;144,60;144,46;596475;86172496;1044;
2013-08-27;144,80;145,00;148,60;148,70;144,80;145,00;145,85;493413;71978352;1600;
2013-08-26;148,40;148,70;148,60;149,20;147,70;148,70;148,52;63772;9471040;406;
2013-08-23;148,20;148,60;148,40;148,60;147,50;148,50;147,98;129483;19161215;716;
2013-08-22;148,00;148,30;147,50;148,70;146,30;148,30;147,66;205105;30286297;1436;
2013-08-21;147,40;147,50;150,00;150,70;147,40;147,40;148,18;513357;76078912;1550;
2013-08-20;151,90;152,20;153,50;157,00;150,10;152,20;152,08;317246;48249424;1452;
2013-08-19;153,10;153,40;152,00;153,40;151,20;153,40;152,60;243471;37143853;1455;
2013-08-16;151,70;152,00;151,00;152,00;150,10;152,00;151,10;216127;32656994;873;
2013-08-15;150,90;151,00;153,70;153,70;150,70;150,90;151,93;138890;21103698;1035;
2013-08-14;153,50;153,60;154,70;155,60;151,60;153,50;152,98;275771;42228022;1304;
2013-08-13;154,30;154,70;155,30;155,90;153,90;154,70;154,60;181920;28126967;1087;
2013-08-12;155,10;155,20;156,10;156,80;154,60;155,20;155,40;156755;24360130;951;
2013-08-09;155,50;156,00;155,40;156,20;153,50;156,00;155,48;144023;22392031;1031;
2013-08-08;155,30;155,50;154,50;156,00;153,90;155,50;155,28;109075;16937619;770;
2013-08-07;154,50;154,80;154,10;155,00;152,80;154,50;154,03;124899;19236289;742;
2013-08-06;154,20;154,40;156,90;157,90;154,00;154,20;155,35;101006;15693619;695;
2013-08-05;157,00;157,30;157,00;157,90;156,00;157,30;157,07;80857;12700289;615;
2013-08-02;157,10;157,20;157,90;158,90;155,80;157,10;157,23;89495;14072182;647;
2013-08-01;157,90;158,00;157,70;159,30;157,40;158,00;158,17;98875;15638582;777;
2013-07-31;157,60;157,70;157,40;158,40;156,50;157,60;157,46;87697;13808939;624;
2013-07-30;157,40;157,50;156,60;157,50;155,00;157,50;156,37;80810;12636690;635;
2013-07-29;156,60;156,70;156,20;157,60;155,90;156,70;156,77;77660;12173827;621;
2013-07-26;156,00;156,30;156,60;156,90;154,70;156,30;155,74;62791;9780145;530;
