Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2014-01-17;516,50;517,00;517,50;520,00;514,50;516,50;516,90;99502;51447793;1024;
2014-01-16;518,00;518,50;521,00;524,00;517,00;518,50;520,51;84269;43859273;1000;
2014-01-15;520,00;521,50;514,00;521,50;514,00;521,50;519,11;91161;47300966;987;
2014-01-14;511,50;512,00;510,00;514,00;507,00;511,50;511,05;211871;108290657;795;
2014-01-13;510,00;510,50;514,00;516,50;509,00;510,00;512,19;104250;53404343;1000;
2014-01-10;512,00;514,00;519,50;519,50;510,00;512,00;513,21;111383;57206593;1221;
2014-01-09;516,50;517,50;520,50;520,50;516,00;517,50;518,30;77860;40361327;879;
2014-01-08;519,00;520,00;520,50;521,50;516,00;520,00;519,35;84005;43636416;951;
2014-01-07;519,00;519,50;525,00;526,50;515,50;519,00;520,39;83819;43643643;1173;
2014-01-06;524,50;525,00;524,50;526,50;521,50;524,50;524,70;53696;28174318;984;
2014-01-03;524,00;524,50;525,50;526,00;521,00;524,00;523,35;49083;25687750;927;
2014-01-02;522,00;523,50;525,50;528,50;521,50;523,50;524,23;67470;35370002;1126;
2013-12-30;524,00;524,50;524,00;528,00;523,00;524,50;524,34;43023;22558942;685;
2013-12-27;523,00;523,50;522,00;530,00;521,00;523,00;525,35;51736;27179380;656;
2013-12-23;520,50;521,00;518,50;520,50;515,00;520,50;518,06;72145;37375400;641;
2013-12-20;515,00;519,00;505,00;519,00;503,00;519,00;515,61;397730;204939704;1981;
2013-12-19;504,00;504,50;486,40;504,50;486,40;504,00;498,88;220476;109830462;2653;
2013-12-18;484,00;484,60;487,00;487,40;484,00;484,00;485,13;82053;39810783;1044;
2013-12-17;484,00;484,50;490,10;494,80;481,00;484,50;484,95;125940;61157745;2029;
2013-12-16;490,20;490,30;492,30;496,50;488,80;490,20;492,73;117686;58018603;1564;
2013-12-13;492,00;492,30;494,00;496,00;490,90;492,00;493,43;99889;49287279;1418;
2013-12-12;492,90;493,00;490,90;500,00;488,80;492,90;493,52;201952;99535087;2457;
2013-12-11;485,50;485,80;483,80;487,20;480,10;485,50;483,51;129250;62495847;1953;
2013-12-10;482,90;483,10;491,10;491,20;481,00;483,00;485,75;122811;59899637;1387;
2013-12-09;488,50;488,90;483,00;490,40;480,70;488,50;486,05;69532;33790987;1014;
2013-12-06;482,60;482,80;483,00;487,20;482,00;482,60;483,75;43395;20991967;869;
2013-12-05;485,10;485,20;484,00;488,00;483,00;485,10;485,16;64211;31152487;1104;
2013-12-04;486,80;487,70;490,60;491,80;484,60;487,70;487,20;53315;25975240;911;
2013-12-03;490,00;490,80;492,20;494,50;486,40;490,80;489,37;99844;48866041;1661;
2013-12-02;493,80;494,80;496,50;498,00;493,80;493,80;495,62;52986;26261179;816;
2013-11-29;496,10;496,50;497,60;499,00;496,10;496,10;497,08;54110;26899170;786;
2013-11-28;496,70;496,80;495,20;498,50;495,20;496,70;496,98;50583;25119288;819;
2013-11-27;495,40;495,50;491,70;496,30;490,90;495,40;493,42;123615;60994702;2576;
2013-11-26;493,80;494,00;501,00;502,00;494,00;494,00;496,16;121436;60252863;1670;
2013-11-25;501,50;502,00;499,00;504,00;495,70;502,00;501,12;67762;33954649;886;
2013-11-22;496,80;497,00;496,80;499,50;494,00;496,80;496,56;59229;29411118;1245;
2013-11-21;495,50;496,00;501,00;501,00;495,50;495,50;497,75;62005;30863967;1132;
2013-11-20;500,50;501,00;501,50;502,50;498,70;501,00;500,64;62597;31338540;768;
2013-11-19;500,50;501,50;494,40;502,00;494,40;501,50;500,11;63156;31587092;952;
2013-11-18;497,70;497,80;495,20;498,00;493,30;497,80;496,27;83697;41531963;1175;
2013-11-15;495,20;495,50;501,50;501,50;494,20;495,50;495,68;91940;45574750;1785;
2013-11-14;498,00;499,50;496,40;500,50;493,00;499,50;497,48;83615;41597797;1393;
2013-11-13;498,50;498,90;502,00;504,00;496,20;498,90;498,65;48478;24173535;901;
2013-11-12;504,00;504,50;498,50;504,50;498,20;504,50;502,24;62032;31152975;907;
2013-11-11;498,20;498,60;498,90;501,50;494,60;498,20;498,90;48053;23973878;863;
2013-11-08;498,70;498,90;502,00;502,00;495,00;498,90;498,19;70105;34925466;1268;
2013-11-07;502,00;502,50;504,00;506,50;501,00;502,00;503,45;39981;20128743;678;
2013-11-06;503,50;504,00;507,00;508,00;503,00;503,50;505,25;60891;30767640;702;
2013-11-05;506,50;507,00;509,00;509,50;503,50;507,00;506,00;60447;30591516;915;
2013-11-04;508,50;509,00;507,00;509,00;506,00;509,00;507,53;183729;93248239;887;
2013-11-01;507,00;507,50;502,50;509,00;502,00;507,50;507,35;91058;46199175;990;
2013-10-31;502,00;502,50;513,00;518,00;501,00;502,00;505,38;159833;80767940;1449;
2013-10-30;515,00;515,50;519,00;520,00;513,00;515,50;515,66;42448;21889359;622;
2013-10-29;519,00;519,50;515,00;521,50;514,00;519,50;519,03;59478;30878652;554;
2013-10-28;515,50;516,00;522,00;523,00;515,00;515,50;518,08;52540;27222562;1031;
2013-10-25;523,00;523,50;521,50;524,50;521,00;523,00;523,00;42510;22232795;726;
2013-10-24;524,50;525,00;522,50;525,00;522,00;525,00;523,87;35627;18663338;510;
2013-10-23;520,50;521,50;520,00;522,50;519,00;520,50;520,30;55814;29043193;461;
2013-10-22;522,00;522,50;520,50;524,00;520,50;522,00;522,34;66148;34552208;1076;
2013-10-21;518,50;520,00;519,00;523,00;518,50;518,50;519,85;45873;23847091;596;
2013-10-18;520,00;520,50;515,50;521,00;515,50;520,50;518,68;45782;23746407;675;
2013-10-17;515,00;515,50;512,50;517,00;510,50;515,50;514,41;45187;23244711;634;
2013-10-16;511,50;513,00;509,50;513,50;508,50;513,00;512,12;76781;39320854;932;
2013-10-15;511,00;512,00;505,50;515,00;501,50;512,00;509,34;69495;35396345;1157;
2013-10-14;507,50;508,50;507,00;509,50;504,50;507,50;507,36;50620;25682124;887;
2013-10-11;507,00;507,50;516,50;517,00;506,00;507,00;511,07;111752;57114182;1329;
2013-10-10;517,00;518,00;523,00;524,00;511,00;518,00;516,33;91108;47041970;1271;
2013-10-09;514,50;515,00;515,50;516,50;511,00;514,50;514,20;85960;44201387;1180;
2013-10-08;515,50;516,00;525,00;526,00;513,50;515,50;520,16;97809;50881504;1215;
2013-10-07;522,00;523,00;516,00;523,00;515,50;523,00;519,05;65788;34147111;698;
2013-10-04;515,50;516,00;514,50;520,00;513,50;516,00;517,29;87283;45149681;1127;
2013-10-03;514,50;515,00;512,50;515,50;512,50;514,50;514,46;59873;30802058;746;
2013-10-02;511,00;511,50;512,00;513,00;506,50;511,50;509,52;54704;27872952;809;
2013-10-01;512,00;512,50;505,00;515,00;505,00;512,50;510,94;77954;39829833;837;
2013-09-30;507,00;507,50;504,00;507,50;502,50;507,50;505,79;71060;35941826;797;
2013-09-27;506,00;507,50;508,00;509,00;504,00;507,50;506,46;62611;31709439;838;
2013-09-26;507,00;507,50;506,50;507,50;504,50;507,50;506,03;43090;21804915;708;
2013-09-25;505,00;505,50;505,00;505,50;502,50;505,00;504,28;67739;34159248;906;
2013-09-24;505,00;505,50;503,50;505,50;499,80;505,00;504,03;47019;23696715;745;
2013-09-23;503,00;503,50;501,00;506,50;499,60;503,50;502,87;70393;35398630;932;
2013-09-20;500,50;501,50;498,60;503,00;498,60;500,50;501,07;57216;28669070;845;
2013-09-19;499,80;500,50;498,10;502,00;497,10;500,50;500,06;84985;42492799;1034;
2013-09-18;494,30;495,20;496,00;497,60;492,70;495,20;495,39;40971;20296272;721;
2013-09-17;495,40;496,10;494,40;496,20;491,70;496,10;494,17;50102;24759160;869;
2013-09-16;496,20;496,30;494,20;496,70;493,00;496,20;495,07;64561;31961913;1379;
2013-09-13;491,50;491,70;491,60;493,40;490,30;491,70;491,63;55311;27193915;1083;
2013-09-12;491,60;491,80;491,90;496,50;491,60;491,60;494,11;54566;26962885;1174;
2013-09-11;493,00;493,30;491,90;494,60;490,50;493,00;492,40;67153;33067298;1042;
2013-09-10;491,20;491,40;491,60;495,90;484,20;491,40;492,59;118957;58596348;1806;
2013-09-09;485,90;486,00;484,00;486,80;483,00;486,00;485,47;54525;26469761;1013;
2013-09-06;483,10;483,40;485,60;485,60;480,60;483,10;482,31;41218;19880049;730;
2013-09-05;484,50;485,00;486,90;487,40;482,50;484,50;484,61;55825;27056148;1113;
2013-09-04;484,20;485,10;491,40;491,40;480,50;485,10;482,81;66345;32060794;888;
