Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2014-01-17;193,90;194,00;193,50;194,90;192,10;194,00;193,86;1413599;274039051;4278;
2014-01-16;194,00;194,30;198,10;198,40;194,00;194,00;195,50;1762058;344490879;5455;
2014-01-15;197,10;197,20;194,20;198,60;194,20;197,10;196,93;2295477;451963040;5828;
2014-01-14;192,70;192,80;192,00;194,70;190,10;192,80;192,62;2515863;484665695;6781;
2014-01-13;196,40;196,50;197,40;199,70;194,70;196,50;197,09;2451189;483088627;6513;
2014-01-10;194,50;194,70;195,90;197,20;193,30;194,70;195,05;2241003;437113475;6113;
2014-01-09;194,90;195,00;194,00;198,00;190,50;194,90;194,95;3000000;584807119;8019;
2014-01-08;193,50;193,70;199,00;199,00;184,30;193,50;191,70;6351463;1218029389;16923;
2014-01-07;197,20;197,40;200,40;202,60;194,20;197,40;197,33;5705517;1125972367;14749;
2014-01-06;186,10;186,60;177,20;187,80;176,90;186,10;183,61;3696780;678755205;9389;
2014-01-03;176,40;176,50;172,50;178,10;168,30;176,40;173,71;3913421;679719704;10068;
2014-01-02;171,60;171,70;162,70;171,80;161,70;171,70;168,20;4451667;748776261;11335;
2013-12-30;160,20;160,30;161,00;162,00;158,60;160,20;160,07;1641833;262818326;4788;
2013-12-27;159,80;160,00;160,00;161,50;159,40;159,80;160,14;1573836;252012435;4308;
2013-12-23;157,00;157,10;157,70;158,80;157,00;157,00;157,69;1126637;177651428;3475;
2013-12-20;156,60;156,70;158,90;160,40;156,60;156,60;158,07;3178012;502372305;8033;
2013-12-19;156,40;156,50;155,80;157,00;155,00;156,50;156,17;2264959;353618399;5662;
2013-12-18;152,90;153,00;150,00;153,70;150,00;153,00;152,23;3073658;467686033;6815;
2013-12-17;145,30;145,40;149,40;150,20;145,00;145,30;147,18;1270751;187099882;3312;
2013-12-16;149,80;149,90;146,20;150,30;144,70;149,90;148,66;1872893;278347252;4557;
2013-12-13;146,30;146,40;144,90;147,70;144,50;146,40;146,60;1355140;198607952;3459;
2013-12-12;144,10;144,30;145,90;148,30;143,60;144,10;145,48;1583081;230381577;4464;
2013-12-11;146,90;147,00;145,80;149,50;143,60;147,00;147,57;1474447;217566865;4610;
2013-12-10;146,10;146,30;148,50;150,80;146,10;146,10;148,34;1795599;266401017;4680;
2013-12-09;149,30;149,40;149,60;150,50;147,00;149,30;149,05;1611537;240192144;4401;
2013-12-06;147,80;147,90;142,10;147,90;142,00;147,90;145,08;2241079;325132703;5464;
2013-12-05;141,40;141,50;141,10;145,60;141,00;141,40;143,43;2364909;339064085;6086;
2013-12-04;141,00;141,10;145,00;145,10;138,00;141,10;141,28;3709825;524169768;10270;
2013-12-03;146,00;146,10;154,10;154,90;145,70;146,00;148,97;3640293;542277944;8893;
2013-12-02;154,50;154,90;156,20;156,90;154,10;154,50;155,25;1282659;199125291;3626;
2013-11-29;156,50;156,60;158,10;158,80;156,50;156,50;157,32;860494;135378816;2172;
2013-11-28;157,70;157,80;155,50;158,50;155,50;157,70;157,33;1209679;190315493;3368;
2013-11-27;155,70;155,80;154,10;156,00;154,10;155,80;155,34;1080741;167860247;2466;
2013-11-26;154,00;154,20;155,50;155,60;154,00;154,00;154,69;804915;124517602;2216;
2013-11-25;154,80;154,90;154,00;155,50;153,50;154,90;154,66;926161;143236604;2628;
2013-11-22;153,60;153,80;153,50;155,50;152,90;153,60;154,15;1387836;213934157;3079;
2013-11-21;152,60;152,70;150,70;153,50;148,80;152,60;151,61;1733412;262830798;4572;
2013-11-20;152,00;152,50;153,60;155,70;150,30;152,00;152,58;2089298;318795550;5422;
2013-11-19;154,30;154,40;157,10;157,20;153,50;154,30;154,95;1713521;265556735;4720;
2013-11-18;157,80;157,90;156,30;158,40;154,50;157,80;156,84;1525093;239190452;4200;
