Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2014-01-17;515,50;516,50;516,00;520,00;514,00;516,50;516,04;96729;49917352;1045;
2014-01-16;517,00;518,00;512,50;520,00;512,50;518,00;517,86;62090;32153286;894;
2014-01-15;516,00;516,50;512,00;516,00;510,00;516,00;512,86;106159;54442071;1236;
2014-01-14;510,00;511,00;512,50;512,50;505,00;511,00;508,40;63090;32074623;747;
2014-01-13;510,50;512,00;516,00;517,00;510,00;510,50;513,11;72321;37106264;963;
2014-01-10;513,00;513,50;518,50;518,50;511,50;513,50;513,92;58220;29924546;981;
2014-01-09;518,50;519,50;516,50;522,00;512,00;518,50;518,09;92170;47752117;1042;
2014-01-08;516,50;517,00;515,00;523,50;513,50;517,00;518,92;146629;76088340;1923;
2014-01-07;525,00;525,50;525,00;528,50;519,50;525,00;523,73;61524;32225075;1044;
2014-01-06;523,50;524,00;525,00;526,00;521,50;524,00;524,43;61952;32489788;627;
2014-01-03;524,50;525,00;524,00;526,00;518,00;524,50;522,98;70279;36754774;1210;
2014-01-02;524,00;524,50;529,00;531,50;523,00;524,00;526,48;55272;29096972;834;
2013-12-30;526,50;527,00;522,00;529,00;522,00;527,00;525,20;48210;25320108;714;
2013-12-27;522,00;523,00;519,50;525,00;518,00;522,00;522,50;36270;18950962;499;
2013-12-23;515,50;517,00;512,00;519,50;512,00;515,50;516,30;35555;18356885;632;
2013-12-20;514,00;515,50;514,00;516,00;508,00;515,50;512,86;85008;43597215;1237;
2013-12-19;511,50;512,00;508,00;516,00;508,00;512,00;513,06;80541;41321326;1157;
2013-12-18;504,50;505,50;513,00;516,00;504,00;504,50;508,46;132461;67388870;1385;
2013-12-17;511,00;512,00;512,50;516,00;509,00;511,00;512,15;60873;31174992;732;
2013-12-16;515,00;516,00;514,00;518,00;507,50;515,00;512,77;67612;34679034;983;
2013-12-13;512,00;513,00;515,50;516,00;511,00;513,00;513,39;75327;38717394;1189;
2013-12-12;517,50;518,00;519,50;521,00;514,50;518,00;517,54;88551;45891790;1082;
2013-12-11;522,00;522,50;520,00;527,00;518,00;522,00;523,18;77504;40541559;1075;
2013-12-10;520,00;520,50;521,50;528,00;519,50;520,00;522,92;52127;27261597;697;
2013-12-09;523,50;524,50;519,00;525,00;515,00;524,00;521,01;48018;25017494;719;
2013-12-06;517,50;519,00;520,50;522,00;514,00;519,00;517,18;43230;22357695;741;
2013-12-05;517,50;521,00;516,00;522,50;513,00;517,50;519,24;70756;36740806;1025;
2013-12-04;516,00;516,50;517,00;524,50;516,00;516,00;520,39;154781;80544643;1269;
2013-12-03;519,00;520,00;525,00;526,50;515,50;520,00;519,71;83250;43267538;1084;
2013-12-02;524,00;525,00;514,00;525,00;512,50;525,00;521,12;77611;40444777;903;
2013-11-29;513,00;514,00;514,00;517,00;511,00;513,00;513,97;60003;30841919;716;
2013-11-28;514,00;514,50;513,50;520,50;513,00;514,00;516,03;47995;24766780;634;
2013-11-27;516,00;516,50;513,00;517,00;510,50;516,00;513,95;64512;33157415;838;
2013-11-26;515,50;516,00;510,00;516,50;510,00;516,00;514,65;69033;35527429;849;
2013-11-25;511,50;512,00;509,50;512,00;507,00;512,00;509,94;114320;58296548;1035;
2013-11-22;505,50;506,00;508,50;511,50;505,00;505,50;507,25;75737;38417760;995;
2013-11-21;508,00;509,00;508,00;512,00;504,00;509,00;508,40;90167;45837561;1230;
2013-11-20;511,50;512,00;513,00;516,00;507,50;511,50;511,14;50406;25765806;674;
2013-11-19;513,00;514,00;516,50;520,00;511,50;513,00;513,66;40408;20757521;603;
2013-11-18;519,00;519,50;510,00;519,00;510,00;519,00;515,63;59967;30920519;951;
2013-11-15;509,00;510,00;512,00;512,00;508,50;509,00;509,77;51769;26392988;597;
2013-11-14;512,00;512,50;516,00;517,50;510,00;512,50;513,37;48855;25080745;689;
2013-11-13;512,50;514,00;510,00;514,50;510,00;512,50;512,51;52260;26782656;720;
2013-11-12;510,50;511,00;514,00;516,50;509,50;510,50;510,91;53483;27325542;708;
2013-11-11;514,00;515,00;509,50;516,50;509,00;514,00;513,97;53923;27714478;804;
2013-11-08;512,50;513,50;516,00;518,00;512,00;512,50;513,66;59138;30374282;788;
2013-11-07;519,00;519,50;521,00;524,50;515,00;519,00;520,22;71872;37389028;1044;
2013-11-06;520,50;522,00;518,50;525,00;517,00;520,50;520,34;67693;35223734;1081;
2013-11-05;517,50;518,50;525,00;525,00;508,00;518,50;514,02;173933;89405558;1792;
2013-11-04;531,50;533,00;534,00;538,00;530,00;531,50;533,55;59880;31948996;1165;
2013-11-01;534,50;535,00;542,50;543,00;530,50;535,00;534,83;58915;31510233;1181;
2013-10-31;542,50;543,50;529,50;543,50;525,50;543,50;539,09;76700;41348918;1016;
2013-10-30;527,50;528,00;527,00;532,50;527,00;527,50;530,00;49738;26361220;391;
2013-10-29;529,50;530,00;531,00;531,00;525,00;530,00;528,67;64499;34099283;981;
2013-10-28;529,00;529,50;532,00;535,00;528,50;529,50;530,64;44503;23621646;1017;
2013-10-25;532,00;533,00;538,00;538,50;531,50;532,00;533,53;33798;18032170;771;
2013-10-24;536,50;537,50;533,00;539,50;530,00;537,50;535,47;52332;28021896;827;
2013-10-23;533,00;533,50;531,00;537,50;527,50;533,00;533,62;51016;27223700;837;
2013-10-22;535,00;535,50;527,00;537,50;526,50;535,00;532,59;70095;37331974;1015;
2013-10-21;525,50;527,00;520,00;527,00;518,50;527,00;522,22;154680;80782909;898;
2013-10-18;518,50;520,00;514,00;520,50;514,00;519,00;516,42;97588;50388359;1289;
2013-10-17;515,00;516,00;515,00;519,00;512,50;515,00;515,78;144340;74449626;1856;
2013-10-16;513,50;514,00;522,50;524,00;512,50;514,00;514,68;136796;70414010;1206;
2013-10-15;521,50;522,00;520,00;527,00;520,00;522,00;523,56;78906;41312446;1217;
2013-10-14;530,50;531,00;529,50;531,50;524,50;531,00;528,74;37566;19862690;685;
2013-10-11;532,00;533,00;531,50;536,00;518,50;532,00;531,13;89449;47508411;1338;
2013-10-10;528,00;528,50;532,00;539,50;526,00;528,00;532,80;95095;50666819;1696;
2013-10-09;537,00;537,50;539,50;539,50;526,50;537,00;534,11;131141;70039929;1834;
2013-10-08;529,00;529,50;518,50;530,50;517,50;529,50;524,66;118894;62323711;1350;
2013-10-07;517,00;518,50;511,00;518,50;510,00;517,00;515,48;52071;26824494;746;
2013-10-04;511,00;511,50;511,00;514,00;506,50;511,00;510,49;48726;24868002;560;
2013-10-03;512,50;513,00;506,00;514,50;506,00;513,00;509,77;76290;38855069;588;
2013-10-02;506,50;507,00;510,50;513,50;506,00;506,50;507,17;119823;60771053;568;
2013-10-01;513,00;513,50;509,00;516,50;509,00;513,00;513,28;31966;16407486;670;
2013-09-30;509,50;510,00;508,00;512,00;505,50;509,50;509,17;57498;29276622;859;
2013-09-27;508,00;508,50;515,50;516,00;506,50;508,50;510,28;42048;21455083;790;
2013-09-26;512,00;512,50;508,00;512,50;502,50;512,00;508,57;31596;16067387;555;
2013-09-25;508,50;509,00;507,00;510,00;502,00;508,50;506,53;44798;22692729;568;
2013-09-24;509,00;510,50;509,50;512,00;507,50;509,00;509,55;40739;20759781;757;
2013-09-23;510,00;510,50;517,00;517,50;510,00;510,00;511,91;42195;21601840;640;
2013-09-20;516,00;517,00;515,00;519,00;514,50;517,00;516,63;64699;33425515;1469;
2013-09-19;516,00;517,00;514,00;517,00;511,50;516,50;514,14;73609;37846739;979;
2013-09-18;510,00;510,50;511,50;515,00;507,50;510,00;510,31;49973;25504463;682;
2013-09-17;516,50;517,00;513,00;517,00;507,50;517,00;513,56;65526;33653044;868;
2013-09-16;515,00;515,50;508,00;517,00;507,00;515,50;512,21;75061;38415208;1002;
2013-09-13;508,00;508,50;496,70;508,00;496,70;508,00;503,81;85193;42879139;1289;
2013-09-12;496,50;496,70;499,80;503,00;496,00;496,50;498,65;94066;46904599;1518;
2013-09-11;498,70;499,70;498,90;499,90;493,40;499,70;497,06;76135;37844920;1517;
2013-09-10;498,30;499,10;488,00;499,20;488,00;499,00;494,71;127806;63155363;2527;
2013-09-09;479,20;479,80;486,40;486,50;479,10;479,20;480,82;102661;49361028;2715;
2013-09-06;486,40;486,50;486,00;488,80;480,50;486,50;484,45;161953;78458015;3604;
2013-09-05;491,40;491,60;498,10;498,10;489,70;491,60;491,86;59949;29508375;1458;
2013-09-04;498,20;498,50;489,40;498,20;486,10;498,20;493,86;54407;26856960;1145;
2013-09-03;488,50;489,40;491,90;493,00;487,90;489,40;490,40;47454;23276116;1084;
2013-09-02;490,90;491,80;484,50;491,80;484,50;491,80;489,55;33776;16534631;634;
2013-08-30;483,30;484,00;493,00;494,30;480,10;484,00;484,77;154746;75015788;2519;
2013-08-29;493,40;493,80;487,40;498,10;484,00;493,50;491,28;68644;33730053;1258;
2013-08-28;487,40;488,10;491,10;491,80;486,00;487,50;488,05;73012;35634272;1675;
2013-08-27;491,00;491,60;496,40;496,40;491,00;491,00;492,91;59736;29433748;1586;
2013-08-26;495,70;496,50;497,90;500,00;492,00;496,50;495,64;28051;13903250;598;
2013-08-23;497,80;498,40;494,50;499,00;494,00;497,80;496,52;38729;19229973;800;
2013-08-22;494,40;494,90;498,60;500,00;490,60;494,40;494,50;91956;45512104;1739;
2013-08-21;498,70;499,10;500,00;502,50;496,80;498,70;499,14;101041;50427879;1636;
2013-08-20;500,50;501,00;494,10;501,50;493,00;500,50;498,90;148286;73983755;2392;
2013-08-19;494,00;494,20;490,60;497,70;489,40;494,20;493,32;108472;53437644;1495;
2013-08-16;490,50;491,00;488,30;491,00;481,90;490,50;487,80;90440;44121874;1555;
2013-08-15;487,50;488,40;488,00;489,00;481,50;488,40;485,42;107749;52303655;1843;
2013-08-14;488,10;489,00;498,80;500,50;478,40;488,10;485,82;230395;111924025;3396;
2013-08-13;497,60;498,70;489,60;502,50;489,60;498,70;498,30;124266;61922296;2193;
2013-08-12;489,60;489,70;490,40;492,60;487,40;489,70;489,78;68107;33356347;1602;
2013-08-09;490,50;490,90;490,30;492,40;488,20;490,50;490,31;62103;30449510;1358;
2013-08-08;490,20;490,40;492,80;493,70;489,20;490,20;491,12;70923;34831321;1580;
2013-08-07;492,20;492,70;499,50;499,50;490,10;492,70;493,10;57786;28494430;1178;
2013-08-06;495,70;495,80;495,00;499,40;492,50;495,80;495,69;70294;34850127;1249;
2013-08-05;494,70;494,90;498,30;501,00;492,40;494,90;497,30;52238;25981667;1088;
