Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2014-01-17;16,32;16,33;16,40;16,49;16,30;16,32;16,37;1456538;23841792;3396;
2014-01-16;16,39;16,40;16,49;16,58;16,36;16,40;16,46;1811517;29819906;3850;
2014-01-15;16,48;16,49;16,40;16,49;16,27;16,49;16,40;1556612;25523058;3170;
2014-01-14;16,33;16,34;16,20;16,35;16,19;16,34;16,29;1665657;27133914;3747;
2014-01-13;16,49;16,50;16,52;16,58;16,48;16,50;16,51;1016376;16784685;2623;
2014-01-10;16,50;16,51;16,26;16,54;16,26;16,50;16,45;1762192;28994486;2819;
2014-01-09;16,29;16,30;16,46;16,50;16,26;16,29;16,37;1904001;31175546;4074;
2014-01-08;16,41;16,42;16,58;16,59;16,35;16,42;16,43;2042341;33563864;4463;
2014-01-07;16,54;16,55;16,59;16,63;16,47;16,55;16,56;1149257;19033298;2705;
2014-01-03;16,53;16,54;16,42;16,59;16,37;16,53;16,48;661833;10908001;1894;
2014-01-02;16,39;16,40;16,63;16,65;16,37;16,39;16,45;1290382;21232505;3136;
2013-12-30;16,63;16,64;16,66;16,68;16,57;16,63;16,62;705733;11726000;2059;
2013-12-27;16,65;16,66;16,52;16,68;16,50;16,66;16,63;968861;16108958;2064;
2013-12-23;16,50;16,52;16,34;16,55;16,32;16,50;16,44;922051;15160779;2291;
2013-12-20;16,33;16,34;16,40;16,47;16,32;16,33;16,37;1905214;31196472;3979;
2013-12-19;16,33;16,34;16,27;16,36;16,14;16,34;16,26;2190043;35614086;4850;
2013-12-18;16,16;16,17;16,44;16,44;16,13;16,17;16,26;1990390;32362268;4929;
2013-12-17;16,46;16,47;16,62;16,72;16,42;16,46;16,53;1168117;19311470;2951;
2013-12-16;16,61;16,62;16,67;16,68;16,44;16,62;16,57;2075213;34378941;4140;
2013-12-13;16,64;16,65;17,16;17,16;16,62;16,65;16,79;3558909;59758447;8608;
2013-12-12;17,25;17,26;17,93;18,18;17,25;17,25;17,67;7174128;126791583;13497;
2013-12-11;16,82;16,84;16,88;17,00;16,68;16,84;16,84;2030555;34196256;4494;
2013-12-10;16,84;16,85;16,73;16,88;16,73;16,84;16,83;1637882;27566585;3722;
2013-12-09;16,87;16,89;16,46;16,88;16,44;16,88;16,77;1727245;28962846;3109;
2013-12-05;16,42;16,45;16,35;16,48;16,29;16,45;16,40;1500396;24606662;3050;
2013-12-04;16,34;16,35;16,50;16,60;16,34;16,34;16,44;1053652;17318971;2336;
2013-12-03;16,51;16,53;16,78;16,81;16,49;16,51;16,63;1517224;25227657;2995;
2013-12-02;16,78;16,80;16,84;16,94;16,72;16,78;16,78;919789;15433199;1815;
