<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBE.MC,D,20030101,000000,3.34,3.34,3.34,3.34,000,0
IBE.MC,D,20030102,000000,3.26,3.34,3.26,3.34,10215300,0
IBE.MC,D,20030103,000000,3.32,3.37,3.28,3.35,88411800,0
IBE.MC,D,20030106,000000,3.35,3.35,3.35,3.35,000,0
IBE.MC,D,20030107,000000,3.35,3.37,3.33,3.35,123384800,0
IBE.MC,D,20030108,000000,3.34,3.42,3.34,3.40,11557900,0
IBE.MC,D,20030109,000000,3.39,3.50,3.37,3.48,18788400,0
IBE.MC,D,20030110,000000,3.46,3.49,3.39,3.44,9599800,0
IBE.MC,D,20030113,000000,3.45,3.52,3.45,3.50,34323100,0
IBE.MC,D,20030114,000000,3.53,3.60,3.51,3.56,22538300,0
IBE.MC,D,20030115,000000,3.57,3.57,3.53,3.56,18297500,0
IBE.MC,D,20030116,000000,3.53,3.58,3.53,3.56,11988300,0
IBE.MC,D,20030117,000000,3.54,3.55,3.53,3.55,11305700,0
IBE.MC,D,20030120,000000,3.53,3.56,3.53,3.55,6220800,0
IBE.MC,D,20030121,000000,3.56,3.59,3.55,3.57,16567500,0
IBE.MC,D,20030122,000000,3.55,3.58,3.51,3.54,91837600,0
IBE.MC,D,20030123,000000,3.56,3.57,3.49,3.51,12842600,0
IBE.MC,D,20030124,000000,3.51,3.54,3.49,3.51,12426200,0
IBE.MC,D,20030127,000000,3.51,3.51,3.51,3.51,000,0
IBE.MC,D,20030128,000000,3.45,3.45,3.30,3.33,20925100,0
IBE.MC,D,20030129,000000,3.32,3.41,3.21,3.37,36973000,0
IBE.MC,D,20030130,000000,3.35,3.43,3.35,3.41,10508300,0
IBE.MC,D,20030131,000000,3.34,3.44,3.33,3.42,16205900,0
IBE.MC,D,20030203,000000,3.42,3.46,3.38,3.44,20534400,0
IBE.MC,D,20030204,000000,3.41,3.44,3.36,3.40,7882000,0
IBE.MC,D,20030205,000000,3.39,3.44,3.34,3.44,10478900,0
IBE.MC,D,20030206,000000,3.39,3.49,3.39,3.48,15887200,0
IBE.MC,D,20030207,000000,3.48,3.48,3.41,3.43,13355400,0
IBE.MC,D,20030210,000000,3.41,3.47,3.37,3.46,9677500,0
IBE.MC,D,20030211,000000,3.49,3.50,3.46,3.50,14596500,0
IBE.MC,D,20030212,000000,3.48,3.49,3.46,3.48,7220700,0
IBE.MC,D,20030213,000000,3.44,3.50,3.44,3.47,10740500,0
IBE.MC,D,20030214,000000,3.49,3.50,3.44,3.47,11679600,0
IBE.MC,D,20030217,000000,3.52,3.54,3.49,3.50,7606600,0
IBE.MC,D,20030218,000000,3.49,3.61,3.48,3.60,15627000,0
IBE.MC,D,20030219,000000,3.57,3.62,3.54,3.55,16695600,0
IBE.MC,D,20030220,000000,3.58,3.60,3.50,3.55,10403900,0
IBE.MC,D,20030221,000000,3.56,3.57,3.53,3.56,14676700,0
IBE.MC,D,20030224,000000,3.58,3.61,3.55,3.58,11550400,0
IBE.MC,D,20030225,000000,3.56,3.69,3.55,3.60,28469300,0
IBE.MC,D,20030226,000000,3.62,3.64,3.50,3.55,22373700,0
IBE.MC,D,20030227,000000,3.57,3.57,3.46,3.55,23474200,0
IBE.MC,D,20030228,000000,3.54,3.56,3.51,3.56,20629400,0
IBE.MC,D,20030303,000000,3.53,3.59,3.51,3.54,40124700,0
IBE.MC,D,20030304,000000,3.55,3.55,3.46,3.50,24779700,0
