<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UNF.MC,D,20030101,000000,12.55,12.55,12.55,12.55,000,0
UNF.MC,D,20030102,000000,12.50,12.88,12.35,12.87,1355900,0
UNF.MC,D,20030103,000000,12.70,12.71,12.36,12.51,1147000,0
UNF.MC,D,20030106,000000,12.51,12.51,12.51,12.51,000,0
UNF.MC,D,20030107,000000,12.66,12.79,12.51,12.79,2588200,0
UNF.MC,D,20030108,000000,12.67,12.98,12.56,12.81,1066700,0
UNF.MC,D,20030109,000000,12.63,13.12,12.60,13.07,993700,0
UNF.MC,D,20030110,000000,13.09,13.15,12.81,12.93,742000,0
UNF.MC,D,20030113,000000,13.06,13.18,13.00,13.11,586800,0
UNF.MC,D,20030114,000000,13.25,13.53,13.06,13.53,1140600,0
UNF.MC,D,20030115,000000,13.60,13.70,13.18,13.25,1370700,0
UNF.MC,D,20030116,000000,13.36,13.49,13.11,13.49,758400,0
UNF.MC,D,20030117,000000,13.20,13.34,13.05,13.29,1250100,0
UNF.MC,D,20030120,000000,13.15,13.39,13.05,13.10,625800,0
UNF.MC,D,20030121,000000,13.18,13.34,12.84,12.89,394500,0
UNF.MC,D,20030122,000000,12.97,12.97,12.56,12.58,712400,0
UNF.MC,D,20030123,000000,12.67,13.25,12.67,12.90,1054300,0
UNF.MC,D,20030124,000000,12.96,13.00,12.60,12.77,741700,0
UNF.MC,D,20030127,000000,12.64,12.76,12.08,12.08,868900,0
UNF.MC,D,20030128,000000,12.13,12.32,11.90,12.04,1126800,0
UNF.MC,D,20030129,000000,12.12,12.12,11.55,11.79,1178800,0
UNF.MC,D,20030130,000000,11.84,12.16,11.84,12.14,1132600,0
UNF.MC,D,20030131,000000,11.80,12.35,11.80,12.14,960500,0
UNF.MC,D,20030203,000000,12.31,12.31,12.01,12.21,555400,0
UNF.MC,D,20030204,000000,12.22,12.33,11.84,11.89,866800,0
UNF.MC,D,20030205,000000,11.90,12.02,11.83,11.94,632900,0
UNF.MC,D,20030206,000000,11.88,12.03,11.65,11.87,531500,0
UNF.MC,D,20030207,000000,11.84,12.28,11.84,12.20,1715000,0
UNF.MC,D,20030210,000000,12.04,12.37,11.91,12.37,894700,0
UNF.MC,D,20030211,000000,12.30,12.63,12.24,12.54,1179600,0
UNF.MC,D,20030212,000000,12.49,12.60,12.16,12.31,1170800,0
UNF.MC,D,20030213,000000,12.20,12.70,12.07,12.61,1719100,0
UNF.MC,D,20030214,000000,12.50,13.11,12.50,13.00,1808200,0
UNF.MC,D,20030217,000000,13.15,13.18,13.00,13.12,1044100,0
UNF.MC,D,20030218,000000,13.18,13.48,13.02,13.44,1521100,0
UNF.MC,D,20030219,000000,13.40,13.62,13.12,13.22,2257600,0
UNF.MC,D,20030220,000000,13.35,13.38,12.82,12.92,1431300,0
UNF.MC,D,20030221,000000,12.89,13.00,12.63,12.75,739300,0
UNF.MC,D,20030224,000000,12.88,12.88,12.43,12.52,825000,0
UNF.MC,D,20030225,000000,12.48,12.55,12.11,12.11,874000,0
UNF.MC,D,20030226,000000,12.25,12.31,11.37,11.37,2386500,0
UNF.MC,D,20030227,000000,11.42,11.57,11.17,11.47,3077100,0
UNF.MC,D,20030228,000000,11.54,11.73,11.35,11.73,1913800,0
UNF.MC,D,20030303,000000,11.73,11.93,11.68,11.74,1199900,0
UNF.MC,D,20030304,000000,11.79,11.79,11.40,11.51,1172900,0
UNF.MC,D,20030305,000000,11.40,11.59,11.35,11.47,348100,0
UNF.MC,D,20030306,000000,11.55,11.64,11.25,11.39,626600,0
UNF.MC,D,20030307,000000,11.21,11.47,11.15,11.36,677200,0
UNF.MC,D,20030310,000000,11.39,12.13,11.39,11.86,3490300,0
UNF.MC,D,20030311,000000,11.87,11.87,11.52,11.73,1134400,0
UNF.MC,D,20030312,000000,11.89,11.89,11.19,11.27,970700,0
UNF.MC,D,20030313,000000,11.30,11.39,11.03,11.13,1503400,0
UNF.MC,D,20030314,000000,11.23,11.62,11.22,11.51,2290200,0
UNF.MC,D,20030317,000000,11.45,11.68,11.21,11.58,800300,0
UNF.MC,D,20030318,000000,11.80,11.86,11.60,11.84,830000,0
UNF.MC,D,20030319,000000,11.96,12.09,11.76,11.87,567500,0
UNF.MC,D,20030320,000000,11.73,12.06,11.53,11.65,777000,0
UNF.MC,D,20030321,000000,11.80,12.10,11.79,12.05,488600,0
UNF.MC,D,20030324,000000,12.00,12.05,11.80,11.81,908700,0
UNF.MC,D,20030325,000000,11.68,12.18,11.68,12.07,479400,0
UNF.MC,D,20030326,000000,12.18,12.44,12.05,12.14,1304100,0
UNF.MC,D,20030327,000000,12.01,12.15,11.95,11.99,388500,0
UNF.MC,D,20030328,000000,12.04,12.04,11.70,11.80,602800,0
UNF.MC,D,20030331,000000,11.60,11.70,11.53,11.65,469300,0
UNF.MC,D,20030401,000000,11.79,11.94,11.65,11.94,390000,0
UNF.MC,D,20030402,000000,11.97,12.16,11.92,12.10,617900,0
UNF.MC,D,20030403,000000,12.07,12.19,11.89,12.12,992500,0
UNF.MC,D,20030404,000000,12.16,12.16,11.96,12.12,605900,0
UNF.MC,D,20030407,000000,12.25,12.48,12.10,12.42,1171900,0
UNF.MC,D,20030408,000000,12.31,12.58,12.30,12.55,1037100,0
UNF.MC,D,20030409,000000,12.47,12.73,12.33,12.60,774500,0
