Date,Open,High,Low,Close,Volume,Adj Close
2014-01-17,3.31,3.38,3.31,3.37,34593400,3.37
2014-01-16,3.34,3.34,3.30,3.32,32911000,3.32
2014-01-15,3.32,3.35,3.30,3.34,26074300,3.34
2014-01-14,3.29,3.33,3.27,3.32,29451900,3.32
2014-01-13,3.30,3.31,3.27,3.30,30169500,3.30
2014-01-10,3.24,3.27,3.23,3.27,24943100,3.27
2014-01-09,3.25,3.28,3.21,3.22,35510800,3.22
2014-01-08,3.23,3.28,3.22,3.24,37259200,3.24
2014-01-07,3.18,3.23,3.18,3.23,32018700,3.23
2014-01-06,3.19,3.20,3.17,3.19,17306600,3.19
2014-01-03,3.14,3.18,3.13,3.18,20335100,3.18
2014-01-02,3.18,3.20,3.12,3.13,29005900,3.13
2014-01-01,3.17,3.17,3.17,3.17,000,3.17
2013-12-31,3.17,3.17,3.17,3.17,000,3.17
2013-12-30,3.17,3.19,3.15,3.17,19745400,3.17
2013-12-27,3.14,3.17,3.11,3.17,16702000,3.17
2013-12-26,3.11,3.11,3.11,3.11,000,3.11
2013-12-25,3.11,3.11,3.11,3.11,000,3.11
2013-12-24,3.11,3.11,3.11,3.11,000,3.11
2013-12-23,3.11,3.11,3.06,3.11,16934500,3.11
2013-12-20,3.11,3.12,3.09,3.10,35377900,3.10
2013-12-19,3.10,3.12,3.09,3.12,30073700,3.12
2013-12-18,3.05,3.09,3.03,3.07,25028400,3.07
2013-12-17,3.08,3.09,3.02,3.02,24978300,3.02
2013-12-16,3.01,3.09,2.98,3.09,33553300,3.09
2013-12-13,3.02,3.05,3.01,3.02,32109200,3.02
2013-12-12,3.05,3.08,3.04,3.04,23170800,3.04
2013-12-11,3.10,3.13,3.05,3.07,24565500,3.07
2013-12-10,3.11,3.12,3.09,3.09,21158100,3.09
2013-12-09,3.11,3.13,3.08,3.13,22236000,3.13
2013-12-06,3.10,3.12,3.03,3.11,42320400,3.11
2013-12-05,3.13,3.18,3.08,3.08,35072500,3.08
2013-12-04,3.15,3.18,3.11,3.13,34673500,3.13
2013-12-03,3.23,3.24,3.14,3.14,38337900,3.14
2013-12-02,3.30,3.31,3.21,3.22,51890600,3.22
2013-11-29,3.37,3.39,3.35,3.35,16729900,3.35
2013-11-28,3.36,3.40,3.35,3.38,20330000,3.38
2013-11-27,3.35,3.40,3.35,3.36,31043600,3.36
2013-11-26,3.32,3.36,3.31,3.34,28066100,3.34
2013-11-25,3.32,3.32,3.28,3.31,18730900,3.31
2013-11-22,3.31,3.32,3.28,3.29,19704400,3.29
2013-11-21,3.25,3.31,3.22,3.30,27195100,3.30
2013-11-20,3.28,3.31,3.26,3.28,30331100,3.28
