Date,Open,High,Low,Close,Volume,Adj Close
2014-01-17,18.24,18.33,18.15,18.24,69900,18.24
2014-01-16,18.09,18.19,18.09,18.19,63400,18.19
2014-01-15,18.23,18.24,18.06,18.15,69500,18.15
2014-01-14,18.32,18.33,18.24,18.31,58300,18.13
2014-01-13,18.40,18.42,18.17,18.22,63100,18.04
2014-01-10,18.29,18.37,18.07,18.32,75000,18.14
2014-01-09,18.52,18.54,18.15,18.18,102200,18.00
2014-01-08,18.46,18.60,18.26,18.45,53600,18.27
2014-01-07,18.61,18.61,18.29,18.43,87500,18.25
2014-01-06,18.24,18.49,18.20,18.45,61100,18.27
2014-01-03,18.32,18.49,18.11,18.12,187000,17.94
2014-01-02,18.38,18.58,18.36,18.57,39900,18.39
2013-12-31,18.27,18.63,18.21,18.32,175300,18.14
2013-12-30,18.80,18.80,18.33,18.37,136600,18.19
2013-12-27,18.88,18.92,18.55,18.90,129800,18.71
2013-12-26,18.97,19.15,18.74,18.98,173500,18.79
2013-12-24,18.84,19.14,18.78,19.09,116100,18.90
2013-12-23,18.10,18.94,18.10,18.84,227000,18.65
2013-12-20,18.17,18.17,17.85,18.05,154300,17.87
2013-12-19,18.27,18.32,18.02,18.11,105800,17.93
2013-12-18,18.17,18.32,18.05,18.20,110200,18.02
2013-12-17,17.96,18.37,17.96,18.14,153700,17.96
2013-12-16,18.05,18.21,17.96,18.02,199300,17.84
2013-12-13,18.00,18.22,18.00,18.04,99000,17.86
2013-12-12,18.22,18.22,18.00,18.05,141900,17.87
2013-12-11,18.66,18.66,18.14,18.29,108500,18.11
2013-12-10,18.64,18.89,18.43,18.73,126000,18.37
2013-12-09,18.41,18.60,18.38,18.58,101400,18.22
2013-12-06,18.58,18.58,18.26,18.34,96900,17.99
2013-12-05,18.38,18.47,18.35,18.43,90900,18.07
2013-12-04,18.50,18.50,18.28,18.40,75200,18.04
2013-12-03,18.42,18.63,18.36,18.59,348800,18.23
2013-12-02,18.48,18.57,18.47,18.52,172100,18.16
2013-11-29,18.47,18.63,18.35,18.55,71300,18.19
2013-11-27,18.47,18.59,18.38,18.43,137500,18.07
2013-11-26,18.31,18.45,18.16,18.40,193400,18.04
2013-11-25,18.12,18.28,18.10,18.16,96100,17.81
2013-11-22,18.27,18.27,18.10,18.10,116500,17.75
2013-11-21,18.19,18.34,18.07,18.21,138500,17.86
2013-11-20,18.23,18.48,18.09,18.19,123300,17.84
2013-11-19,18.22,18.36,18.16,18.25,126100,17.90
2013-11-18,18.38,18.43,18.18,18.27,129200,17.92
2013-11-15,18.37,18.40,18.17,18.29,104600,17.94
2013-11-14,18.20,18.35,18.20,18.32,94700,17.97
2013-11-13,18.22,18.37,18.16,18.25,90700,17.90
2013-11-12,18.41,18.59,18.05,18.20,184800,17.85
2013-11-11,18.68,18.77,18.43,18.49,111700,18.13
2013-11-08,18.87,18.90,18.58,18.59,242300,18.23
2013-11-07,19.32,19.33,18.79,19.01,162900,18.64
2013-11-06,19.40,19.46,19.26,19.26,80500,18.89
2013-11-05,19.58,19.65,19.41,19.56,92000,19.01
2013-11-04,20.03,20.03,19.53,19.63,146600,19.07
2013-11-01,19.97,20.11,19.93,20.03,57900,19.46
2013-10-31,20.03,20.11,19.88,20.08,72200,19.51
2013-10-30,20.17,20.31,19.90,19.99,79900,19.42
2013-10-29,20.00,20.17,19.97,20.10,45200,19.53
2013-10-28,20.11,20.22,19.98,20.03,48300,19.46
2013-10-25,20.05,20.28,20.02,20.02,73300,19.45
2013-10-24,20.33,20.44,19.93,20.10,127000,19.53
2013-10-23,20.07,20.33,19.89,20.27,76500,19.69
2013-10-22,20.02,20.15,19.91,20.15,63000,19.58
2013-10-21,19.79,19.96,19.75,19.91,90000,19.35
2013-10-18,19.92,19.92,19.72,19.82,89800,19.26
2013-10-17,19.68,19.90,19.61,19.79,89500,19.23
2013-10-16,19.72,19.76,19.59,19.72,75000,18.99
2013-10-15,19.79,19.82,19.55,19.63,42000,18.90
2013-10-14,19.71,19.85,19.63,19.80,49000,19.06
2013-10-11,19.60,19.70,19.56,19.68,37800,18.95
2013-10-10,19.74,19.83,19.45,19.57,63800,18.84
2013-10-09,19.60,19.76,19.56,19.63,38400,18.90
2013-10-08,19.78,19.81,19.57,19.60,110800,18.87
2013-10-07,19.73,19.90,19.73,19.82,51700,19.08
2013-10-04,19.76,19.86,19.65,19.78,57300,19.04
2013-10-03,19.76,19.88,19.57,19.78,48000,19.04
2013-10-02,19.68,19.80,19.57,19.76,33500,19.02
2013-10-01,19.65,19.81,19.53,19.71,79100,18.98
2013-09-30,19.75,19.88,19.62,19.63,56800,18.90
2013-09-27,19.80,19.97,19.66,19.84,71900,19.10
2013-09-26,20.04,20.08,19.71,19.78,67600,19.04
2013-09-25,20.00,20.09,19.90,20.04,80000,19.29
2013-09-24,20.00,20.15,19.91,20.07,156300,19.32
2013-09-23,20.37,20.40,20.01,20.11,80500,19.36
2013-09-20,20.33,20.42,20.16,20.31,45800,19.55
2013-09-19,20.47,20.51,20.23,20.49,52700,19.73
2013-09-18,19.67,20.44,19.45,20.39,173200,19.63
2013-09-17,19.68,19.82,19.46,19.64,97000,18.91
2013-09-16,19.77,19.88,19.59,19.61,143900,18.88
2013-09-13,19.59,19.70,19.44,19.64,86300,18.91
2013-09-12,19.76,19.84,19.56,19.56,59600,18.83
2013-09-11,19.90,19.92,19.76,19.89,39000,18.98
2013-09-10,19.71,19.89,19.67,19.81,49400,18.90
