Date,Open,High,Low,Close,Volume,Adj Close
2014-01-23,24.88,24.93,24.76,24.89,1001800,24.89
2014-01-22,24.87,24.99,24.84,24.94,1418100,24.94
2014-01-21,24.95,25.03,24.85,25.00,1012100,25.00
2014-01-17,24.94,24.95,24.66,24.67,1133300,24.67
2014-01-16,25.03,25.08,24.90,25.01,870000,25.01
2014-01-15,24.77,24.96,24.75,24.94,1374600,24.94
2014-01-14,24.86,24.92,24.66,24.91,1456800,24.91
2014-01-13,24.82,24.83,24.54,24.56,1887700,24.56
2014-01-10,24.59,24.70,24.51,24.67,2600800,24.67
2014-01-09,23.83,23.89,23.72,23.83,1018400,23.83
2014-01-08,23.89,23.93,23.77,23.89,942500,23.89
2014-01-07,23.80,23.90,23.76,23.87,654800,23.87
2014-01-06,23.76,23.76,23.57,23.67,688600,23.67
2014-01-03,23.91,23.93,23.66,23.72,1400300,23.72
2014-01-02,23.90,23.91,23.61,23.69,866000,23.69
2013-12-31,23.95,24.16,23.83,24.13,1079000,24.13
2013-12-30,24.07,24.12,23.87,23.95,1050100,23.95
2013-12-27,24.07,24.10,23.95,23.99,720500,23.99
2013-12-26,23.75,23.90,23.64,23.88,682400,23.88
2013-12-24,23.77,23.80,23.63,23.75,485200,23.75
2013-12-23,23.89,23.90,23.66,23.70,1232400,23.70
2013-12-20,23.30,23.48,23.27,23.30,938900,23.30
2013-12-19,23.27,23.41,23.17,23.36,745300,23.36
2013-12-18,23.17,23.36,22.94,23.27,1302400,23.27
2013-12-17,22.99,23.04,22.84,22.99,1754600,22.99
2013-12-16,22.81,22.92,22.72,22.78,1255300,22.78
2013-12-13,22.57,22.57,22.42,22.53,887400,22.53
2013-12-12,22.57,22.61,22.42,22.49,1003300,22.49
2013-12-11,23.11,23.11,22.74,22.76,856800,22.76
2013-12-10,23.16,23.19,23.04,23.12,1380600,23.12
2013-12-09,22.93,22.97,22.82,22.87,942600,22.87
2013-12-06,22.73,22.76,22.61,22.66,1004700,22.66
2013-12-05,22.54,22.66,22.47,22.58,954700,22.58
2013-12-04,22.61,22.72,22.41,22.56,1223700,22.56
2013-12-03,22.78,22.88,22.71,22.82,1984000,22.82
2013-12-02,22.37,22.56,22.32,22.50,1923900,22.50
2013-11-29,22.68,22.70,22.51,22.54,447700,22.54
2013-11-27,22.69,22.71,22.53,22.55,751900,22.55
2013-11-26,22.68,22.68,22.56,22.61,586300,22.61
2013-11-25,22.67,22.73,22.60,22.68,1122500,22.68
2013-11-22,23.04,23.07,22.95,23.01,911000,23.01
2013-11-21,22.89,22.96,22.83,22.91,605700,22.91
2013-11-20,23.09,23.11,22.78,22.80,662300,22.80
2013-11-19,23.11,23.15,23.04,23.10,865200,23.10
2013-11-18,23.11,23.19,22.98,23.03,1216300,23.03
2013-11-15,23.00,23.20,22.92,23.20,1775400,23.20
2013-11-14,22.65,22.85,22.54,22.85,1534400,22.85
2013-11-13,22.24,22.58,22.23,22.56,1162400,22.56
2013-11-12,22.48,22.60,22.41,22.44,1338200,22.44
2013-11-11,23.01,23.02,22.86,22.93,693800,22.93
2013-11-08,22.64,22.93,22.64,22.93,1544600,22.93
2013-11-07,23.51,23.53,23.18,23.23,855400,23.23
2013-11-06,23.71,23.85,23.68,23.77,832100,23.77
2013-11-05,23.56,23.70,23.43,23.51,4312200,23.51
2013-11-04,23.66,23.75,23.58,23.74,615900,23.74
2013-11-01,23.56,23.64,23.44,23.61,948400,23.61
2013-10-31,23.81,23.81,23.56,23.63,1212300,23.63
2013-10-30,24.09,24.09,23.76,23.83,1629400,23.83
2013-10-29,24.10,24.25,24.05,24.11,1576300,24.11
2013-10-28,24.06,24.07,23.84,23.91,1164300,23.91
2013-10-25,24.05,24.20,24.00,24.18,1857300,24.18
2013-10-24,23.65,23.68,23.56,23.64,877000,23.64
2013-10-23,23.41,23.50,23.30,23.39,1157300,23.39
2013-10-22,23.54,23.64,23.51,23.58,740300,23.58
2013-10-21,23.42,23.62,23.38,23.51,1235800,23.51
2013-10-18,23.33,23.36,23.23,23.31,1576800,23.31
2013-10-17,23.04,23.10,22.96,23.06,1217000,23.06
2013-10-16,22.73,22.80,22.65,22.72,2453400,22.72
2013-10-15,22.74,22.83,22.69,22.73,962400,22.73
2013-10-14,22.52,22.75,22.51,22.70,578500,22.70
2013-10-11,22.51,22.67,22.50,22.58,842700,22.58
2013-10-10,22.19,22.54,22.19,22.50,902600,22.50
2013-10-09,22.27,22.33,22.12,22.23,1088500,22.23
2013-10-08,22.39,22.45,22.23,22.23,778300,22.23
2013-10-07,22.35,22.61,22.35,22.49,908500,22.49
2013-10-04,22.61,22.76,22.60,22.71,767300,22.71
2013-10-03,22.68,22.76,22.52,22.59,2191000,22.59
2013-10-02,22.44,22.59,22.38,22.59,903000,22.59
2013-10-01,22.51,22.70,22.48,22.62,965200,22.62
2013-09-30,22.67,22.75,22.60,22.68,915100,22.68
2013-09-27,22.95,22.97,22.84,22.93,841500,22.93
2013-09-26,22.94,23.02,22.89,23.00,1119300,23.00
2013-09-25,22.55,22.81,22.54,22.67,830900,22.67
2013-09-24,22.81,23.00,22.74,22.80,906000,22.80
2013-09-23,22.80,22.96,22.71,22.78,1670700,22.78
2013-09-20,22.82,22.85,22.64,22.68,2092700,22.68
2013-09-19,23.29,23.29,23.04,23.09,1291400,23.09
2013-09-18,22.48,23.00,22.44,22.95,1713000,22.95
2013-09-17,22.67,22.70,22.55,22.59,1002900,22.59
2013-09-16,22.88,22.90,22.63,22.68,1246300,22.68
2013-09-13,22.69,22.77,22.62,22.75,1765100,22.75
2013-09-12,22.76,22.77,22.60,22.64,1614700,22.64
2013-09-11,22.57,22.69,22.49,22.67,2471000,22.67
2013-09-10,22.42,22.43,22.20,22.29,2167000,22.29
2013-09-09,22.35,22.48,22.33,22.45,846400,22.45
2013-09-06,22.47,22.49,22.29,22.40,1321200,22.40
2013-09-05,22.05,22.17,21.99,22.14,1419300,22.14
2013-09-04,22.21,22.44,22.17,22.30,892500,22.30
2013-09-03,22.33,22.38,22.15,22.25,1426900,22.25
2013-08-30,21.89,22.03,21.84,21.95,1406800,21.95
2013-08-29,22.26,22.30,22.06,22.20,1532400,22.20
2013-08-28,22.52,22.74,22.45,22.65,2452100,22.65
2013-08-27,21.87,21.95,21.75,21.81,1924900,21.81
2013-08-26,21.63,21.69,21.43,21.43,1174500,21.43
2013-08-23,21.37,21.63,21.34,21.58,1219700,21.58
2013-08-22,21.09,21.22,21.02,21.12,1685800,21.12
2013-08-21,21.20,21.27,21.01,21.09,1905500,21.09
2013-08-20,21.72,21.74,21.53,21.55,1816400,21.55
2013-08-19,21.95,22.02,21.75,21.80,2068300,21.80
2013-08-16,21.82,21.84,21.58,21.70,1896800,21.70
2013-08-15,21.73,21.77,21.54,21.72,1317400,21.72
2013-08-14,21.90,21.95,21.77,21.91,1271000,21.91
2013-08-13,21.50,21.60,21.44,21.56,850400,21.56
2013-08-12,21.62,21.62,21.50,21.53,881800,21.53
2013-08-09,21.68,21.82,21.58,21.80,1664300,21.80
2013-08-08,21.39,21.51,21.33,21.50,941500,21.50
2013-08-07,21.22,21.30,21.16,21.28,972500,21.28
2013-08-06,21.26,21.32,21.16,21.26,1195500,21.26
2013-08-05,21.32,21.35,21.20,21.30,851600,21.30
2013-08-02,21.30,21.48,21.25,21.45,1202700,21.45
2013-08-01,21.30,21.45,21.27,21.32,2139600,21.32
2013-07-31,21.41,21.78,21.35,21.59,2429400,21.59
2013-07-30,21.44,21.52,21.39,21.48,1078700,21.48
2013-07-29,21.50,21.70,21.49,21.66,1313200,21.66
2013-07-26,21.81,21.86,21.62,21.79,1213300,21.79
2013-07-25,21.91,22.15,21.88,22.11,1370300,22.11
2013-07-24,22.54,22.56,22.31,22.36,723200,22.36
2013-07-23,22.46,22.58,22.43,22.55,872500,22.55
2013-07-22,22.42,22.46,22.25,22.35,1374500,22.35
2013-07-19,22.22,22.29,22.16,22.26,741500,22.26
2013-07-18,21.97,22.25,21.95,22.18,1535000,22.18
2013-07-17,22.31,22.32,21.99,22.14,2533300,22.14
2013-07-16,21.84,21.85,21.73,21.76,1796300,21.76
2013-07-15,21.50,21.60,21.46,21.54,925500,21.54
2013-07-12,21.54,21.54,21.32,21.43,857200,21.43
2013-07-11,21.47,21.63,21.36,21.61,1960000,21.61
2013-07-10,20.94,21.16,20.90,21.03,1132800,21.03
2013-07-09,20.91,20.92,20.68,20.82,980600,20.82
2013-07-08,20.75,20.82,20.69,20.76,1156800,20.76
2013-07-05,20.51,20.53,20.30,20.43,1332700,20.43
2013-07-03,20.60,20.79,20.52,20.74,869000,20.74
2013-07-02,20.92,20.99,20.60,20.73,1451700,20.73
2013-07-01,20.81,20.97,20.81,20.86,1481800,20.86
2013-06-28,20.80,20.82,20.61,20.69,1033900,20.69
2013-06-27,20.82,20.95,20.80,20.80,2069500,20.80
2013-06-26,20.64,20.67,20.41,20.53,867400,20.53
2013-06-25,20.77,20.78,20.39,20.54,1663600,20.54
2013-06-24,20.27,20.36,20.02,20.14,6044400,20.14
2013-06-21,21.06,21.09,20.76,20.97,3004500,20.97
2013-06-20,21.11,21.27,20.93,21.01,6102200,21.01
2013-06-19,22.23,22.25,21.81,21.85,2189700,21.85
2013-06-18,22.20,22.35,22.18,22.27,1058700,22.27
2013-06-17,22.26,22.36,22.12,22.25,2071900,22.25
2013-06-14,22.17,22.28,22.01,22.07,1592500,22.07
2013-06-13,21.98,22.15,21.91,22.10,1214600,22.10
2013-06-12,22.28,22.28,21.88,21.91,1685600,21.91
2013-06-11,21.98,22.09,21.92,21.98,2323400,21.98
2013-06-10,22.35,22.51,22.29,22.45,1114000,22.45
2013-06-07,22.40,22.58,22.33,22.38,1623100,22.38
2013-06-06,22.53,22.70,22.41,22.70,1383800,22.70
2013-06-05,22.70,22.79,22.52,22.52,1090000,22.52
2013-06-04,22.80,22.86,22.69,22.78,1243900,22.78
2013-06-03,22.62,22.77,22.52,22.75,1135500,22.75
2013-05-31,22.82,22.83,22.52,22.52,1249900,22.52
2013-05-30,22.92,22.97,22.81,22.85,1836400,22.85
2013-05-29,22.63,22.83,22.60,22.77,3602400,22.77
