Date,Open,High,Low,Close,Volume,Adj Close
2014-01-23,32.33,32.44,31.76,31.88,1362400,31.88
2014-01-22,32.23,32.38,32.13,32.15,921300,32.15
2014-01-21,32.30,32.32,31.88,32.20,1221400,32.20
2014-01-17,32.45,32.48,32.11,32.20,940400,32.20
2014-01-16,32.57,32.61,32.40,32.44,651300,32.44
2014-01-15,32.39,32.90,32.39,32.68,1291700,32.68
2014-01-14,32.07,32.49,31.97,32.31,1185500,32.31
2014-01-13,32.58,32.61,31.89,32.03,1328400,32.03
2014-01-10,32.87,32.88,32.47,32.50,1352200,32.50
2014-01-09,33.10,33.19,32.71,32.74,1790700,32.74
2014-01-08,32.93,33.09,32.74,32.99,1221800,32.99
2014-01-07,32.87,33.06,32.87,33.03,699600,33.03
2014-01-06,32.94,32.99,32.68,32.80,900100,32.80
2014-01-03,32.91,32.99,32.67,32.85,679400,32.85
2014-01-02,33.23,33.23,32.69,32.79,1045100,32.79
2013-12-31,33.31,33.44,33.13,33.28,614000,33.28
2013-12-30,33.25,33.37,33.13,33.24,523700,33.24
2013-12-27,33.39,33.42,33.12,33.20,475800,33.20
2013-12-26,33.23,33.31,32.97,33.30,462000,33.30
2013-12-24,32.97,33.19,32.96,33.08,439000,33.08
2013-12-23,33.16,33.17,32.90,33.02,895100,33.02
2013-12-20,32.77,33.09,32.56,33.06,1458800,33.06
2013-12-19,32.36,33.07,32.23,32.74,2927800,32.74
2013-12-18,31.80,32.51,31.67,32.46,2720200,32.46
2013-12-17,31.47,31.67,31.19,31.54,1337900,31.54
2013-12-16,31.40,31.56,31.25,31.49,1359400,31.39
2013-12-13,31.24,31.40,30.95,31.29,1255500,31.19
2013-12-12,30.97,31.34,30.88,31.20,1206400,31.10
2013-12-11,31.24,31.28,30.95,31.03,1535500,30.93
2013-12-10,30.82,31.29,30.78,31.18,1840200,31.08
2013-12-09,30.86,30.96,30.67,30.92,1384500,30.82
2013-12-06,30.66,31.11,30.47,30.76,2758800,30.66
2013-12-05,30.52,30.63,30.17,30.34,1916300,30.24
2013-12-04,31.15,31.18,30.31,30.63,2577900,30.53
2013-12-03,31.05,31.44,30.98,31.32,2058300,31.22
2013-12-02,31.09,31.09,30.72,30.79,1236300,30.69
2013-11-29,31.04,31.31,31.03,31.05,366600,30.95
2013-11-27,31.17,31.27,30.95,31.03,634500,30.93
2013-11-26,31.41,31.46,31.05,31.10,2918400,31.00
2013-11-25,31.39,31.52,31.35,31.37,696800,31.27
2013-11-22,31.18,31.34,31.10,31.30,599400,31.20
2013-11-21,30.59,31.19,30.48,31.14,982700,31.04
2013-11-20,30.81,31.00,30.42,30.54,1261100,30.44
2013-11-19,30.73,30.96,30.67,30.81,921800,30.71
2013-11-18,30.97,31.07,30.68,30.80,983300,30.70
2013-11-15,31.03,31.03,30.67,30.95,899300,30.85
2013-11-14,30.74,31.05,30.71,31.03,577300,30.93
2013-11-13,30.45,30.74,30.30,30.74,518100,30.64
2013-11-12,30.25,30.55,30.19,30.55,797600,30.45
2013-11-11,30.10,30.42,30.09,30.26,667700,30.16
2013-11-08,29.75,30.21,29.71,30.18,1026800,30.08
2013-11-07,29.96,30.14,29.72,29.77,1187500,29.68
2013-11-06,29.76,29.97,29.76,29.92,680000,29.82
2013-11-05,29.64,29.74,29.44,29.66,834000,29.57
2013-11-04,29.84,29.88,29.67,29.75,638800,29.66
2013-11-01,29.83,29.95,29.60,29.73,1055200,29.64
2013-10-31,30.17,30.19,29.83,29.83,1634300,29.74
2013-10-30,30.08,30.33,30.03,30.19,1871900,30.09
2013-10-29,30.16,30.33,29.82,30.08,990000,29.98
2013-10-28,30.09,30.19,29.96,30.02,1162000,29.92
2013-10-25,30.18,30.19,30.00,30.04,1214900,29.94
2013-10-24,30.07,30.28,30.04,30.25,865000,30.15
2013-10-23,30.31,30.31,29.65,30.01,2878300,29.91
